|id    |sport_id|name                                                |country             |ext_source   |ext_league_id|ext_csv_code|theodds_key                      |enabled_theodds|country_id|tier|is_cup|is_international|created_at                   |updated_at                   |
|------|--------|----------------------------------------------------|--------------------|-------------|-------------|------------|---------------------------------|---------------|----------|----|------|----------------|-----------------------------|-----------------------------|
|29    |1       |Eredivisie                                          |Netherlands         |football_data|2003         |N1          |soccer_netherlands_eredivisie    |false          |6         |1   |false |true            |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|20,846|1       |Super Cup                                           |Israel              |api_football |659          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,847|1       |Super Cup                                           |San-Marino          |api_football |884          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,848|1       |Euro Championship                                   |World               |api_football |4            |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|30    |1       |Primeira Liga                                       |Portugal            |football_data|2017         |P1          |soccer_portugal_primeira_liga    |false          |7         |1   |false |true            |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|31    |1       |Copa Libertadores                                   |South America       |football_data|2152         |            |soccer_conmebol_copa_libertadores|false          |12        |    |false |true            |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|20,850|1       |Confederations Cup                                  |World               |api_football |21           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|32    |1       |Primera Division                                    |Spain               |football_data|2014         |SP1         |soccer_spain_la_liga             |false          |2         |1   |false |true            |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|20,894|1       |League 205                                          |                    |api_football |205          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-03-04 09:36:36.345 +0100|
|33    |1       |FIFA World Cup                                      |World               |football_data|2000         |            |soccer_fifa_world_cup            |false          |13        |    |false |true            |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|4     |1       |Campeonato Brasileiro Série A                       |Brazil              |football_data|2013         |B1          |soccer_brazil_campeonato         |false          |14        |1   |false |false           |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|5     |1       |Championship                                        |England             |football_data|2016         |E1          |soccer_efl_champ                 |false          |22        |2   |false |false           |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|20,854|1       |Serie A                                             |Brazil              |api_football |71           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|6     |1       |Premier League                                      |England             |football_data|2021         |E0          |soccer_epl                       |true           |22        |1   |false |false           |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|7     |1       |UEFA Champions League                               |Europe              |football_data|2001         |            |soccer_uefa_champs_league        |false          |11        |    |false |true            |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|8     |1       |European Championship                               |Europe              |football_data|2018         |            |soccer_uefa_euro                 |false          |11        |    |false |true            |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|26    |1       |Ligue 1                                             |France              |football_data|2015         |F1          |soccer_france_ligue_one          |false          |5         |1   |false |true            |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|27    |1       |Bundesliga                                          |Germany             |football_data|2002         |D1          |soccer_germany_bundesliga        |false          |3         |1   |false |true            |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|28    |1       |Serie A                                             |Italy               |football_data|2019         |I1          |soccer_italy_serie_a             |false          |4         |1   |false |true            |2026-02-24 17:24:37.011 +0100|2026-02-24 17:24:37.011 +0100|
|20,862|1       |World Cup                                           |World               |api_football |1            |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,863|1       |Asian Games                                         |World               |api_football |803          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,864|1       |FA Cup                                              |England             |api_football |45           |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
|20,865|1       |Super Cup                                           |Georgia             |api_football |530          |            |                                 |false          |          |    |false |false           |2026-02-27 11:57:43.471 +0100|2026-02-27 11:57:43.471 +0100|
