|id   |sport_code|canonical_league_id|provider    |provider_league_id|season|enabled|tier|fixtures_days_back|fixtures_days_forward|odds_days_forward|max_requests_per_run|notes                                       |created_at                   |updated_at                   |run_group           |
|-----|----------|-------------------|------------|------------------|------|-------|----|------------------|---------------------|-----------------|--------------------|--------------------------------------------|-----------------------------|-----------------------------|--------------------|
|723  |basketball|23,111             |api_sport   |340               |      |true   |1   |7                 |14                   |3                |1                   |European Championship U16 Women             |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|724  |basketball|23,123             |api_sport   |350               |      |true   |1   |7                 |14                   |3                |1                   |Games of the Small States of Europe Women   |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|951  |football  |21,137             |api_football|166               |      |false  |4   |7                 |14                   |3                |1                   |2. Deild                                    |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FOOTBALL_MAINTENANCE|
|952  |football  |21,138             |api_football|368               |      |false  |4   |7                 |14                   |3                |1                   |Premier League                              |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FOOTBALL_MAINTENANCE|
|726  |basketball|23,296             |api_sport   |94                |      |true   |1   |7                 |14                   |3                |1                   |Liga Femenina W                             |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|727  |basketball|23,331             |api_sport   |171               |      |true   |1   |7                 |14                   |3                |1                   |Ukrainian Cup                               |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|769  |basketball|22,964             |api_sport   |327               |      |true   |1   |7                 |14                   |3                |1                   |Africa Champions Cup Women                  |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|783  |basketball|22,986             |api_sport   |311               |      |true   |1   |7                 |14                   |3                |1                   |Asia Championship U16 Women                 |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|784  |basketball|23,007             |api_sport   |211               |      |true   |1   |7                 |14                   |3                |1                   |NBL1 Central Women                          |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|785  |basketball|23,027             |api_sport   |112               |      |true   |1   |7                 |14                   |3                |1                   |Premier League W                            |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|786  |basketball|23,042             |api_sport   |222               |      |true   |1   |7                 |14                   |3                |1                   |CEBL                                        |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|787  |basketball|23,071             |api_sport   |131               |      |true   |1   |7                 |14                   |3                |1                   |Estonia Cup                                 |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|788  |basketball|23,085             |api_sport   |202               |      |true   |1   |7                 |14                   |3                |1                   |Champions League                            |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|789  |basketball|23,112             |api_sport   |338               |      |true   |1   |7                 |14                   |3                |1                   |European Championship U18 B Women           |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|790  |basketball|23,124             |api_sport   |358               |      |true   |1   |7                 |14                   |3                |1                   |Gomelsky Cup                                |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|791  |basketball|23,136             |api_sport   |38                |      |true   |1   |7                 |14                   |3                |1                   |Korisliiga W                                |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|792  |basketball|23,147             |api_sport   |2                 |      |true   |1   |7                 |14                   |3                |1                   |LNB                                         |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|793  |basketball|23,157             |api_sport   |135               |      |true   |1   |7                 |14                   |3                |1                   |Super Cup                                   |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|794  |basketball|23,167             |api_sport   |46                |      |true   |1   |7                 |14                   |3                |1                   |NB I A                                      |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|795  |basketball|23,177             |api_sport   |239               |      |true   |1   |7                 |14                   |3                |1                   |Liga Leumit                                 |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|796  |basketball|23,186             |api_sport   |52                |      |true   |1   |7                 |14                   |3                |1                   |Lega A                                      |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|797  |basketball|23,195             |api_sport   |185               |      |true   |1   |7                 |14                   |3                |1                   |BJ League                                   |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|798  |basketball|23,203             |api_sport   |58                |      |true   |1   |7                 |14                   |3                |1                   |Premier League                              |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|799  |basketball|23,211             |api_sport   |60                |      |true   |1   |7                 |14                   |3                |1                   |LKL                                         |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|800  |basketball|23,219             |api_sport   |67                |      |true   |1   |7                 |14                   |3                |1                   |Superleague                                 |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|801  |basketball|23,227             |api_sport   |149               |      |true   |1   |7                 |14                   |3                |1                   |NBB Cup                                     |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|870  |basketball|22,965             |api_sport   |320               |      |true   |1   |7                 |14                   |3                |1                   |African Championship                        |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|871  |basketball|23,028             |api_sport   |23                |      |true   |1   |7                 |14                   |3                |1                   |Belgian Cup                                 |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|872  |basketball|23,043             |api_sport   |29                |      |true   |1   |7                 |14                   |3                |1                   |U Sports                                    |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|873  |basketball|23,072             |api_sport   |36                |      |true   |1   |7                 |14                   |3                |1                   |Korvpalli Meistriliiga                      |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|874  |basketball|23,148             |api_sport   |133               |      |true   |1   |7                 |14                   |3                |1                   |LNB Super Cup                               |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|875  |basketball|23,350             |api_sport   |404               |      |true   |1   |7                 |14                   |3                |1                   |NBA In-Season Tournament                    |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|901  |basketball|22,988             |api_sport   |314               |      |true   |1   |7                 |14                   |3                |1                   |Asia Championship U18 B Women               |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|935  |basketball|23,009             |api_sport   |216               |      |true   |1   |7                 |14                   |3                |1                   |NBL1 East Women                             |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|936  |basketball|23,029             |api_sport   |24                |      |true   |1   |7                 |14                   |3                |1                   |EuroMillions Basketball League              |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|937  |basketball|23,044             |api_sport   |28                |      |true   |1   |7                 |14                   |3                |1                   |NBL                                         |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|938  |basketball|23,059             |api_sport   |227               |      |true   |1   |7                 |14                   |3                |1                   |Prva Liga                                   |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
|939  |basketball|23,073             |api_sport   |198               |      |true   |1   |7                 |14                   |3                |1                   |ABA League                                  |2026-03-10 19:33:48.283 +0100|2026-03-10 19:33:48.283 +0100|FREE_TEST_PRIMARY   |
