|id |name                  |birth_date|nationality|updated_at                   |
|---|----------------------|----------|-----------|-----------------------------|
|977|E. Peña Zauner        |          |           |2026-03-15 20:57:16.713 +0100|
|976|José Miguel Reis Melro|          |           |2026-03-15 20:57:16.713 +0100|
|975|Alexandre Guedes      |          |           |2026-03-15 20:57:16.713 +0100|
|974|Francisco Gomes       |          |           |2026-03-15 20:57:16.713 +0100|
|973|A. Elis               |          |           |2026-03-15 20:57:16.713 +0100|
|972|Adrián Butzke         |          |           |2026-03-15 20:57:16.713 +0100|
|971|M. Diouri             |          |           |2026-03-15 20:57:16.713 +0100|
|970|P. Borukov            |          |           |2026-03-15 20:57:16.713 +0100|
|969|Martín Tejón          |          |           |2026-03-15 20:57:16.713 +0100|
|968|Rodrigo Andrade       |          |           |2026-03-15 20:57:16.713 +0100|
|966|Ibrahima              |          |           |2026-03-15 20:57:16.713 +0100|
|965|V. Danilović          |          |           |2026-03-15 20:57:16.713 +0100|
|964|Marco Cruz            |          |           |2026-03-15 20:57:16.713 +0100|
|963|Carlos Daniel         |          |           |2026-03-15 20:57:16.713 +0100|
|962|Xavi                  |          |           |2026-03-15 20:57:16.713 +0100|
|961|Erivaldo Almeida      |          |           |2026-03-15 20:57:16.713 +0100|
|960|N. Madsen             |          |           |2026-03-15 20:57:16.713 +0100|
|959|Igor Julião           |          |           |2026-03-15 20:57:16.713 +0100|
|958|Paulo Henrique        |          |           |2026-03-15 20:57:16.713 +0100|
|957|David Freitas         |          |           |2026-03-15 20:57:16.713 +0100|
|956|Afonso de Freitas     |          |           |2026-03-15 20:57:16.713 +0100|
|955|Rodrigo Borges        |          |           |2026-03-15 20:57:16.713 +0100|
|954|Romain Correia        |          |           |2026-03-15 20:57:16.713 +0100|
|953|Kimiss                |          |           |2026-03-15 20:57:16.713 +0100|
|952|Samu                  |          |           |2026-03-15 20:57:16.713 +0100|
|951|Alfonso Pastor        |          |           |2026-03-15 20:57:16.713 +0100|
|950|Carlinhos             |1994-06-22|Brazil     |2026-03-15 12:50:23.709 +0100|
|949|Jorge Bernardo        |1991-09-25|Portugal   |2026-03-15 12:50:23.709 +0100|
|948|Pedro Empis           |1997-02-01|Portugal   |2026-03-15 12:50:23.709 +0100|
|947|V. Lystsov            |1995-07-11|Russia     |2026-03-15 12:50:23.709 +0100|
