|id |provider |sport_code|job_code                    |endpoint_code|ingest_mode|enabled|priority|batch_size|max_requests_per_run|retry_limit|cooldown_seconds|days_back|days_forward|notes                       |created_at                   |updated_at                   |
|---|---------|----------|----------------------------|-------------|-----------|-------|--------|----------|--------------------|-----------|----------------|---------|------------|----------------------------|-----------------------------|-----------------------------|
|20 |api_sport|basketball|basketball_leagues          |leagues      |slow       |true   |10      |100       |200                 |3          |1               |         |            |Basketball leagues          |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|21 |api_sport|basketball|basketball_teams            |teams        |slow       |true   |20      |100       |300                 |3          |1               |         |            |Basketball teams            |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|22 |api_sport|basketball|basketball_players          |players      |slow       |false  |30      |100       |300                 |3          |1               |         |            |Basketball players          |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|23 |api_sport|basketball|basketball_seasons          |seasons      |slow       |true   |40      |100       |100                 |3          |1               |         |            |Basketball seasons          |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|24 |api_sport|basketball|basketball_fixtures_backfill|fixtures     |medium     |true   |100     |100       |1,000               |3          |1               |365      |30          |Basketball fixtures backfill|2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|25 |api_sport|basketball|basketball_fixtures_daily   |fixtures     |medium     |true   |110     |100       |300                 |3          |1               |14       |14          |Basketball fixtures daily   |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|26 |api_sport|basketball|basketball_standings        |standings    |medium     |true   |120     |100       |200                 |3          |1               |         |            |Basketball standings        |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|27 |api_sport|basketball|basketball_odds_refresh     |odds         |fast       |false  |220     |100       |500                 |3          |5               |0        |3           |Basketball odds             |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|1  |api_sport|football  |football_leagues            |leagues      |slow       |true   |10      |100       |200                 |3          |1               |         |            |Football leagues            |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|2  |api_sport|football  |football_teams              |teams        |slow       |true   |20      |100       |300                 |3          |1               |         |            |Football teams              |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|3  |api_sport|football  |football_players            |players      |slow       |false  |30      |100       |300                 |3          |1               |         |            |Football players            |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|4  |api_sport|football  |football_seasons            |seasons      |slow       |true   |40      |100       |100                 |3          |1               |         |            |Football seasons            |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|5  |api_sport|football  |football_fixtures_backfill  |fixtures     |medium     |true   |100     |100       |1,000               |3          |1               |365      |30          |Football fixtures backfill  |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|6  |api_sport|football  |football_fixtures_daily     |fixtures     |medium     |true   |110     |100       |300                 |3          |1               |14       |14          |Football fixtures daily     |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|7  |api_sport|football  |football_standings          |standings    |medium     |true   |120     |100       |200                 |3          |1               |         |            |Football standings          |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|8  |api_sport|football  |football_injuries           |injuries     |medium     |false  |130     |100       |200                 |3          |1               |7        |14          |Football injuries           |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|9  |api_sport|football  |football_lineups            |lineups      |medium     |false  |140     |100       |200                 |3          |1               |2        |2           |Football lineups            |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|10 |api_sport|football  |football_odds_refresh       |odds         |fast       |false  |220     |100       |500                 |3          |5               |0        |3           |Football odds               |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|11 |api_sport|hockey    |hockey_leagues              |leagues      |slow       |true   |10      |100       |200                 |3          |1               |         |            |Hockey leagues              |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|12 |api_sport|hockey    |hockey_teams                |teams        |slow       |true   |20      |100       |300                 |3          |1               |         |            |Hockey teams                |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
|13 |api_sport|hockey    |hockey_players              |players      |slow       |false  |30      |100       |300                 |3          |1               |         |            |Hockey players              |2026-03-08 17:54:54.329 +0100|2026-03-08 17:54:54.329 +0100|
