|external_league_id|season|fixture_rows|
|------------------|------|------------|
|205               |2022  |735         |
|205               |2023  |697         |
|205               |2024  |625         |
|40                |2022  |557         |
|40                |2023  |557         |
|40                |2024  |557         |
|41                |2022  |557         |
|41                |2023  |557         |
|41                |2024  |557         |
|42                |2022  |557         |
|42                |2023  |557         |
|42                |2024  |557         |
|111               |2022  |480         |
|111               |2023  |480         |
|111               |2024  |480         |
|141               |2022  |468         |
|141               |2023  |468         |
|141               |2024  |468         |
|494               |2022  |420         |
|136               |2022  |390         |
|136               |2023  |390         |
|136               |2024  |390         |
|494               |2023  |388         |
|272               |2022  |386         |
|204               |2024  |385         |
|62                |2023  |382         |
|135               |2022  |381         |
|135               |2023  |380         |
|135               |2024  |380         |
|138               |2022  |380         |
