|id |provider             |sport_code|entity             |enabled|priority|scope_type   |requires_league|requires_season|default_run_group|ingest_mode|source_endpoint |target_table                     |worker_script                     |notes                        |created_at                   |updated_at                   |
|---|---------------------|----------|-------------------|-------|--------|-------------|---------------|---------------|-----------------|-----------|----------------|---------------------------------|----------------------------------|-----------------------------|-----------------------------|-----------------------------|
|9  |api_football         |FB        |leagues            |true   |10      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Football leagues             |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
|10 |api_football         |FB        |teams              |true   |20      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Football teams               |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
|11 |api_football         |FB        |fixtures           |true   |30      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Football fixtures            |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
|12 |api_football         |FB        |odds               |true   |40      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Football odds                |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
|13 |api_football         |FB        |players            |true   |50      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Football players             |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
|14 |api_football         |FB        |player_season_stats|true   |60      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Football season stats        |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
|15 |api_football         |FB        |coaches            |true   |70      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Football coaches             |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
|19 |api_hockey           |HK        |odds               |true   |40      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Hockey odds                  |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
|22 |api_basketball       |BK        |leagues            |true   |10      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Basketball leagues           |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
|23 |api_basketball       |BK        |teams              |true   |20      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Basketball teams             |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
|24 |api_basketball       |BK        |fixtures           |true   |30      |league_season|true           |true           |                 |daily      |                |                                 |                                  |Basketball fixtures          |2026-03-20 08:20:05.476 +0100|2026-03-20 08:20:05.476 +0100|
