|id |job_code                       |started_at                   |finished_at                  |status |rows_affected|message                                                                                                                                                                     |
|---|-------------------------------|-----------------------------|-----------------------------|-------|-------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|166|ingest_planner_worker          |2026-03-17 23:13:22.116 +0100|                             |running|0            |Planner job started.                                                                                                                                                        |
|165|ingest_planner_worker          |2026-03-17 23:13:17.781 +0100|2026-03-17 23:13:22.072 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|164|ingest_planner_worker          |2026-03-17 23:13:16.869 +0100|2026-03-17 23:13:17.735 +0100|warning|1            |Planner job finished with WARNING. Re-queued to pending.                                                                                                                    |
|163|ingest_planner_worker          |2026-03-17 23:13:12.646 +0100|2026-03-17 23:13:16.820 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|162|ingest_planner_worker          |2026-03-17 23:13:08.228 +0100|2026-03-17 23:13:12.603 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|161|ingest_planner_worker          |2026-03-17 23:13:02.810 +0100|2026-03-17 23:13:08.187 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|160|ingest_planner_worker          |2026-03-17 23:12:56.933 +0100|2026-03-17 23:13:02.768 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|159|ingest_cycle_v3                |2026-03-17 23:12:56.675 +0100|                             |running|0            |Ingest cycle V3 started.                                                                                                                                                    |
|158|ingest_planner_worker          |2026-03-17 23:10:59.319 +0100|                             |running|0            |Planner job started.                                                                                                                                                        |
|157|ingest_cycle_v3                |2026-03-17 23:10:59.002 +0100|                             |running|0            |Ingest cycle V3 started.                                                                                                                                                    |
|152|unified_staging_to_public_merge|2026-03-14 23:19:54.533 +0100|2026-03-14 23:19:59.786 +0100|ok     |76,539       |Unified staging to public merge finished OK.                                                                                                                                |
|151|ingest_planner_worker          |2026-03-14 23:19:04.655 +0100|2026-03-14 23:19:41.434 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|150|ingest_planner_worker          |2026-03-14 23:18:59.629 +0100|2026-03-14 23:19:04.599 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|149|ingest_planner_worker          |2026-03-14 23:17:06.350 +0100|2026-03-14 23:18:59.567 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|148|ingest_planner_worker          |2026-03-14 23:16:57.727 +0100|2026-03-14 23:17:06.308 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|147|ingest_planner_worker          |2026-03-14 23:16:10.668 +0100|2026-03-14 23:16:57.660 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|146|ingest_planner_worker          |2026-03-14 23:16:06.885 +0100|2026-03-14 23:16:10.626 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|145|ingest_planner_worker          |2026-03-14 23:14:52.179 +0100|2026-03-14 23:16:06.840 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|144|ingest_planner_worker          |2026-03-14 23:14:46.833 +0100|2026-03-14 23:14:52.136 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|143|ingest_planner_worker          |2026-03-14 23:13:32.520 +0100|2026-03-14 23:14:46.788 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|142|ingest_planner_worker          |2026-03-14 23:13:25.385 +0100|2026-03-14 23:13:32.473 +0100|ok     |1            |Planner job finished OK.                                                                                                                                                    |
|141|ingest_cycle_v3                |2026-03-14 23:13:25.104 +0100|2026-03-14 23:19:59.927 +0100|ok     |10           |Ingest cycle V3 finished OK.                                                                                                                                                |
|139|unified_staging_to_public_merge|2026-03-14 22:28:52.314 +0100|2026-03-14 22:28:58.830 +0100|ok     |79,055       |Unified staging to public merge finished OK.                                                                                                                                |
|138|unified_staging_to_public_merge|2026-03-14 21:58:25.897 +0100|2026-03-14 21:58:33.089 +0100|ok     |74,915       |Unified staging to public merge finished OK.                                                                                                                                |
|137|unified_staging_to_public_merge|2026-03-14 21:53:04.224 +0100|2026-03-14 21:53:04.452 +0100|error  |0            |Unified staging to public merge failed: duplicate key value violates unique constraint "league_teams_pkey"¶DETAIL:  Key (league_id, team_id)=(20877, 12400) already exists.¶|
|103|ingest_planner_worker          |2026-03-13 22:58:39.294 +0100|                             |running|0            |Planner job started.                                                                                                                                                        |
|102|ingest_planner_worker          |2026-03-13 22:53:39.160 +0100|2026-03-13 22:58:39.246 +0100|error  |1            |Planner job finished with ERROR.                                                                                                                                            |
|101|ingest_cycle_v2                |2026-03-13 22:53:38.913 +0100|                             |running|0            |Ingest cycle V2 started.                                                                                                                                                    |
|100|ingest_planner_worker          |2026-03-13 22:52:03.451 +0100|2026-03-13 22:52:21.875 +0100|error  |1            |Planner job finished with ERROR.                                                                                                                                            |
|99 |ingest_planner_worker          |2026-03-13 22:51:45.421 +0100|2026-03-13 22:52:03.347 +0100|error  |1            |Planner job finished with ERROR.                                                                                                                                            |
