|id |provider             |sport_code|sport_name       |is_enabled|supports_leagues|supports_teams|supports_fixtures|supports_players|supports_player_stats|supports_odds|supports_coaches|supports_standings|notes                     |created_at                   |updated_at                   |
|---|---------------------|----------|-----------------|----------|----------------|--------------|-----------------|----------------|---------------------|-------------|----------------|------------------|--------------------------|-----------------------------|-----------------------------|
|13 |api_american_football|AFB       |American Football|true      |true            |true          |true             |true            |false                |true         |true            |true              |American football provider|2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|9  |api_baseball         |BSB       |Baseball         |true      |true            |true          |true             |true            |false                |true         |true            |true              |Baseball provider         |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|3  |api_basketball       |BK        |Basketball       |true      |true            |true          |true             |true            |false                |true         |true            |true              |Basketball provider       |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|11 |api_cricket          |CK        |Cricket          |true      |true            |true          |true             |true            |false                |true         |true            |true              |Cricket provider          |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|6  |api_darts            |DRT       |Darts            |true      |true            |false         |true             |true            |false                |true         |false           |true              |Darts provider            |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|14 |api_esports          |ESP       |Esports          |true      |true            |false         |true             |true            |false                |true         |true            |false             |Esports provider          |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|12 |api_field_hockey     |FH        |Field Hockey     |true      |true            |true          |true             |true            |false                |true         |true            |true              |Field hockey provider     |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|1  |api_football         |FB        |Football         |true      |true            |true          |true             |true            |true                 |true         |true            |true              |Hlavní football provider  |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|8  |api_handball         |HB        |Handball         |true      |true            |true          |true             |true            |false                |true         |true            |true              |Handball provider         |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|2  |api_hockey           |HK        |Hockey           |true      |true            |true          |true             |true            |false                |true         |true            |true              |Hockey provider           |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|5  |api_mma              |MMA       |MMA              |true      |true            |false         |true             |true            |false                |true         |false           |true              |MMA provider              |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|10 |api_rugby            |RGB       |Rugby            |true      |true            |true          |true             |true            |false                |true         |true            |true              |Rugby provider            |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|4  |api_tennis           |TN        |Tennis           |true      |true            |false         |true             |true            |false                |true         |false           |true              |Tennis provider           |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
|7  |api_volleyball       |VB        |Volleyball       |true      |true            |true          |true             |true            |false                |true         |true            |true              |Volleyball provider       |2026-03-20 08:18:38.760 +0100|2026-03-20 08:18:38.760 +0100|
