|sport_code|entity             |is_enabled|default_run_group|requires_season|requires_league|source_endpoint|
|----------|-------------------|----------|-----------------|---------------|---------------|---------------|
|AFB       |leagues            |true      |core             |true           |false          |leagues        |
|AFB       |teams              |true      |core             |true           |true           |teams          |
|AFB       |fixtures           |true      |core             |true           |true           |fixtures       |
|AFB       |odds               |true      |core             |true           |true           |odds           |
|AFB       |players            |true      |extended         |true           |true           |players        |
|AFB       |coaches            |true      |extended         |true           |true           |coaches        |
|BK        |leagues            |true      |core             |true           |false          |leagues        |
|BK        |teams              |true      |core             |true           |true           |teams          |
|BK        |fixtures           |true      |core             |true           |true           |fixtures       |
|BK        |odds               |true      |core             |true           |true           |odds           |
|BK        |players            |true      |extended         |true           |true           |players        |
|BK        |coaches            |true      |extended         |true           |true           |coaches        |
|BSB       |leagues            |true      |core             |true           |false          |leagues        |
|BSB       |teams              |true      |core             |true           |true           |teams          |
|BSB       |fixtures           |true      |core             |true           |true           |fixtures       |
|BSB       |odds               |true      |core             |true           |true           |odds           |
|BSB       |players            |true      |extended         |true           |true           |players        |
|BSB       |coaches            |true      |extended         |true           |true           |coaches        |
|CK        |leagues            |true      |core             |true           |false          |leagues        |
|CK        |teams              |true      |core             |true           |true           |teams          |
|CK        |fixtures           |true      |core             |true           |true           |fixtures       |
|CK        |odds               |true      |core             |true           |true           |odds           |
|CK        |players            |true      |extended         |true           |true           |players        |
|CK        |coaches            |true      |extended         |true           |true           |coaches        |
|DRT       |leagues            |true      |core             |false          |false          |tournaments    |
|DRT       |fixtures           |true      |core             |false          |true           |fixtures       |
|DRT       |players            |true      |core             |false          |false          |players        |
|DRT       |rankings           |true      |extended         |false          |false          |rankings       |
|DRT       |odds               |true      |core             |false          |false          |odds           |
|ESP       |leagues            |true      |core             |true           |false          |leagues        |
|ESP       |fixtures           |true      |core             |true           |true           |fixtures       |
|ESP       |players            |true      |core             |false          |false          |players        |
|ESP       |coaches            |true      |extended         |true           |true           |coaches        |
|ESP       |odds               |true      |core             |false          |false          |odds           |
|FB        |leagues            |true      |core             |true           |false          |leagues        |
|FB        |teams              |true      |core             |true           |true           |teams          |
|FB        |fixtures           |true      |core             |true           |true           |fixtures       |
|FB        |odds               |true      |core             |true           |true           |odds           |
|FB        |players            |true      |extended         |true           |true           |players        |
|FB        |player_season_stats|true      |extended         |true           |true           |players        |
|FB        |coaches            |true      |extended         |true           |true           |coaches        |
|FH        |leagues            |true      |core             |true           |false          |leagues        |
|FH        |teams              |true      |core             |true           |true           |teams          |
|FH        |fixtures           |true      |core             |true           |true           |fixtures       |
|FH        |odds               |true      |core             |true           |true           |odds           |
|FH        |players            |true      |extended         |true           |true           |players        |
|FH        |coaches            |true      |extended         |true           |true           |coaches        |
|HB        |leagues            |true      |core             |true           |false          |leagues        |
|HB        |teams              |true      |core             |true           |true           |teams          |
|HB        |fixtures           |true      |core             |true           |true           |fixtures       |
|HB        |odds               |true      |core             |true           |true           |odds           |
|HB        |players            |true      |extended         |true           |true           |players        |
|HB        |coaches            |true      |extended         |true           |true           |coaches        |
|HK        |leagues            |true      |core             |true           |false          |leagues        |
|HK        |teams              |true      |core             |true           |true           |teams          |
|HK        |fixtures           |true      |core             |true           |true           |fixtures       |
|HK        |odds               |true      |core             |true           |true           |odds           |
|HK        |players            |true      |extended         |true           |true           |players        |
|HK        |coaches            |true      |extended         |true           |true           |coaches        |
|MMA       |leagues            |true      |core             |false          |false          |events         |
|MMA       |fixtures           |true      |core             |false          |true           |bouts          |
|MMA       |players            |true      |core             |false          |false          |fighters       |
|MMA       |rankings           |true      |extended         |false          |false          |rankings       |
|MMA       |odds               |true      |core             |false          |false          |odds           |
|RGB       |leagues            |true      |core             |true           |false          |leagues        |
|RGB       |teams              |true      |core             |true           |true           |teams          |
|RGB       |fixtures           |true      |core             |true           |true           |fixtures       |
|RGB       |odds               |true      |core             |true           |true           |odds           |
|RGB       |players            |true      |extended         |true           |true           |players        |
|RGB       |coaches            |true      |extended         |true           |true           |coaches        |
|TN        |leagues            |true      |core             |true           |false          |tournaments    |
|TN        |fixtures           |true      |core             |true           |true           |fixtures       |
|TN        |players            |true      |core             |false          |false          |players        |
|TN        |rankings           |true      |extended         |false          |false          |rankings       |
|TN        |odds               |true      |core             |false          |false          |odds           |
|VB        |leagues            |true      |core             |true           |false          |leagues        |
|VB        |teams              |true      |core             |true           |true           |teams          |
|VB        |fixtures           |true      |core             |true           |true           |fixtures       |
|VB        |odds               |true      |core             |true           |true           |odds           |
|VB        |players            |true      |extended         |true           |true           |players        |
|VB        |coaches            |true      |extended         |true           |true           |coaches        |
