|provider             |sport_code|job_code                                 |endpoint_code|ingest_mode|enabled|priority|
|---------------------|----------|-----------------------------------------|-------------|-----------|-------|--------|
|api_american_football|AFB       |api_american_football__AFB_CORE__leagues |leagues      |fast       |true   |12,010  |
|api_american_football|AFB       |api_american_football__AFB_CORE__teams   |teams        |fast       |true   |12,020  |
|api_american_football|AFB       |api_american_football__AFB_CORE__fixtures|fixtures     |fast       |true   |12,030  |
|api_american_football|AFB       |api_american_football__AFB_CORE__players |players      |medium     |true   |12,040  |
|api_american_football|AFB       |api_american_football__AFB_CORE__coaches |coaches      |medium     |true   |12,050  |
|api_american_football|AFB       |api_american_football__AFB_CORE__odds    |odds         |fast       |false  |12,060  |
|api_baseball         |BSB       |api_baseball__BSB_CORE__leagues          |leagues      |fast       |true   |8,010   |
|api_baseball         |BSB       |api_baseball__BSB_CORE__teams            |teams        |fast       |true   |8,020   |
|api_baseball         |BSB       |api_baseball__BSB_CORE__fixtures         |fixtures     |fast       |true   |8,030   |
|api_baseball         |BSB       |api_baseball__BSB_CORE__players          |players      |medium     |true   |8,040   |
|api_baseball         |BSB       |api_baseball__BSB_CORE__coaches          |coaches      |medium     |true   |8,050   |
|api_baseball         |BSB       |api_baseball__BSB_CORE__odds             |odds         |fast       |false  |8,060   |
|api_cricket          |CK        |api_cricket__CK_CORE__leagues            |leagues      |fast       |true   |10,010  |
|api_cricket          |CK        |api_cricket__CK_CORE__teams              |teams        |fast       |true   |10,020  |
|api_cricket          |CK        |api_cricket__CK_CORE__fixtures           |fixtures     |fast       |true   |10,030  |
|api_cricket          |CK        |api_cricket__CK_CORE__players            |players      |medium     |true   |10,040  |
|api_cricket          |CK        |api_cricket__CK_CORE__coaches            |coaches      |medium     |true   |10,050  |
|api_cricket          |CK        |api_cricket__CK_CORE__odds               |odds         |fast       |false  |10,060  |
|api_darts            |DRT       |api_darts__DRT_CORE__leagues             |leagues      |fast       |true   |14,010  |
|api_darts            |DRT       |api_darts__DRT_CORE__fixtures            |fixtures     |fast       |true   |14,020  |
|api_darts            |DRT       |api_darts__DRT_CORE__players             |players      |medium     |true   |14,030  |
