|sport_code|provider             |entity             |default_run_group|
|----------|---------------------|-------------------|-----------------|
|AFB       |api_american_football|coaches            |AFB_CORE         |
|AFB       |api_american_football|fixtures           |AFB_CORE         |
|AFB       |api_american_football|leagues            |AFB_CORE         |
|AFB       |api_american_football|odds               |AFB_CORE         |
|AFB       |api_american_football|players            |AFB_CORE         |
|AFB       |api_american_football|teams              |AFB_CORE         |
|BK        |api_basketball       |coaches            |BK_TOP           |
|BK        |api_basketball       |fixtures           |BK_TOP           |
|BK        |api_basketball       |leagues            |BK_TOP           |
|BK        |api_basketball       |odds               |BK_TOP           |
|BK        |api_basketball       |players            |BK_TOP           |
|BK        |api_basketball       |teams              |BK_TOP           |
|BK        |api_sport            |coaches            |BK_TOP           |
|BK        |api_sport            |fixtures           |BK_TOP           |
|BK        |api_sport            |leagues            |BK_TOP           |
|BK        |api_sport            |odds               |BK_TOP           |
|BK        |api_sport            |players            |BK_TOP           |
|BK        |api_sport            |teams              |BK_TOP           |
|BSB       |api_baseball         |coaches            |BSB_CORE         |
|BSB       |api_baseball         |fixtures           |BSB_CORE         |
|BSB       |api_baseball         |leagues            |BSB_CORE         |
|BSB       |api_baseball         |odds               |BSB_CORE         |
|BSB       |api_baseball         |players            |BSB_CORE         |
|BSB       |api_baseball         |teams              |BSB_CORE         |
|CK        |api_cricket          |coaches            |CK_CORE          |
|CK        |api_cricket          |fixtures           |CK_CORE          |
|CK        |api_cricket          |leagues            |CK_CORE          |
|CK        |api_cricket          |odds               |CK_CORE          |
|CK        |api_cricket          |players            |CK_CORE          |
|CK        |api_cricket          |teams              |CK_CORE          |
|DRT       |api_darts            |fixtures           |DRT_CORE         |
|DRT       |api_darts            |leagues            |DRT_CORE         |
|DRT       |api_darts            |odds               |DRT_CORE         |
|DRT       |api_darts            |players            |DRT_CORE         |
|DRT       |api_darts            |rankings           |DRT_CORE         |
|ESP       |api_esports          |coaches            |ESP_CORE         |
|ESP       |api_esports          |fixtures           |ESP_CORE         |
|ESP       |api_esports          |leagues            |ESP_CORE         |
|ESP       |api_esports          |odds               |ESP_CORE         |
|ESP       |api_esports          |players            |ESP_CORE         |
|FB        |api_football         |coaches            |FB_BOOTSTRAP_V1  |
|FB        |api_football         |fixtures           |FB_BOOTSTRAP_V1  |
|FB        |api_football         |leagues            |FB_BOOTSTRAP_V1  |
|FB        |api_football         |odds               |FB_BOOTSTRAP_V1  |
|FB        |api_football         |players            |FB_BOOTSTRAP_V1  |
|FB        |api_football         |player_season_stats|FB_BOOTSTRAP_V1  |
|FB        |api_football         |player_stats       |FB_BOOTSTRAP_V1  |
|FB        |api_football         |teams              |FB_BOOTSTRAP_V1  |
|FB        |football_data        |fixtures           |FB_FD_CORE       |
|FB        |football_data        |leagues            |FB_FD_CORE       |
|FB        |football_data        |odds               |FB_FD_CORE       |
|FB        |football_data        |teams              |FB_FD_CORE       |
|FH        |api_field_hockey     |coaches            |FH_CORE          |
|FH        |api_field_hockey     |fixtures           |FH_CORE          |
|FH        |api_field_hockey     |leagues            |FH_CORE          |
|FH        |api_field_hockey     |odds               |FH_CORE          |
|FH        |api_field_hockey     |players            |FH_CORE          |
|FH        |api_field_hockey     |teams              |FH_CORE          |
|HB        |api_handball         |coaches            |HB_CORE          |
|HB        |api_handball         |fixtures           |HB_CORE          |
|HB        |api_handball         |leagues            |HB_CORE          |
|HB        |api_handball         |odds               |HB_CORE          |
|HB        |api_handball         |players            |HB_CORE          |
|HB        |api_handball         |teams              |HB_CORE          |
|HK        |api_hockey           |coaches            |HK_TOP           |
|HK        |api_hockey           |fixtures           |HK_TOP           |
|HK        |api_hockey           |leagues            |HK_TOP           |
|HK        |api_hockey           |odds               |HK_TOP           |
|HK        |api_hockey           |players            |HK_TOP           |
|HK        |api_hockey           |teams              |HK_TOP           |
|MMA       |api_mma              |fixtures           |MMA_CORE         |
|MMA       |api_mma              |leagues            |MMA_CORE         |
|MMA       |api_mma              |odds               |MMA_CORE         |
|MMA       |api_mma              |players            |MMA_CORE         |
|MMA       |api_mma              |rankings           |MMA_CORE         |
|RGB       |api_rugby            |coaches            |RGB_CORE         |
|RGB       |api_rugby            |fixtures           |RGB_CORE         |
|RGB       |api_rugby            |leagues            |RGB_CORE         |
|RGB       |api_rugby            |odds               |RGB_CORE         |
|RGB       |api_rugby            |players            |RGB_CORE         |
|RGB       |api_rugby            |teams              |RGB_CORE         |
|TN        |api_tennis           |fixtures           |TN_CORE          |
|TN        |api_tennis           |leagues            |TN_CORE          |
|TN        |api_tennis           |odds               |TN_CORE          |
|TN        |api_tennis           |players            |TN_CORE          |
|TN        |api_tennis           |rankings           |TN_CORE          |
|VB        |api_volleyball       |coaches            |VB_CORE          |
|VB        |api_volleyball       |fixtures           |VB_CORE          |
|VB        |api_volleyball       |leagues            |VB_CORE          |
|VB        |api_volleyball       |odds               |VB_CORE          |
|VB        |api_volleyball       |players            |VB_CORE          |
|VB        |api_volleyball       |teams              |VB_CORE          |
