|norm_name              |id    |name                   |ext_source      |ext_team_id |matches_used|
|-----------------------|------|-----------------------|----------------|------------|------------|
|1461 trabzon fk        |14,636|1461 Trabzon FK        |api_football    |6340        |117         |
|1461 trabzon fk        |27,353|1461 Trabzon FK        |api_sport       |6340        |1           |
|1 fc kln               |518   |1. FC Köln             |football_data   |1           |226         |
|1 fc kln               |12,735|1. FC K?ln             |api_football    |192         |102         |
|2 de mayo              |606   |2 de Mayo              |football_data   |11242       |4           |
|2 de mayo              |28,053|2 de Mayo              |api_sport       |2140        |1           |
|68 aksaray belediyespor|14,197|68 Aksaray Belediyespor|api_football    |6507        |73          |
|68 aksaray belediyespor|26,254|68 Aksaray Belediyespor|api_sport       |6507        |1           |
|aalesund               |13,181|Aalesund               |api_football    |757         |35          |
|aalesund               |25,829|Aalesund               |api_sport       |757         |1           |
|aarhus                 |13,156|Aarhus                 |api_football    |406         |96          |
|aarhus                 |27,730|Aarhus                 |api_sport       |406         |1           |
|ac horsens             |12,236|AC Horsens             |api_football    |404         |96          |
|ac horsens             |25,814|AC Horsens             |api_sport       |404         |1           |
|ac milan               |536   |AC Milan               |football_data   |98          |328         |
|ac milan               |12,122|AC Milan               |api_football    |489         |114         |
|ac milan               |27,887|AC Milan               |api_sport       |489         |1           |
|adanaspor              |12,622|Adanaspor              |api_football    |3564        |108         |
|adanaspor              |26,550|Adanaspor              |api_sport       |3564        |1           |
|ad ceuta fc            |26,689|AD Ceuta FC            |api_sport       |10139       |1           |
|ad ceuta fc            |28,745|AD Ceuta FC            |api_football    |10139       |0           |
|admira wacker          |12,497|Admira Wacker          |api_football    |1023        |90          |
|admira wacker          |26,162|Admira Wacker          |api_sport       |1023        |1           |
|ado 20                 |14,830|ADO '20                |api_football    |3886        |34          |
|ado 20                 |26,790|ADO '20                |api_sport       |3886        |1           |
|ael                    |13,018|AEL                    |api_football    |3396        |113         |
|ael                    |27,071|AEL                    |api_sport       |3396        |1           |
|afc hermannstadt       |13,186|AFC Hermannstadt       |api_football    |2579        |117         |
|afc hermannstadt       |26,635|AFC Hermannstadt       |api_sport       |2579        |1           |
|afc wimbledon          |13,535|AFC Wimbledon          |api_football    |1333        |141         |
|afc wimbledon          |26,524|AFC Wimbledon          |api_sport       |1333        |1           |
|af elbasani            |12,213|AF Elbasani            |api_football    |20406       |69          |
|af elbasani            |27,067|AF Elbasani            |api_sport       |20406       |1           |
|afjet afyonspor        |13,911|Afjet Afyonspor        |api_football    |3565        |106         |
|afjet afyonspor        |26,670|Afjet Afyonspor        |api_sport       |3565        |1           |
|aik stockholm          |13,267|AIK Stockholm          |api_football    |377         |36          |
|aik stockholm          |25,830|AIK Stockholm          |api_sport       |377         |1           |
|ajaccio                |13,579|Ajaccio                |api_football    |98          |110         |
|ajaccio                |1,029 |Ajaccio                |football_data_uk|Ajaccio     |38          |
|ajka                   |13,238|Ajka                   |api_football    |4714        |102         |
|ajka                   |27,004|Ajka                   |api_sport       |4714        |1           |
|akademija pandev       |12,591|Akademija Pandev       |api_football    |4194        |66          |
|akademija pandev       |25,711|Akademija Pandev       |api_sport       |4194        |1           |
|akhmat                 |13,409|Akhmat                 |api_football    |1085        |62          |
|akhmat                 |25,725|Akhmat                 |api_sport       |1085        |1           |
|akron                  |13,582|Akron                  |api_football    |6786        |66          |
|akron                  |25,779|Akron                  |api_sport       |6786        |1           |
|alanyaspor             |13,492|Alanyaspor             |api_football    |996         |74          |
|alanyaspor             |25,810|Alanyaspor             |api_sport       |996         |1           |
|alaves                 |12,093|Alaves                 |api_football    |542         |122         |
|alaves                 |27,892|Alaves                 |api_sport       |542         |1           |
|alcorcon               |28,678|Alcorcon               |api_football    |711         |42          |
|alcorcon               |26,319|Alcorcon               |api_sport       |711         |1           |
|alfaro                 |27,562|Alfaro                 |api_sport       |9860        |1           |
|alfaro                 |28,825|Alfaro                 |api_football    |9860        |0           |
|almeria                |12,871|Almeria                |api_football    |723         |120         |
|almeria                |1,158 |Almeria                |football_data_uk|Almeria     |76          |
|almeria                |25,856|Almeria                |api_sport       |723         |1           |
|altay                  |14,578|Altay                  |api_football    |3566        |104         |
|altay                  |13,202|Altay                  |api_football    |4544        |17          |
|altay                  |26,672|Altay                  |api_sport       |3566        |1           |
|aluminij               |12,574|Aluminij               |api_football    |4358        |98          |
|aluminij               |27,650|Aluminij               |api_sport       |4358        |1           |
|amarante               |14,245|Amarante               |api_football    |4725        |32          |
|amarante               |27,456|Amarante               |api_sport       |4725        |1           |
|amiens                 |12,879|Amiens                 |api_football    |87          |110         |
|amiens                 |1,034 |Amiens                 |football_data_uk|Amiens      |66          |
|amorebieta             |28,691|Amorebieta             |api_football    |9380        |42          |
|amorebieta             |27,563|Amorebieta             |api_sport       |9380        |1           |
|anadia                 |14,502|Anadia                 |api_football    |4727        |56          |
|anadia                 |27,305|Anadia                 |api_sport       |4727        |1           |
|anagennisi karditsas   |15,110|Anagennisi Karditsas   |api_football    |2094        |62          |
|anagennisi karditsas   |26,861|Anagennisi Karditsas   |api_sport       |2094        |1           |
|anderlecht             |972   |Anderlecht             |football_data_uk|Anderlecht  |266         |
|anderlecht             |12,940|Anderlecht             |api_football    |554         |114         |
|anderlecht             |26,633|Anderlecht             |api_sport       |554         |1           |
|angers                 |1,018 |Angers                 |football_data_uk|Angers      |236         |
|angers                 |12,102|Angers                 |api_football    |77          |110         |
|ankara demirspor       |14,438|Ankara Demirspor       |api_football    |3581        |109         |
|ankara demirspor       |26,551|Ankara Demirspor       |api_sport       |3581        |1           |
