|match_id|league_name |home_team              |away_team          |market_code|market_name           |outcome_code|outcome_label|bookmaker_name    |odd_value|collected_at           |
|--------|------------|-----------------------|-------------------|-----------|----------------------|------------|-------------|------------------|---------|-----------------------|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Betfair           |1.92     |2026-03-26 12:49:43.122|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Codere (IT)       |1.88     |2026-03-26 12:49:43.093|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Pinnacle          |1.86     |2026-03-26 12:49:43.150|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Nordic Bet        |1.86     |2026-03-26 12:49:43.190|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Betsson           |1.86     |2026-03-26 12:49:43.177|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |LeoVegas (SE)     |1.85     |2026-03-26 12:49:43.233|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |William Hill      |1.85     |2026-03-26 12:49:43.066|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |888sport          |1.85     |2026-03-26 12:49:43.051|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |1xBet             |1.84     |2026-03-26 12:49:43.080|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Unibet (NL)       |1.82     |2026-03-26 12:49:43.205|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Marathon Bet      |1.82     |2026-03-26 12:49:43.163|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Unibet (SE)       |1.82     |2026-03-26 12:49:43.219|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Tipico            |1.8      |2026-03-26 12:49:43.136|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Winamax (DE)      |1.8      |2026-03-26 12:49:43.024|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Parions Sport (FR)|1.75     |2026-03-26 12:49:42.995|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Unibet (FR)       |1.75     |2026-03-26 13:12:18.629|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Winamax (FR)      |1.72     |2026-03-26 12:49:43.010|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |Betclic (FR)      |1.7      |2026-03-26 12:49:43.107|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|1           |Home Win     |PMU (FR)          |1.66     |2026-03-26 12:49:43.037|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Betfair           |4.3      |2026-03-26 12:49:43.128|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |LeoVegas (SE)     |4.2      |2026-03-26 12:49:43.238|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Betsson           |4.12     |2026-03-26 12:49:43.182|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Nordic Bet        |4.12     |2026-03-26 12:49:43.196|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Unibet (NL)       |4.1      |2026-03-26 12:49:43.210|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Unibet (SE)       |4.1      |2026-03-26 12:49:43.224|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Marathon Bet      |4.05     |2026-03-26 12:49:43.169|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |1xBet             |4.03     |2026-03-26 12:49:43.085|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Codere (IT)       |4        |2026-03-26 12:49:43.098|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Pinnacle          |3.96     |2026-03-26 12:49:43.156|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Tipico            |3.9      |2026-03-26 12:49:43.141|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |888sport          |3.8      |2026-03-26 12:49:43.057|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |William Hill      |3.8      |2026-03-26 12:49:43.071|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Winamax (DE)      |3.7      |2026-03-26 12:49:43.029|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Parions Sport (FR)|3.65     |2026-03-26 12:49:43.002|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Unibet (FR)       |3.65     |2026-03-26 13:12:18.644|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Betclic (FR)      |3.53     |2026-03-26 12:49:43.113|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |PMU (FR)          |3.5      |2026-03-26 12:49:43.043|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|2           |Away Win     |Winamax (FR)      |3.4      |2026-03-26 12:49:43.015|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Pinnacle          |3.8      |2026-03-26 12:49:43.159|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |LeoVegas (SE)     |3.75     |2026-03-26 12:49:43.243|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Codere (IT)       |3.7      |2026-03-26 12:49:43.103|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Nordic Bet        |3.69     |2026-03-26 12:49:43.200|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Betsson           |3.69     |2026-03-26 12:49:43.186|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Unibet (SE)       |3.65     |2026-03-26 12:49:43.229|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Unibet (NL)       |3.65     |2026-03-26 12:49:43.214|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Betfair           |3.65     |2026-03-26 12:49:43.132|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |1xBet             |3.64     |2026-03-26 12:49:43.089|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Marathon Bet      |3.64     |2026-03-26 12:49:43.173|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Winamax (DE)      |3.6      |2026-03-26 12:49:43.033|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Tipico            |3.6      |2026-03-26 12:49:43.146|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |888sport          |3.5      |2026-03-26 12:49:43.061|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |William Hill      |3.5      |2026-03-26 12:49:43.075|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Unibet (FR)       |3.35     |2026-03-26 13:12:18.650|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Parions Sport (FR)|3.35     |2026-03-26 12:49:43.006|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Winamax (FR)      |3.3      |2026-03-26 12:49:43.019|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |Betclic (FR)      |3.25     |2026-03-26 12:49:43.118|
|62,674  |Championship|Sheffield United FC    |Swansea City AFC   |h2h        |Full Time Result (1X2)|X           |Draw         |PMU (FR)          |3.2      |2026-03-26 12:49:43.047|
|62,677  |Championship|West Bromwich Albion FC|Wrexham AFC        |h2h        |Full Time Result (1X2)|1           |Home Win     |LeoVegas (SE)     |2.2      |2026-03-26 12:49:43.507|
|62,677  |Championship|West Bromwich Albion FC|Wrexham AFC        |h2h        |Full Time Result (1X2)|1           |Home Win     |Unibet (NL)       |2.17     |2026-03-26 12:49:43.480|
|62,677  |Championship|West Bromwich Albion FC|Wrexham AFC        |h2h        |Full Time Result (1X2)|1           |Home Win     |Unibet (SE)       |2.17     |2026-03-26 12:49:43.492|
|62,677  |Championship|West Bromwich Albion FC|Wrexham AFC        |h2h        |Full Time Result (1X2)|1           |Home Win     |Codere (IT)       |2.17     |2026-03-26 12:49:43.366|
|62,677  |Championship|West Bromwich Albion FC|Wrexham AFC        |h2h        |Full Time Result (1X2)|1           |Home Win     |Betfair           |2.14     |2026-03-26 12:49:43.395|
|62,677  |Championship|West Bromwich Albion FC|Wrexham AFC        |h2h        |Full Time Result (1X2)|1           |Home Win     |Betsson           |2.12     |2026-03-26 12:49:43.451|
|62,677  |Championship|West Bromwich Albion FC|Wrexham AFC        |h2h        |Full Time Result (1X2)|1           |Home Win     |Nordic Bet        |2.12     |2026-03-26 12:49:43.465|
|62,677  |Championship|West Bromwich Albion FC|Wrexham AFC        |h2h        |Full Time Result (1X2)|1           |Home Win     |William Hill      |2.1      |2026-03-26 12:49:43.333|
