"id","sport_code","canonical_league_id","provider","provider_league_id","season","enabled","tier","fixtures_days_back","fixtures_days_forward","odds_days_forward","max_requests_per_run","notes","created_at","updated_at","run_group"
378,football,20971,api_football,"310","2024",true,1,2,7,3,,EU|EU_national_1_2|AL|Superliga,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
379,football,20970,api_football,"311","2024",true,1,2,7,3,,EU|EU_national_1_2|AL|1st Division,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
380,football,20912,api_football,"312","2024",true,1,2,7,3,,EU|EU_national_1_2|AD|1a Divisió,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
381,football,20913,api_football,"313","2024",true,1,2,7,3,,EU|EU_national_1_2|AD|2a Divisió,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
382,football,21009,api_football,"342","2024",true,1,2,7,3,,EU|EU_national_1_2|AM|Premier League,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
383,football,21008,api_football,"343","2024",true,1,2,7,3,,EU|EU_national_1_2|AM|First League,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
386,football,20925,api_football,"418","2024",true,1,2,7,3,,EU|EU_national_1_2|AZ|Birinci Dasta,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
387,football,20926,api_football,"419","2024",true,1,2,7,3,,EU|EU_national_1_2|AZ|Premyer Liqa,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
388,football,21012,api_football,"116","2024",true,1,2,7,3,,EU|EU_national_1_2|BY|Premier League,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
389,football,21013,api_football,"117","2024",true,1,2,7,3,,EU|EU_national_1_2|BY|1. Division,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
392,football,21140,api_football,"315","2024",true,1,2,7,3,,EU|EU_national_1_2|BA|Premijer Liga,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
34,football,21242,api_football,"172","2024",true,1,2,7,3,100,EU|EU_national_1_2|BG|First League,2026-02-27 22:00:06.788 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
396,football,21839,api_football,"946","2024",true,1,2,7,3,,EU|EU_national_1_2|HR|Second NL,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
36,football,21250,api_football,"318","2024",true,1,2,7,3,100,EU|EU_national_1_2|CY|1. Division,2026-02-27 22:00:06.788 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
37,football,21251,api_football,"319","2024",true,1,2,7,3,100,EU|EU_national_1_2|CY|2. Division,2026-02-27 22:00:06.788 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
399,football,21257,api_football,"345","2024",true,1,2,7,3,,EU|EU_national_1_2|CZ|Czech Liga,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
400,football,21258,api_football,"346","2024",true,1,2,7,3,,EU|EU_national_1_2|CZ|FNL,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
17,football,20939,api_football,"119","2024",true,1,2,7,3,100,EU|EU_national_1_2|DK|Superliga,2026-02-27 22:00:06.788 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
18,football,20940,api_football,"120","2024",true,1,2,7,3,100,EU|EU_national_1_2|DK|1. Division,2026-02-27 22:00:06.788 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
403,football,20953,api_football,"328","2024",true,1,2,7,3,,EU|EU_national_1_2|EE|Esiliiga A,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
404,football,20954,api_football,"329","2024",true,1,2,7,3,,EU|EU_national_1_2|EE|Meistriliiga,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
405,football,20997,api_football,"244","2024",true,1,2,7,3,,EU|EU_national_1_2|FI|Veikkausliiga,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
406,football,20996,api_football,"245","2024",true,1,2,7,3,,EU|EU_national_1_2|FI|Ykkönen,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
409,football,20955,api_football,"326","2024",true,1,2,7,3,,EU|EU_national_1_2|GE|Erovnuli Liga 2,2026-03-02 21:45:27.474 +0100,2026-03-02 21:45:27.474 +0100,EU_national_1_2
