|league_id|provider     |provider_league_id|created_at                   |updated_at                   |
|---------|-------------|------------------|-----------------------------|-----------------------------|
|4        |football_data|2013              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|32       |football_data|2014              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|27       |football_data|2002              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|28       |football_data|2019              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|26       |football_data|2015              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|29       |football_data|2003              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|30       |football_data|2017              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|6        |football_data|2021              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|5        |football_data|2016              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|8        |football_data|2018              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|7        |football_data|2001              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|31       |football_data|2152              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|33       |football_data|2000              |2026-02-23 16:08:32.253 +0100|2026-02-23 16:08:32.253 +0100|
|21,201   |api_football |492               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|21,090   |api_football |82                |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|20,924   |api_football |218               |2026-02-28 13:37:36.912 +0100|2026-03-02 21:45:27.474 +0100|
|20,893   |api_football |204               |2026-02-28 13:37:36.912 +0100|2026-03-02 21:45:27.474 +0100|
|20,963   |api_football |79                |2026-02-28 13:37:36.912 +0100|2026-03-02 21:45:27.474 +0100|
|20,923   |api_football |219               |2026-02-28 13:37:36.912 +0100|2026-03-02 21:45:27.474 +0100|
|21,062   |api_football |141               |2026-02-28 13:37:36.912 +0100|2026-03-02 21:45:27.474 +0100|
|21,066   |api_football |95                |2026-02-28 13:37:36.912 +0100|2026-03-02 21:45:27.474 +0100|
|21,699   |api_football |891               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|21,065   |api_football |89                |2026-02-28 13:37:36.912 +0100|2026-03-02 21:45:27.474 +0100|
|21,786   |api_football |975               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|21,697   |api_football |865               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|20,853   |api_football |144               |2026-02-28 13:37:36.912 +0100|2026-03-02 21:45:27.474 +0100|
|21,086   |api_football |138               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|21,080   |api_football |145               |2026-02-28 13:37:36.912 +0100|2026-03-02 21:45:27.474 +0100|
|21,264   |api_football |942               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|21,265   |api_football |943               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|21,309   |api_football |349               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|21,329   |api_football |109               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|21,063   |api_football |136               |2026-02-28 13:37:36.912 +0100|2026-03-02 21:45:27.474 +0100|
|21,534   |api_football |685               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|20,858   |api_football |94                |2026-02-26 21:11:29.073 +0100|2026-03-02 21:45:27.474 +0100|
|20,856   |api_football |78                |2026-02-26 21:11:29.073 +0100|2026-03-02 21:45:27.474 +0100|
|20,857   |api_football |135               |2026-02-26 21:11:29.073 +0100|2026-03-02 21:45:27.474 +0100|
|20,852   |api_football |61                |2026-02-26 21:11:29.073 +0100|2026-03-02 21:45:27.474 +0100|
|20,855   |api_football |39                |2026-02-26 21:11:29.073 +0100|2026-03-02 21:45:27.474 +0100|
|20,894   |api_football |205               |2026-02-28 13:37:36.912 +0100|2026-02-28 13:37:36.912 +0100|
|21,110   |api_football |283               |2026-02-27 22:00:06.788 +0100|2026-03-02 21:45:27.474 +0100|
|20,949   |api_football |272               |2026-02-27 22:00:06.788 +0100|2026-03-02 21:45:27.474 +0100|
|20,860   |api_football |179               |2026-02-27 22:00:06.788 +0100|2026-03-02 21:45:27.474 +0100|
|22,364   |api_hockey   |149               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,365   |api_hockey   |224               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,366   |api_hockey   |214               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|21,081   |api_football |173               |2026-02-27 22:00:06.788 +0100|2026-03-02 21:45:27.474 +0100|
|21,074   |api_football |210               |2026-02-27 22:00:06.788 +0100|2026-03-02 21:45:27.474 +0100|
|20,962   |api_football |197               |2026-02-27 22:00:06.788 +0100|2026-03-02 21:45:27.474 +0100|
|20,939   |api_football |119               |2026-02-27 22:00:06.788 +0100|2026-03-02 21:45:27.474 +0100|
|20,876   |api_football |41                |2026-02-27 22:00:06.788 +0100|2026-03-02 21:45:27.474 +0100|
|22,367   |api_hockey   |236               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,368   |api_hockey   |173               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,369   |api_hockey   |59                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,370   |api_hockey   |230               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,371   |api_hockey   |14                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,372   |api_hockey   |142               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,373   |api_hockey   |6                 |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,374   |api_hockey   |146               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,375   |api_hockey   |141               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,376   |api_hockey   |101               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,377   |api_hockey   |207               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,378   |api_hockey   |257               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,379   |api_hockey   |63                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,380   |api_hockey   |242               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|21,143   |api_football |383               |2026-02-27 22:00:06.788 +0100|2026-02-27 22:45:54.535 +0100|
|22,381   |api_hockey   |37                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,382   |api_hockey   |110               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,383   |api_hockey   |265               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,384   |api_hockey   |130               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,385   |api_hockey   |19                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,386   |api_hockey   |134               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,387   |api_hockey   |164               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,388   |api_hockey   |243               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,389   |api_hockey   |241               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,390   |api_hockey   |57                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,391   |api_hockey   |84                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,392   |api_hockey   |21                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,393   |api_hockey   |4                 |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,394   |api_hockey   |56                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,395   |api_hockey   |2                 |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,396   |api_hockey   |10                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,397   |api_hockey   |203               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,398   |api_hockey   |95                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,399   |api_hockey   |194               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,400   |api_hockey   |234               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,401   |api_hockey   |12                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,402   |api_hockey   |251               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,403   |api_hockey   |80                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,404   |api_hockey   |193               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,405   |api_hockey   |179               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,406   |api_hockey   |31                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,407   |api_hockey   |172               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,408   |api_hockey   |185               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,409   |api_hockey   |138               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,410   |api_hockey   |206               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,411   |api_hockey   |125               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,412   |api_hockey   |50                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,413   |api_hockey   |176               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,414   |api_hockey   |41                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,415   |api_hockey   |83                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,416   |api_hockey   |108               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,417   |api_hockey   |270               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,418   |api_hockey   |226               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,419   |api_hockey   |85                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,420   |api_hockey   |201               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,421   |api_hockey   |9                 |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,422   |api_hockey   |102               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,423   |api_hockey   |126               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,424   |api_hockey   |195               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,425   |api_hockey   |250               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,426   |api_hockey   |20                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,427   |api_hockey   |177               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,428   |api_hockey   |180               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,429   |api_hockey   |209               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,430   |api_hockey   |183               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,431   |api_hockey   |86                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,432   |api_hockey   |166               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,433   |api_hockey   |217               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,434   |api_hockey   |25                |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,435   |api_hockey   |169               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
|22,436   |api_hockey   |210               |2026-03-01 14:31:52.248 +0100|2026-03-01 14:31:52.248 +0100|
