|id |provider    |sport_code|entity |provider_league_id|season|run_group               |priority|status |attempts|last_attempt                 |next_run                     |created_at                   |updated_at                   |is_ready_now|
|---|------------|----------|-------|------------------|------|------------------------|--------|-------|--------|-----------------------------|-----------------------------|-----------------------------|-----------------------------|------------|
|973|api_football|football  |leagues|                  |      |FOOTBALL_MAINTENANCE_TOP|10      |running|1       |2026-03-17 23:10:59.286 +0100|2026-03-16 22:41:36.818 +0100|2026-03-16 22:41:36.818 +0100|2026-03-17 23:10:59.286 +0100|false       |
|35 |api_football|football  |teams  |135               |2022  |FOOTBALL_MAINTENANCE    |20      |running|1       |2026-03-17 23:13:22.092 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-17 23:13:22.092 +0100|false       |
|250|api_football|football  |odds   |104               |2022  |FOOTBALL_MAINTENANCE    |40      |running|1       |2026-03-13 22:58:39.270 +0100|2026-03-13 22:32:33.321 +0100|2026-03-13 22:32:33.321 +0100|2026-03-13 22:58:39.270 +0100|false       |
|242|api_football|football  |odds   |1000              |2022  |FOOTBALL_MAINTENANCE    |40      |error  |1       |2026-03-13 22:34:51.767 +0100|2026-03-13 22:32:33.321 +0100|2026-03-13 22:32:33.321 +0100|2026-03-13 22:39:51.849 +0100|false       |
|244|api_football|football  |odds   |1010              |2022  |FOOTBALL_MAINTENANCE    |40      |error  |1       |2026-03-13 22:39:51.879 +0100|2026-03-13 22:32:33.321 +0100|2026-03-13 22:32:33.321 +0100|2026-03-13 22:44:51.974 +0100|false       |
|246|api_football|football  |odds   |103               |2022  |FOOTBALL_MAINTENANCE    |40      |error  |1       |2026-03-13 22:44:52.005 +0100|2026-03-13 22:32:33.321 +0100|2026-03-13 22:32:33.321 +0100|2026-03-13 22:49:52.095 +0100|false       |
|248|api_football|football  |odds   |1034              |2024  |FOOTBALL_MAINTENANCE    |40      |error  |1       |2026-03-13 22:53:39.137 +0100|2026-03-13 22:32:33.321 +0100|2026-03-13 22:32:33.321 +0100|2026-03-13 22:58:39.239 +0100|false       |
|247|api_football|football  |players|1034              |2024  |FOOTBALL_MAINTENANCE    |50      |error  |2       |2026-03-13 22:51:26.939 +0100|2026-03-15 13:06:04.780 +0100|2026-03-13 22:32:33.321 +0100|2026-03-15 10:06:04.780 +0100|false       |
|974|api_football|football  |leagues|                  |      |FOOTBALL_MAINTENANCE    |10      |pending|0       |                             |2026-03-16 22:42:35.231 +0100|2026-03-16 22:42:35.231 +0100|2026-03-16 22:42:35.231 +0100|true        |
|31 |api_football|football  |teams  |1195              |2022  |FOOTBALL_MAINTENANCE    |20      |pending|1       |2026-03-17 23:13:16.841 +0100|2026-03-17 23:23:17.727 +0100|2026-03-13 15:36:42.369 +0100|2026-03-17 23:13:17.727 +0100|true        |
|37 |api_football|football  |teams  |136               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|39 |api_football|football  |teams  |138               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|41 |api_football|football  |teams  |141               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|43 |api_football|football  |teams  |144               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|45 |api_football|football  |teams  |145               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|47 |api_football|football  |teams  |164               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
|49 |api_football|football  |teams  |165               |2022  |FOOTBALL_MAINTENANCE    |20      |pending|0       |                             |2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|2026-03-13 15:36:42.369 +0100|true        |
