|id |sport_code       |sport_name       |enabled|priority|mode |provider  |daily_request_budget|max_parallel_jobs|history_days_back|fixtures_days_forward|odds_days_forward|notes                                                                            |created_at                   |updated_at                   |
|---|-----------------|-----------------|-------|--------|-----|----------|--------------------|-----------------|-----------------|---------------------|-----------------|---------------------------------------------------------------------------------|-----------------------------|-----------------------------|
|4  |tennis           |Tennis           |true   |40      |daily|api-sports|100                 |1                |3,650            |14                   |3                |Velké množství turnajů                                                           |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|5  |mma              |MMA              |true   |50      |daily|api-sports|100                 |1                |3,650            |30                   |7                |Eventový sport                                                                   |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|6  |volleyball       |Volleyball       |true   |60      |daily|api-sports|100                 |1                |3,650            |14                   |3                |Ligy + reprezentace                                                              |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|7  |handball         |Handball         |true   |70      |daily|api-sports|100                 |1                |3,650            |14                   |3                |Evropsky silné                                                                   |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|8  |baseball         |Baseball         |true   |80      |daily|api-sports|100                 |1                |3,650            |14                   |3                |USA + další ligy                                                                 |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|9  |rugby            |Rugby            |true   |90      |daily|api-sports|100                 |1                |3,650            |14                   |3                |Union / League dle coverage                                                      |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|10 |cricket          |Cricket          |true   |100     |daily|api-sports|100                 |1                |3,650            |14                   |3                |Velký objem dat                                                                  |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|11 |field_hockey     |Field Hockey     |true   |110     |daily|api-sports|100                 |1                |3,650            |14                   |3                |Pozemní hokej                                                                    |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|12 |american_football|American Football|true   |120     |daily|api-sports|100                 |1                |3,650            |14                   |3                |NFL + další                                                                      |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|13 |esports          |Esports          |true   |130     |daily|api-sports|100                 |1                |3,650            |14                   |3                |Jen pokud provider podporuje                                                     |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|1  |football         |Football         |true   |50      |daily|api-sports|20                  |1                |3,650            |14                   |3                |FREE mode: maintenance only, seasons 2022-2024 already loaded for top 100 leagues|2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|3  |basketball       |Basketball       |true   |10      |daily|api-sports|40                  |1                |3,650            |14                   |3                |FREE mode: primary test sport                                                    |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
|2  |hockey           |Hockey           |true   |20      |daily|api-sports|40                  |1                |3,650            |14                   |3                |FREE mode: primary test sport                                                    |2026-03-10 13:27:01.225 +0100|2026-03-10 13:27:01.225 +0100|
