|id   |provider    |sport_code|external_player_id|player_name                     |birth_date|nationality           |external_team_id|season|raw_payload_id|is_active|created_at                   |updated_at                   |first_name            |last_name             |short_name|position_code|height_cm|weight_kg|preferred_foot|external_league_id|team_name      |league_name |source_endpoint|
|-----|------------|----------|------------------|--------------------------------|----------|----------------------|----------------|------|--------------|---------|-----------------------------|-----------------------------|----------------------|----------------------|----------|-------------|---------|---------|--------------|------------------|---------------|------------|---------------|
|410  |api_football|football  |20651             |J. Leca                         |1985-09-21|France                |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|34   |api_football|football  |10238             |Carlos Augusto                  |1999-01-07|Brazil                |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|376  |api_football|football  |102807            |U. Llanez                       |2001-04-02|USA                   |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|13   |api_football|football  |103               |J. Aholou                       |1994-03-20|Côte d'Ivoire         |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|178  |api_football|football  |105               |F. Ballo-Touré                  |1997-01-03|Senegal               |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|337  |api_football|football  |105141            |L. Wahlstedt                    |1999-07-04|Sweden                |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|109  |api_football|football  |106851            |S. Machino                      |1999-09-30|Japan                 |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|2,879|api_football|football  |107043            |Sérgio Conceição                |1996-11-12|Portugal              |213             |2024  |10            |true     |2026-03-15 11:16:59.812 +0100|2026-03-16 20:31:13.226 +0100|Sérgio Manuel         |Fernandes da Conceição|          |Defender     |177      |73       |              |95                |Feirense       |Segunda Liga|/players       |
|174  |api_football|football  |107153            |Kike Pérez                      |1997-02-14|Spain                 |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|4    |api_football|football  |15717             |M. Ross                         |2001-01-15|Denmark               |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|2,881|api_football|football  |107859            |Rui Batalha                     |1996-06-29|Portugal              |4724            |2024  |9             |true     |2026-03-15 11:16:59.812 +0100|2026-03-16 20:31:13.226 +0100|Rui Pedro             |Reis Batalha          |          |Attacker     |171      |66       |              |95                |Alverca        |Segunda Liga|/players       |
|183  |api_football|football  |1085              |André Ramalho                   |1992-02-16|Brazil                |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|2,883|api_football|football  |109397            |S. Kawasaki                     |2001-04-28|Japan                 |216             |2024  |9             |true     |2026-03-15 11:16:59.812 +0100|2026-03-16 20:31:13.226 +0100|Shuhei                |Kawasaki              |          |Attacker     |168      |66       |              |95                |Portimonense   |Segunda Liga|/players       |
|75   |api_football|football  |1117              |K. Tierney                      |1997-06-05|Scotland              |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|105  |api_football|football  |1124              |O. Burke                        |1997-04-07|Scotland              |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|141  |api_football|football  |1156              |T. Krauß                        |2001-06-22|Germany               |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|275  |api_football|football  |119               |R. Falcao                       |1986-02-10|Colombia              |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|161  |api_football|football  |124               |J. Cillessen                    |1989-04-22|Netherlands           |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|318  |api_football|football  |126766            |N. Rauti                        |2000-04-17|Italy                 |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|189  |api_football|football  |127472            |N. Phillips                     |1997-03-21|England               |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|424  |api_football|football  |1278              |Y. Karamoh                      |1998-07-08|France                |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|321  |api_football|football  |128498            |C. Travaglini                   |2000-01-07|Italy                 |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|259  |api_football|football  |129066            |N. Tjoe-A-On                    |2001-12-22|Netherlands           |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|15   |api_football|football  |129125            |S. Adewoye                      |2000-06-29|Belgium               |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|202  |api_football|football  |129670            |N. Mbuku                        |2002-03-16|France                |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|2,897|api_football|football  |129783            |K. Hachadi                      |1998-05-03|Morocco               |4724            |2024  |9             |true     |2026-03-15 11:16:59.812 +0100|2026-03-16 20:31:13.226 +0100|Khalid                |Hachadi               |          |Attacker     |190      |85       |              |95                |Alverca        |Segunda Liga|/players       |
|389  |api_football|football  |130846            |V. Covil                        |2003-07-26|USA                   |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|33   |api_football|football  |133               |C. Lenglet                      |1995-06-17|France                |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
|144  |api_football|football  |134428            |B. Chrisene                     |2004-01-12|England               |                |      |              |true     |2026-03-11 09:48:21.296 +0100|2026-03-16 20:31:13.226 +0100|                      |                      |          |             |         |         |              |                  |               |            |               |
