|sport_code|target_count|entity_count|job_count|
|----------|------------|------------|---------|
|AFB       |1           |6           |6        |
|BSB       |1           |6           |6        |
|CK        |1           |6           |6        |
|DRT       |1           |5           |5        |
|ESP       |1           |5           |5        |
|FH        |1           |6           |6        |
|HB        |1           |6           |6        |
|MMA       |1           |5           |5        |
|RGB       |1           |6           |6        |
|TN        |2           |5           |5        |
|VB        |1           |6           |6        |
