|league_id|name                                 |country         |ext_source  |ext_league_id|matches_count|
|---------|-------------------------------------|----------------|------------|-------------|-------------|
|20,894   |2. Lig                               |Turkey          |api_football|205          |2,057        |
|20,871   |Championship                         |England         |api_football|40           |1,671        |
|20,876   |League One                           |England         |api_football|41           |1,671        |
|20,877   |League Two                           |England         |api_football|42           |1,671        |
|21,246   |FAW Championship                     |Wales           |api_football|111          |1,440        |
|21,062   |Segunda Divisi?n                     |Spain           |api_football|141          |1,404        |
|21,063   |Serie B                              |Italy           |api_football|136          |1,170        |
|20,857   |Serie A                              |Italy           |api_football|135          |1,141        |
|20,964   |3. Liga                              |Germany         |api_football|80           |1,140        |
|21,065   |Eerste Divisie                       |Netherlands     |api_football|89           |1,140        |
|20,859   |La Liga                              |Spain           |api_football|140          |1,140        |
|20,855   |Premier League                       |England         |api_football|39           |1,140        |
|21,086   |Serie C - Girone A                   |Italy           |api_football|138          |1,140        |
|21,264   |Serie C - Girone B                   |Italy           |api_football|942          |1,140        |
|21,265   |Serie C - Girone C                   |Italy           |api_football|943          |1,140        |
|20,851   |Ligue 2                              |France          |api_football|62           |1,072        |
|21,392   |Super League 2                       |Greece          |api_football|494          |1,068        |
|20,893   |1. Lig                               |Turkey          |api_football|204          |1,043        |
|20,852   |Ligue 1                              |France          |api_football|61           |996          |
|21,081   |Second League                        |Bulgaria        |api_football|173          |992          |
|20,849   |Eredivisie                           |Netherlands     |api_football|88           |966          |
|21,110   |Liga I                               |Romania         |api_football|283          |961          |
|20,853   |Jupiler Pro League                   |Belgium         |api_football|144          |960          |
|21,329   |II Liga - East                       |Poland          |api_football|109          |934          |
|20,949   |NB II                                |Hungary         |api_football|272          |932          |
|21,255   |I Liga                               |Poland          |api_football|107          |927          |
|20,963   |2. Bundesliga                        |Germany         |api_football|79           |924          |
|20,856   |Bundesliga                           |Germany         |api_football|78           |924          |
|20,858   |Primeira Liga                        |Portugal        |api_football|94           |924          |
|21,309   |3. liga - MSFL                       |Czech-Republic  |api_football|349          |918          |
|21,241   |Ekstraklasa                          |Poland          |api_football|106          |918          |
|21,142   |Liga Leumit                          |Israel          |api_football|382          |891          |
|21,242   |First League                         |Bulgaria        |api_football|172          |863          |
|21,111   |Liga II                              |Romania         |api_football|284          |831          |
|21,250   |1. Division                          |Cyprus          |api_football|318          |776          |
|21,534   |3. liga - CFL B                      |Czech-Republic  |api_football|685          |752          |
|20,892   |S?per Lig                            |Turkey          |api_football|203          |722          |
|20,923   |2. Liga                              |Austria         |api_football|219          |720          |
|21,231   |2. SNL                               |Slovenia        |api_football|374          |720          |
|20,962   |Super League 1                       |Greece          |api_football|197          |716          |
|20,860   |Premiership                          |Scotland        |api_football|179          |702          |
|21,180   |Premiership                          |Northern-Ireland|api_football|408          |699          |
|21,251   |2. Division                          |Cyprus          |api_football|319          |696          |
|21,179   |Championship                         |Northern-Ireland|api_football|407          |690          |
|21,080   |Challenger Pro League                |Belgium         |api_football|145          |684          |
|21,172   |2. liga                              |Slovakia        |api_football|506          |662          |
|21,201   |Tweede Divisie                       |Netherlands     |api_football|492          |642          |
|21,697   |Liga 3                               |Portugal        |api_football|865          |635          |
|21,066   |Segunda Liga                         |Portugal        |api_football|95           |616          |
|21,096   |First League                         |Russia          |api_football|236          |612          |
|21,112   |Super Liga                           |Serbia          |api_football|286          |600          |
|21,085   |First NL                             |Croatia         |api_football|211          |599          |
|20,948   |NB I                                 |Hungary         |api_football|271          |594          |
