team_name,count,leagues
Boca Juniors,2,soccer_conmebol_copa_libertadores
Club Always Ready,2,soccer_conmebol_copa_libertadores
Club Bolívar,2,soccer_conmebol_copa_libertadores
Club Universitario de Deportes,2,soccer_conmebol_copa_libertadores
Coquimbo Unido,2,soccer_conmebol_copa_libertadores
Deportes Tolima,2,soccer_conmebol_copa_libertadores
Deportivo La Guaira,2,soccer_conmebol_copa_libertadores
Estudiantes La Plata,2,soccer_conmebol_copa_libertadores
Independiente del Valle,2,soccer_conmebol_copa_libertadores
Independiente Rivadavia,2,soccer_conmebol_copa_libertadores
Independiente Santa Fe,2,soccer_conmebol_copa_libertadores
Lanus,2,soccer_conmebol_copa_libertadores
Peñarol Montevideo,2,soccer_conmebol_copa_libertadores
Sporting Cristal,2,soccer_conmebol_copa_libertadores
