relative_path,path,size_bytes,created_at,modified_at,mtime_epoch
backups\postgres_dumps\dump-matchmatrix-202602131248.sql,C:\MatchMatrix-platform\backups\postgres_dumps\dump-matchmatrix-202602131248.sql,114242,2026-02-13 12:48:52,2026-02-13 12:48:52,1770983332.972
db\audit\079_audit_player_season_statistics_report_v1.sql,C:\MatchMatrix-platform\db\audit\079_audit_player_season_statistics_report_v1.sql,10082,2026-03-16 13:56:39,2026-03-16 14:11:13,1773666673.185
db\audit\080_debug_player_stats_merge_mapping_v1.sql,C:\MatchMatrix-platform\db\audit\080_debug_player_stats_merge_mapping_v1.sql,8166,2026-03-16 16:06:11,2026-03-16 16:06:12,1773673572.167
db\audit\cleanup_player_season_stats_scope_95_2024_v1.sql,C:\MatchMatrix-platform\db\audit\cleanup_player_season_stats_scope_95_2024_v1.sql,370,2026-03-16 21:45:56,2026-03-16 21:45:56,1773693956.65
db\checks\001_daily_ingest_healthcheck.sql,C:\MatchMatrix-platform\db\checks\001_daily_ingest_healthcheck.sql,718,2026-03-09 15:45:55,2026-03-09 15:45:55,1773067555.852
db\checks\011_check_new_core_tables.sql,C:\MatchMatrix-platform\db\checks\011_check_new_core_tables.sql,4409,2026-03-06 11:17:54,2026-03-06 11:17:54,1772792274.665
db\checks\013_check_players_coverage.sql,C:\MatchMatrix-platform\db\checks\013_check_players_coverage.sql,1242,2026-03-07 20:52:32,2026-03-07 20:52:32,1772913152.916
db\checks\MATCHMATRIX_DAILY_STATUS.sql,C:\MatchMatrix-platform\db\checks\MATCHMATRIX_DAILY_STATUS.sql,1544,2026-03-03 10:55:18,2026-03-03 11:09:08,1772532548.267
db\checks\MATCHMATRIX_WEEKLY_DIAGNOSTICS.sql,C:\MatchMatrix-platform\db\checks\MATCHMATRIX_WEEKLY_DIAGNOSTICS.sql,1271,2026-03-03 11:03:04,2026-03-03 11:03:05,1772532185.126
db\migrations\000_create_schema_migrations.sql,C:\MatchMatrix-platform\db\migrations\000_create_schema_migrations.sql,469,2026-03-03 13:34:13,2026-03-03 13:34:13,1772541253.463
db\migrations\001_create_table_seasons.sql,C:\MatchMatrix-platform\db\migrations\001_create_table_seasons.sql,1271,2026-03-06 10:42:48,2026-03-06 10:50:22,1772790622.001
db\migrations\002_create_table_players.sql,C:\MatchMatrix-platform\db\migrations\002_create_table_players.sql,1741,2026-03-06 10:50:51,2026-03-06 10:50:52,1772790652.033
db\migrations\003_create_table_player_provider_map.sql,C:\MatchMatrix-platform\db\migrations\003_create_table_player_provider_map.sql,1650,2026-03-06 10:58:20,2026-03-06 10:58:20,1772791100.529
db\migrations\004_create_table_lineups.sql,C:\MatchMatrix-platform\db\migrations\004_create_table_lineups.sql,1975,2026-03-06 11:00:44,2026-03-06 11:00:44,1772791244.91
db\migrations\005_create_table_injuries.sql,C:\MatchMatrix-platform\db\migrations\005_create_table_injuries.sql,1737,2026-03-06 11:02:12,2026-03-06 11:02:13,1772791333.106
db\migrations\006_create_table_content_sources.sql,C:\MatchMatrix-platform\db\migrations\006_create_table_content_sources.sql,1289,2026-03-06 11:04:07,2026-03-06 11:04:07,1772791447.668
db\migrations\007_create_table_articles.sql,C:\MatchMatrix-platform\db\migrations\007_create_table_articles.sql,1904,2026-03-06 11:07:40,2026-03-06 11:07:40,1772791660.459
db\migrations\008_create_table_article_team_map.sql,C:\MatchMatrix-platform\db\migrations\008_create_table_article_team_map.sql,1313,2026-03-06 11:09:58,2026-03-06 11:09:59,1772791799.193
db\migrations\009_create_table_article_league_map.sql,C:\MatchMatrix-platform\db\migrations\009_create_table_article_league_map.sql,1345,2026-03-06 11:12:59,2026-03-06 11:13:00,1772791980.101
db\migrations\010_create_table_article_match_map.sql,C:\MatchMatrix-platform\db\migrations\010_create_table_article_match_map.sql,1337,2026-03-06 11:14:29,2026-03-06 11:14:29,1772792069.183
db\migrations\012_alter_staging_players_import_add_context.sql,C:\MatchMatrix-platform\db\migrations\012_alter_staging_players_import_add_context.sql,849,2026-03-07 20:50:00,2026-03-07 20:50:00,1772913000.788
db\migrations\012_create_table_languages.sql,C:\MatchMatrix-platform\db\migrations\012_create_table_languages.sql,978,2026-03-06 11:23:36,2026-03-06 11:23:36,1772792616.188
db\migrations\013_create_table_article_translations.sql,C:\MatchMatrix-platform\db\migrations\013_create_table_article_translations.sql,1817,2026-03-06 11:25:21,2026-03-06 11:25:21,1772792721.604
db\migrations\014_create_table_league_translations.sql,C:\MatchMatrix-platform\db\migrations\014_create_table_league_translations.sql,1772,2026-03-06 11:30:30,2026-03-06 11:30:31,1772793031.045
db\migrations\015_create_table_team_translations.sql,C:\MatchMatrix-platform\db\migrations\015_create_table_team_translations.sql,1735,2026-03-06 11:33:47,2026-03-06 11:33:47,1772793227.313
db\migrations\016_create_table_player_translations.sql,C:\MatchMatrix-platform\db\migrations\016_create_table_player_translations.sql,1772,2026-03-06 11:35:00,2026-03-06 11:35:00,1772793300.834
db\migrations\017_create_table_translation_jobs.sql,C:\MatchMatrix-platform\db\migrations\017_create_table_translation_jobs.sql,2215,2026-03-06 11:37:20,2026-03-06 11:37:21,1772793441.088
db\migrations\018_create_table_translation_job_logs.sql,C:\MatchMatrix-platform\db\migrations\018_create_table_translation_job_logs.sql,1365,2026-03-06 11:39:08,2026-03-06 11:39:09,1772793549.031
db\migrations\019_create_table_team_social_links.sql,C:\MatchMatrix-platform\db\migrations\019_create_table_team_social_links.sql,1714,2026-03-06 11:42:49,2026-03-06 11:42:49,1772793769.682
db\migrations\01_create_mm_ticket_scenarios.sql,C:\MatchMatrix-platform\db\migrations\01_create_mm_ticket_scenarios.sql,3463,2026-03-09 22:06:37,2026-03-09 22:06:37,1773090397.467
db\migrations\020_create_table_stadiums.sql,C:\MatchMatrix-platform\db\migrations\020_create_table_stadiums.sql,1251,2026-03-06 11:50:58,2026-03-06 11:50:58,1772794258.393
db\migrations\021_create_table_team_stadiums.sql,C:\MatchMatrix-platform\db\migrations\021_create_table_team_stadiums.sql,1331,2026-03-06 11:52:17,2026-03-06 11:52:17,1772794337.996
