change_type,relative_path,path,size_bytes,created_at,modified_at,mtime_epoch
DELETED,db\audit\079_audit_player_season_statistics_report_v1.sql,C:\MatchMatrix-platform\db\audit\079_audit_player_season_statistics_report_v1.sql,10082,2026-03-16 13:56:39,2026-03-16 14:11:13,1773666673.185
DELETED,db\audit\080_debug_player_stats_merge_mapping_v1.sql,C:\MatchMatrix-platform\db\audit\080_debug_player_stats_merge_mapping_v1.sql,8166,2026-03-16 16:06:11,2026-03-16 16:06:12,1773673572.167
DELETED,db\audit\cleanup_player_season_stats_scope_95_2024_v1.sql,C:\MatchMatrix-platform\db\audit\cleanup_player_season_stats_scope_95_2024_v1.sql,370,2026-03-16 21:45:56,2026-03-16 21:45:56,1773693956.65
DELETED,logs\reports\mm_report_2026-03-04_12-34-26.txt,C:\MatchMatrix-platform\logs\reports\mm_report_2026-03-04_12-34-26.txt,0,2026-03-04 12:34:28,2026-03-04 12:34:28,1772624068.044
DELETED,reports\file_audit\csv\changes_20260317_085252.csv,C:\MatchMatrix-platform\reports\file_audit\csv\changes_20260317_085252.csv,103128,2026-03-17 08:52:58,2026-03-17 08:52:58,1773733978.648
DELETED,reports\file_audit\csv\changes_20260317_091237.csv,C:\MatchMatrix-platform\reports\file_audit\csv\changes_20260317_091237.csv,127,2026-03-17 09:12:39,2026-03-17 09:12:39,1773735159.077
DELETED,reports\file_audit\csv\files_20260317_085252.csv,C:\MatchMatrix-platform\reports\file_audit\csv\files_20260317_085252.csv,132383,2026-03-17 08:52:58,2026-03-17 08:52:58,1773733978.631
DELETED,reports\file_audit\csv\files_20260317_091237.csv,C:\MatchMatrix-platform\reports\file_audit\csv\files_20260317_091237.csv,132383,2026-03-17 09:12:39,2026-03-17 09:12:39,1773735159.072
DELETED,reports\file_audit\md\report_20260317_085252.md,C:\MatchMatrix-platform\reports\file_audit\md\report_20260317_085252.md,45370,2026-03-17 08:52:58,2026-03-17 08:52:58,1773733978.658
DELETED,reports\file_audit\md\report_20260317_091237.md,C:\MatchMatrix-platform\reports\file_audit\md\report_20260317_091237.md,1171,2026-03-17 09:12:39,2026-03-17 09:12:39,1773735159.077
DELETED,reports\file_audit\snapshots\snapshot_20260317_085252.json,C:\MatchMatrix-platform\reports\file_audit\snapshots\snapshot_20260317_085252.json,236783,2026-03-17 08:52:58,2026-03-17 08:52:58,1773733978.607
DELETED,reports\file_audit\snapshots\snapshot_20260317_091237.json,C:\MatchMatrix-platform\reports\file_audit\snapshots\snapshot_20260317_091237.json,236783,2026-03-17 09:12:39,2026-03-17 09:12:39,1773735159.054
DELETED,reports\player_audit\player_season_statistics_audit_20260316_141136.txt,C:\MatchMatrix-platform\reports\player_audit\player_season_statistics_audit_20260316_141136.txt,37890,2026-03-16 14:11:36,2026-03-16 14:11:36,1773666696.682
DELETED,reports\player_audit\player_season_statistics_audit_20260316_161755.txt,C:\MatchMatrix-platform\reports\player_audit\player_season_statistics_audit_20260316_161755.txt,37890,2026-03-16 16:17:56,2026-03-16 16:17:56,1773674276.126
DELETED,reports\reports_runner\soubor na spouštění reportů\Coverage Heatmap (liga × sezóna).txt,C:\MatchMatrix-platform\reports\reports_runner\soubor na spouštění reportů\Coverage Heatmap (liga × sezóna).txt,375,2026-03-05 21:53:29,2026-03-05 21:53:29,1772744009.26
DELETED,reports\reports_runner\soubor na spouštění reportů\Coverage podle lig – ukáže ligy a jejich počet.txt,C:\MatchMatrix-platform\reports\reports_runner\soubor na spouštění reportů\Coverage podle lig – ukáže ligy a jejich počet.txt,261,2026-03-05 21:50:23,2026-03-05 21:50:24,1772743824.128
DELETED,reports\reports_runner\soubor na spouštění reportů\Kolik lig je aktivních v ingest_targets-u API-Football.txt,C:\MatchMatrix-platform\reports\reports_runner\soubor na spouštění reportů\Kolik lig je aktivních v ingest_targets-u API-Football.txt,248,2026-03-04 08:24:28,2026-03-04 08:24:28,1772609068.591
DELETED,reports\reports_runner\soubor na spouštění reportů\Kolik zápasů je podle zdroje (ext_source).txt,C:\MatchMatrix-platform\reports\reports_runner\soubor na spouštění reportů\Kolik zápasů je podle zdroje (ext_source).txt,178,2026-03-04 08:22:45,2026-03-04 08:22:45,1772608965.851
DELETED,reports\reports_runner\soubor na spouštění reportů\Kontrola počtu zápasů v jednotlivých sezónách.txt,C:\MatchMatrix-platform\reports\reports_runner\soubor na spouštění reportů\Kontrola počtu zápasů v jednotlivých sezónách.txt,163,2026-03-05 21:47:56,2026-03-06 08:02:18,1772780538.717
