change_type,category,relative_path,old_modified_at,new_modified_at,old_size_bytes,new_size_bytes
NEW,api_football,.env,,2026-03-16 17:38:01,,257
NEW,api_football,api_football_pull_leagues_csv.py,,2026-02-24 16:07:14,,1693
NEW,api_football,api_football_pull_v2.py,,2026-02-25 15:55:41,,3682
NEW,api_football,fix_teammap_from_fixtures.ps1,,2026-03-04 10:09:23,,2152
NEW,api_football,merge_only.ps1,,2026-03-04 10:12:49,,674
NEW,api_football,pull_api_football_fixtures.ps1,,2026-03-04 14:14:22,,3356
NEW,api_football,pull_api_football_leagues.ps1,,2026-02-24 16:45:43,,1803
NEW,api_football,pull_api_football_odds.ps1,,2026-03-13 22:55:55,,3245
NEW,api_football,pull_api_football_odds_V1.ps1,,2026-02-26 13:31:28,,2623
NEW,api_football,pull_api_football_players.ps1,,2026-03-13 22:48:53,,3751
NEW,api_football,pull_api_football_players_squads_v1.py,,2026-03-15 14:18:17,,12293
NEW,api_football,pull_api_football_players_v4.py,,2026-03-16 18:04:35,,19312
NEW,api_football,pull_api_football_teams.ps1,,2026-02-25 14:26:08,,2737
NEW,api_football,run_api_football_pipeline_v2.ps1,,2026-02-25 15:55:46,,425
NEW,api_football,run_api_football_pull_v1.bat,,2026-02-23 16:14:31,,139
NEW,api_football,run_ingest_fixtures.ps1,,2026-02-27 10:22:59,,2570
NEW,api_football,run_ingest_fixtures_all_targets.old.ps1,,2026-02-28 17:12:44,,5968
NEW,api_football,run_ingest_fixtures_all_targets.ps1,,2026-03-03 22:44:55,,7127
NEW,api_football,run_ingest_teams_all_targets.ps1,,2026-03-02 13:18:00,,5596
NEW,api_football,test_api_football_players_access.py,,2026-03-15 10:19:12,,651
NEW,dump,dump-matchmatrix-202602271537_leagues.sql,,2026-02-27 15:37:36,,158955
NEW,dump,dump-matchmatrix-202603052038.sql,,2026-03-05 20:38:42,,193065
NEW,dump,dump-matchmatrix-202603072347.sql,,2026-03-07 23:47:39,,365219
NEW,dump,dump-matchmatrix-202603092253.sql,,2026-03-09 22:53:48,,419366
NEW,dump,dump-matchmatrix-202603102254.sql,,2026-03-10 22:54:12,,449627
NEW,dump,dump-matchmatrix-202603122251.sql,,2026-03-12 22:51:22,,464697
NEW,dump,dump-matchmatrix-202603122252.sql,,2026-03-12 22:52:47,,318952338
NEW,dump,dump-matchmatrix-202603132305.sql,,2026-03-13 23:05:40,,478535
NEW,dump,dump-matchmatrix-202603132306.sql,,2026-03-13 23:06:07,,334005106
NEW,dump,dump-matchmatrix-202603150829.sql,,2026-03-15 08:30:00,,478535
NEW,dump,dump-matchmatrix-202603151432.sql,,2026-03-15 14:32:34,,496519
NEW,dump,dump-matchmatrix-202603160648.sql,,2026-03-16 06:48:08,,506914
NEW,dump,dump-matchmatrix-202603162300.sql,,2026-03-16 23:00:43,,509787
NEW,dump,dump_ops-matchmatrix-202603112252.sql,,2026-03-11 22:52:21,,518537
NEW,dump,dump_ops-matchmatrix-202603131533.sql,,2026-03-13 15:33:17,,532875
NEW,ingest,.env,,2026-02-23 12:23:42,,96
NEW,ingest,API-Football\.env,,2026-03-16 17:38:01,,257
NEW,ingest,API-Football\api_football_pull_leagues_csv.py,,2026-02-24 16:07:14,,1693
NEW,ingest,API-Football\api_football_pull_v2.py,,2026-02-25 15:55:41,,3682
NEW,ingest,API-Football\fix_teammap_from_fixtures.ps1,,2026-03-04 10:09:23,,2152
NEW,ingest,API-Football\merge_only.ps1,,2026-03-04 10:12:49,,674
NEW,ingest,API-Football\pull_api_football_fixtures.ps1,,2026-03-04 14:14:22,,3356
NEW,ingest,API-Football\pull_api_football_leagues.ps1,,2026-02-24 16:45:43,,1803
