category,root_path,relative_path,full_path,extension,size_bytes,created_at,modified_at,sha1_head
workers,C:\MatchMatrix-platform\workers,build_ingest_planner_jobs.py,C:\MatchMatrix-platform\workers\build_ingest_planner_jobs.py,.py,9524,2026-03-13 15:34:43,2026-03-13 15:34:43,67574df1f8f0288a7aabc43bd6cd27efb3ae6da6
workers,C:\MatchMatrix-platform\workers,build_player_enrichment_jobs.py,C:\MatchMatrix-platform\workers\build_player_enrichment_jobs.py,.py,2983,2026-03-15 14:11:08,2026-03-15 14:11:08,ecde01503c3db8408ba750a1909335f205a60731
workers,C:\MatchMatrix-platform\workers,extract_teams_from_fixtures.py,C:\MatchMatrix-platform\workers\extract_teams_from_fixtures.py,.py,5988,2026-03-13 09:05:40,2026-03-13 09:05:40,c1643bbb8eeb8c73d6be834ae01b36b4d322ffcc
workers,C:\MatchMatrix-platform\workers,extract_teams_from_fixtures_v2.py,C:\MatchMatrix-platform\workers\extract_teams_from_fixtures_v2.py,.py,2917,2026-03-14 22:05:08,2026-03-14 22:26:29,6ff16b8d175b9fcfc8c760ca3c14addf0414fa5f
workers,C:\MatchMatrix-platform\workers,legacy_to_staging_bridge_report.txt,C:\MatchMatrix-platform\workers\legacy_to_staging_bridge_report.txt,.txt,6414,2026-03-10 22:24:17,2026-03-10 22:24:17,5f7f1780c0a7881f1a45c83053cebd4d52673603
workers,C:\MatchMatrix-platform\workers,pull_api_football_players_v4.py,C:\MatchMatrix-platform\workers\pull_api_football_players_v4.py,.py,18877,2026-03-16 17:32:19,2026-03-16 17:32:19,3d67351da11589a078658142a31c9c6cc541255e
workers,C:\MatchMatrix-platform\workers,run_audit_player_season_statistics_report_docker_v1.ps1,C:\MatchMatrix-platform\workers\run_audit_player_season_statistics_report_docker_v1.ps1,.ps1,1706,2026-03-16 13:51:41,2026-03-16 14:09:09,e27632ccaf6c27ef8c06d126dddfde945fa1ae30
workers,C:\MatchMatrix-platform\workers,run_audit_player_season_statistics_report_v1.ps1,C:\MatchMatrix-platform\workers\run_audit_player_season_statistics_report_v1.ps1,.ps1,2513,2026-03-16 13:49:42,2026-03-16 13:49:42,891f9987172bea44bed99a02949a46935081efb5
workers,C:\MatchMatrix-platform\workers,run_full_ingest_pipeline.py,C:\MatchMatrix-platform\workers\run_full_ingest_pipeline.py,.py,1877,2026-03-10 22:07:54,2026-03-10 22:07:54,365649ab9167cdc4d806e85a4cda4df56ac3bd5e
workers,C:\MatchMatrix-platform\workers,run_ingest_cycle_v1.py,C:\MatchMatrix-platform\workers\run_ingest_cycle_v1.py,.py,6735,2026-03-13 20:20:51,2026-03-13 20:25:13,245fb00936c487698b187e0942aa897d1c5a2580
workers,C:\MatchMatrix-platform\workers,run_ingest_cycle_v2.py,C:\MatchMatrix-platform\workers\run_ingest_cycle_v2.py,.py,18857,2026-03-13 20:35:51,2026-03-13 20:35:51,9ff02ae9eda450b339291063b01a0cfdb8355a48
workers,C:\MatchMatrix-platform\workers,run_ingest_cycle_v3.py,C:\MatchMatrix-platform\workers\run_ingest_cycle_v3.py,.py,21100,2026-03-14 22:48:39,2026-03-14 23:07:08,5b8820d4ec2c1ba5d8952bdca39548a0bfef10bf
