|canonical_country|canonical_league_name|team_id|name                      |ext_source      |ext_team_id       |
|-----------------|---------------------|-------|--------------------------|----------------|------------------|
|England          |Championship         |67     |AFC Bournemouth           |football_data   |1044              |
|England          |Championship         |49     |Aston Villa FC            |football_data   |58                |
|England          |Championship         |1,006  |Barnsley                  |football_data_uk|Barnsley          |
|England          |Championship         |32     |Birmingham City FC        |football_data   |332               |
|England          |Championship         |24     |Blackburn Rovers FC       |football_data   |59                |
|England          |Championship         |1,003  |Blackpool                 |football_data_uk|Blackpool         |
|England          |Championship         |1,009  |Bolton                    |football_data_uk|Bolton            |
|England          |Championship         |65     |Brentford FC              |football_data   |402               |
|England          |Championship         |43     |Bristol City FC           |football_data   |387               |
|England          |Championship         |60     |Burnley FC                |football_data   |328               |
|England          |Championship         |11,886 |Cardiff City FC           |                |                  |
|England          |Championship         |39     |Charlton Athletic FC      |football_data   |348               |
|England          |Championship         |45     |Coventry City FC          |football_data   |1076              |
|England          |Championship         |35     |Derby County FC           |football_data   |342               |
|England          |Championship         |52     |Fulham FC                 |football_data   |63                |
|England          |Championship         |11,887 |Huddersfield Town AFC     |                |                  |
|England          |Championship         |30     |Hull City AFC             |football_data   |322               |
|England          |Championship         |40     |Ipswich Town FC           |football_data   |349               |
|England          |Championship         |61     |Leeds United FC           |football_data   |341               |
|England          |Championship         |33     |Leicester City FC         |football_data   |338               |
|England          |Championship         |11,888 |Luton Town FC             |                |                  |
|England          |Championship         |36     |Middlesbrough FC          |football_data   |343               |
|England          |Championship         |42     |Millwall FC               |football_data   |384               |
|England          |Championship         |25     |Norwich City FC           |football_data   |68                |
|England          |Championship         |62     |Nottingham Forest FC      |football_data   |351               |
|England          |Championship         |47     |Oxford United FC          |football_data   |1082              |
|England          |Championship         |1,007  |Peterboro                 |football_data_uk|Peterboro         |
|England          |Championship         |1,001  |Plymouth                  |football_data_uk|Plymouth          |
|England          |Championship         |31     |Portsmouth FC             |football_data   |325               |
|England          |Championship         |46     |Preston North End FC      |football_data   |1081              |
|England          |Championship         |26     |Queens Park Rangers FC    |football_data   |69                |
|England          |Championship         |1,004  |Reading                   |football_data_uk|Reading           |
|England          |Championship         |1,002  |Rotherham                 |football_data_uk|Rotherham         |
|England          |Championship         |41     |Sheffield United FC       |football_data   |356               |
|England          |Championship         |37     |Sheffield Wednesday FC    |football_data   |345               |
|England          |Championship         |34     |Southampton FC            |football_data   |340               |
|England          |Championship         |27     |Stoke City FC             |football_data   |70                |
|England          |Championship         |57     |Sunderland AFC            |football_data   |71                |
|England          |Championship         |28     |Swansea City AFC          |football_data   |72                |
|England          |Championship         |38     |Watford FC                |football_data   |346               |
|England          |Championship         |29     |West Bromwich Albion FC   |football_data   |74                |
|England          |Championship         |1,005  |Wigan                     |football_data_uk|Wigan             |
|England          |Championship         |44     |Wrexham AFC               |football_data   |404               |
|England          |Championship         |1,008  |Wycombe                   |football_data_uk|Wycombe           |
|England          |Premier League       |67     |AFC Bournemouth           |football_data   |1044              |
|England          |Premier League       |48     |Arsenal FC                |football_data   |57                |
|England          |Premier League       |49     |Aston Villa FC            |football_data   |58                |
|England          |Premier League       |65     |Brentford FC              |football_data   |402               |
|England          |Premier League       |64     |Brighton & Hove Albion FC |football_data   |397               |
|England          |Premier League       |60     |Burnley FC                |football_data   |328               |
|England          |Premier League       |11,886 |Cardiff City FC           |                |                  |
|England          |Premier League       |50     |Chelsea FC                |football_data   |61                |
|England          |Premier League       |63     |Crystal Palace FC         |football_data   |354               |
|England          |Premier League       |51     |Everton FC                |football_data   |62                |
