|canonical_country|canonical_league_name|api_team_id|api_team_name           |api_ext_team_id|
|-----------------|---------------------|-----------|------------------------|---------------|
|England          |Championship         |13,359     |Birmingham              |54             |
|England          |Championship         |12,194     |Blackburn               |67             |
|England          |Championship         |12,187     |Bristol City            |56             |
|England          |Championship         |12,186     |Burnley                 |44             |
|England          |Championship         |12,185     |Cardiff                 |43             |
|England          |Championship         |12,204     |Coventry                |1346           |
|England          |Championship         |12,195     |Derby                   |69             |
|England          |Championship         |13,048     |Huddersfield            |37             |
|England          |Championship         |12,193     |Hull City               |64             |
|England          |Championship         |11,920     |Ipswich                 |57             |
|England          |Championship         |12,192     |Leeds                   |63             |
|England          |Championship         |11,912     |Leicester               |46             |
|England          |Championship         |12,207     |Luton                   |1359           |
|England          |Championship         |12,196     |Middlesbrough           |70             |
|England          |Championship         |12,188     |Millwall                |58             |
|England          |Championship         |12,197     |Norwich                 |71             |
|England          |Championship         |12,203     |Oxford United           |1338           |
|England          |Championship         |12,205     |Portsmouth              |1355           |
|England          |Championship         |12,189     |Preston                 |59             |
|England          |Championship         |12,198     |QPR                     |72             |
|England          |Championship         |12,191     |Sheffield Utd           |62             |
|England          |Championship         |12,199     |Sheffield Wednesday     |74             |
|England          |Championship         |11,909     |Southampton             |41             |
|England          |Championship         |12,200     |Stoke City              |75             |
|England          |Championship         |12,202     |Sunderland              |746            |
|England          |Championship         |12,201     |Swansea                 |76             |
|England          |Championship         |12,184     |Watford                 |38             |
|England          |Championship         |12,190     |West Brom               |60             |
|England          |Premier League       |11,910     |Arsenal                 |42             |
|England          |Premier League       |11,922     |Aston Villa             |66             |
|England          |Premier League       |11,905     |Bournemouth             |35             |
|England          |Premier League       |11,919     |Brentford               |55             |
|England          |Premier League       |11,917     |Brighton                |51             |
|England          |Premier League       |12,186     |Burnley                 |44             |
|England          |Premier League       |11,915     |Chelsea                 |49             |
|England          |Premier League       |11,918     |Crystal Palace          |52             |
|England          |Premier League       |11,911     |Everton                 |45             |
|England          |Premier League       |11,906     |Fulham                  |36             |
