|country    |league_name   |canonical_team_id|canonical_team_name       |
|-----------|--------------|-----------------|--------------------------|
|England    |Championship  |67               |AFC Bournemouth           |
|England    |Championship  |49               |Aston Villa FC            |
|England    |Championship  |1,006            |Barnsley                  |
|England    |Championship  |32               |Birmingham City FC        |
|England    |Championship  |24               |Blackburn Rovers FC       |
|England    |Championship  |1,009            |Bolton                    |
|England    |Championship  |65               |Brentford FC              |
|England    |Championship  |43               |Bristol City FC           |
|England    |Championship  |60               |Burnley FC                |
|England    |Championship  |11,886           |Cardiff City FC           |
|England    |Championship  |39               |Charlton Athletic FC      |
|England    |Championship  |45               |Coventry City FC          |
|England    |Championship  |35               |Derby County FC           |
|England    |Championship  |52               |Fulham FC                 |
|England    |Championship  |11,887           |Huddersfield Town AFC     |
|England    |Championship  |30               |Hull City AFC             |
|England    |Championship  |40               |Ipswich Town FC           |
|England    |Championship  |61               |Leeds United FC           |
|England    |Championship  |33               |Leicester City FC         |
|England    |Championship  |11,888           |Luton Town FC             |
|England    |Championship  |36               |Middlesbrough FC          |
|England    |Championship  |42               |Millwall FC               |
|England    |Championship  |25               |Norwich City FC           |
|England    |Championship  |62               |Nottingham Forest FC      |
|England    |Championship  |47               |Oxford United FC          |
|England    |Championship  |1,007            |Peterboro                 |
|England    |Championship  |31               |Portsmouth FC             |
|England    |Championship  |46               |Preston North End FC      |
|England    |Championship  |26               |Queens Park Rangers FC    |
|England    |Championship  |41               |Sheffield United FC       |
|England    |Championship  |37               |Sheffield Wednesday FC    |
|England    |Championship  |34               |Southampton FC            |
|England    |Championship  |27               |Stoke City FC             |
|England    |Championship  |57               |Sunderland AFC            |
|England    |Championship  |28               |Swansea City AFC          |
|England    |Championship  |38               |Watford FC                |
|England    |Championship  |29               |West Bromwich Albion FC   |
|England    |Championship  |44               |Wrexham AFC               |
|England    |Championship  |1,008            |Wycombe                   |
|England    |Premier League|67               |AFC Bournemouth           |
|England    |Premier League|48               |Arsenal FC                |
|England    |Premier League|49               |Aston Villa FC            |
|England    |Premier League|65               |Brentford FC              |
|England    |Premier League|64               |Brighton & Hove Albion FC |
|England    |Premier League|60               |Burnley FC                |
