|country    |league_name   |canonical_team_id|canonical_team_name      |api_team_id|api_team_name      |
|-----------|--------------|-----------------|-------------------------|-----------|-------------------|
|England    |Championship  |32               |Birmingham City FC       |13,359     |Birmingham         |
|England    |Championship  |24               |Blackburn Rovers FC      |12,194     |Blackburn          |
|England    |Championship  |43               |Bristol City FC          |12,187     |Bristol City       |
|England    |Championship  |60               |Burnley FC               |12,186     |Burnley            |
|England    |Championship  |11,886           |Cardiff City FC          |12,185     |Cardiff            |
|England    |Championship  |45               |Coventry City FC         |12,204     |Coventry           |
|England    |Championship  |35               |Derby County FC          |12,195     |Derby              |
|England    |Championship  |11,887           |Huddersfield Town AFC    |13,048     |Huddersfield       |
|England    |Championship  |30               |Hull City AFC            |12,193     |Hull City          |
|England    |Championship  |40               |Ipswich Town FC          |11,920     |Ipswich            |
|England    |Championship  |61               |Leeds United FC          |12,192     |Leeds              |
|England    |Championship  |33               |Leicester City FC        |11,912     |Leicester          |
|England    |Championship  |11,888           |Luton Town FC            |12,207     |Luton              |
|England    |Championship  |36               |Middlesbrough FC         |12,196     |Middlesbrough      |
|England    |Championship  |42               |Millwall FC              |12,188     |Millwall           |
|England    |Championship  |25               |Norwich City FC          |12,197     |Norwich            |
|England    |Championship  |47               |Oxford United FC         |12,203     |Oxford United      |
|England    |Championship  |31               |Portsmouth FC            |12,205     |Portsmouth         |
|England    |Championship  |46               |Preston North End FC     |12,189     |Preston            |
|England    |Championship  |37               |Sheffield Wednesday FC   |12,199     |Sheffield Wednesday|
|England    |Championship  |34               |Southampton FC           |11,909     |Southampton        |
|England    |Championship  |27               |Stoke City FC            |12,200     |Stoke City         |
|England    |Championship  |57               |Sunderland AFC           |12,202     |Sunderland         |
|England    |Championship  |28               |Swansea City AFC         |12,201     |Swansea            |
|England    |Championship  |38               |Watford FC               |12,184     |Watford            |
|England    |Championship  |29               |West Bromwich Albion FC  |12,190     |West Brom          |
|England    |Premier League|67               |AFC Bournemouth          |11,905     |Bournemouth        |
|England    |Premier League|48               |Arsenal FC               |11,910     |Arsenal            |
|England    |Premier League|49               |Aston Villa FC           |11,922     |Aston Villa        |
|England    |Premier League|65               |Brentford FC             |11,919     |Brentford          |
|England    |Premier League|64               |Brighton & Hove Albion FC|11,917     |Brighton           |
|England    |Premier League|60               |Burnley FC               |12,186     |Burnley            |
|England    |Premier League|50               |Chelsea FC               |11,915     |Chelsea            |
|England    |Premier League|63               |Crystal Palace FC        |11,918     |Crystal Palace     |
|England    |Premier League|51               |Everton FC               |11,911     |Everton            |
|England    |Premier League|52               |Fulham FC                |11,906     |Fulham             |
|England    |Premier League|40               |Ipswich Town FC          |11,920     |Ipswich            |
