|sport_key                        |home_team_name            |canonical_home_team_name   |home_source_type|away_team_name                |canonical_away_team_name      |away_source_type|commence_time                |match_id|league_name|kickoff|
|---------------------------------|--------------------------|---------------------------|----------------|------------------------------|------------------------------|----------------|-----------------------------|--------|-----------|-------|
|soccer_brazil_campeonato         |Chapecoense               |Chapecoense AF             |team_alias      |Vitoria                       |Vitória SC                    |team_alias      |2026-04-05 21:00:00.000 +0200|        |           |       |
|soccer_brazil_campeonato         |Vitoria                   |Vitória SC                 |team_alias      |Sao Paulo                     |São Paulo FC                  |team_alias      |2026-04-11 21:30:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Rosario Central           |Leones de Rosario          |team_alias      |Independiente del Valle       |CAR Independiente del Valle   |team_alias      |2026-04-08 00:00:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Barcelona SC              |FC Barcelona               |team_alias      |Cruzeiro                      |Cruzeiro EC                   |team_alias      |2026-04-08 02:00:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Club Always Ready         |Club Always Ready          |team_alias      |LDU Quito                     |LDU de Quito                  |team_alias      |2026-04-08 02:00:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Universidad Católica (CHI)|Universidad Catolica       |team_alias      |Boca Juniors                  |CA Boca Juniors               |team_alias      |2026-04-08 02:30:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Deportes Tolima           |                           |                |Club Universitario de Deportes|Club Universitario de Deportes|team_alias      |2026-04-08 04:00:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Coquimbo Unido            |CD Coquimbo Unido          |team_alias      |Nacional de Montevideo        |Nacional                      |team_alias      |2026-04-09 00:00:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Mirassol                  |Mirassol FC                |team_alias      |Lanus                         |                              |                |2026-04-09 00:00:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Independiente Medellín    |CD Independiente Medellín  |team_alias      |Estudiantes La Plata          |                              |                |2026-04-09 02:00:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Cusco FC                  |Cusco                      |team_alias      |Flamengo-RJ                   |CR Flamengo                   |team_alias      |2026-04-09 02:30:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Junior FC                 |AA Argentinos Juniors      |team_alias      |Palmeiras-SP                  |SE Palmeiras                  |team_alias      |2026-04-09 02:30:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|Sporting Cristal          |Sporting Cristal U20       |team_alias      |Cerro Porteño                 |Cerro                         |team_alias      |2026-04-09 04:00:00.000 +0200|        |           |       |
|soccer_conmebol_copa_libertadores|UCV FC                    |UCV                        |team_alias      |Libertad Asuncion             |Libertad                      |team_alias      |2026-04-10 00:00:00.000 +0200|        |           |       |
