|theodds_key                      |canonical_league_name|event_name                                       |home_raw                  |away_raw                      |home_normalized         |away_normalized          |home_team_id|home_team_name             |away_team_id|away_team_name                |home_team_matches_in_league|away_team_matches_in_league|
|---------------------------------|---------------------|-------------------------------------------------|--------------------------|------------------------------|------------------------|-------------------------|------------|---------------------------|------------|------------------------------|---------------------------|---------------------------|
|soccer_germany_bundesliga        |Bundesliga           |1. FC Heidenheim vs Union Berlin                 |1. FC Heidenheim          |Union Berlin                  |1 heidenheim            |union berlin             |12,077      |1. FC Heidenheim           |27,654      |Union Berlin                  |0                          |0                          |
|soccer_germany_bundesliga        |Bundesliga           |1. FC Heidenheim vs Union Berlin                 |1. FC Heidenheim          |Union Berlin                  |1 heidenheim            |union berlin             |12,077      |1. FC Heidenheim           |533         |1. FC Union Berlin            |0                          |260                        |
|soccer_germany_bundesliga        |Bundesliga           |Borussia Monchengladbach vs 1. FC Heidenheim     |Borussia Monchengladbach  |1. FC Heidenheim              |borussia monchengladbach|1 heidenheim             |530         |Borussia Mönchengladbach   |12,077      |1. FC Heidenheim              |294                        |0                          |
|soccer_germany_bundesliga        |Bundesliga           |FC St. Pauli vs Bayern Munich                    |FC St. Pauli              |Bayern Munich                 |saint pauli             |bayern munich            |12,079      |FC St. Pauli               |70          |FC Bayern München             |0                          |294                        |
|soccer_germany_bundesliga        |Bundesliga           |Union Berlin vs FC St. Pauli                     |Union Berlin              |FC St. Pauli                  |union berlin            |saint pauli              |27,654      |Union Berlin               |12,079      |FC St. Pauli                  |0                          |0                          |
|soccer_germany_bundesliga        |Bundesliga           |Union Berlin vs FC St. Pauli                     |Union Berlin              |FC St. Pauli                  |union berlin            |saint pauli              |533         |1. FC Union Berlin         |12,079      |FC St. Pauli                  |260                        |0                          |
|soccer_conmebol_copa_libertadores|Copa Libertadores    |Barcelona SC vs Cruzeiro                         |Barcelona SC              |Cruzeiro                      |barcelona               |cruzeiro                 |80          |FC Barcelona               |10          |Cruzeiro EC                   |0                          |6                          |
|soccer_conmebol_copa_libertadores|Copa Libertadores    |Barcelona SC vs Cruzeiro                         |Barcelona SC              |Cruzeiro                      |barcelona               |cruzeiro                 |12,082      |Barcelona                  |10          |Cruzeiro EC                   |0                          |6                          |
|soccer_conmebol_copa_libertadores|Copa Libertadores    |Boca Juniors vs Barcelona SC                     |Boca Juniors              |Barcelona SC                  |boca juniors            |barcelona                |35,239      |CA Boca Juniors            |80          |FC Barcelona                  |6                          |0                          |
|soccer_conmebol_copa_libertadores|Copa Libertadores    |Boca Juniors vs Barcelona SC                     |Boca Juniors              |Barcelona SC                  |boca juniors            |barcelona                |35,239      |CA Boca Juniors            |12,082      |Barcelona                     |6                          |0                          |
|soccer_conmebol_copa_libertadores|Copa Libertadores    |Club Always Ready vs LDU Quito                   |Club Always Ready         |LDU Quito                     |always ready            |ldu quito                |35,236      |Club Always Ready          |25,943      |LDU de Quito                  |6                          |0                          |
