|league_name                      |event_name                                       |home_raw                |away_raw                      |best_home_candidate     |best_away_candidate      |best_home_score|best_away_score|
|---------------------------------|-------------------------------------------------|------------------------|------------------------------|------------------------|-------------------------|---------------|---------------|
|soccer_brazil_campeonato         |Chapecoense vs Vitoria                           |Chapecoense             |Vitoria                       |chapecoense             |vitoria                  |1              |1              |
|soccer_brazil_campeonato         |Grêmio vs Remo                                   |Grêmio                  |Remo                          |gremio                  |remo                     |1              |1              |
|soccer_brazil_campeonato         |Internacional vs Grêmio                          |Internacional           |Grêmio                        |internacional           |gremio                   |1              |1              |
|soccer_brazil_campeonato         |Palmeiras vs Grêmio                              |Palmeiras               |Grêmio                        |palmeiras               |gremio                   |1              |1              |
|soccer_brazil_campeonato         |Vitoria vs Sao Paulo                             |Vitoria                 |Sao Paulo                     |vitoria                 |sao paulo                |1              |1              |
|soccer_conmebol_copa_libertadores|Barcelona SC vs Cruzeiro                         |Barcelona SC            |Cruzeiro                      |barcelona               |cruzeiro                 |1              |1              |
|soccer_conmebol_copa_libertadores|Boca Juniors vs Barcelona SC                     |Boca Juniors            |Barcelona SC                  |boca juniors            |barcelona                |1              |1              |
|soccer_conmebol_copa_libertadores|Cerro Porteño vs Junior FC                       |Cerro Porteño           |Junior FC                     |cerro porteno           |junior                   |1              |1              |
|soccer_conmebol_copa_libertadores|Club Always Ready vs LDU Quito                   |Club Always Ready       |LDU Quito                     |always ready            |ldu quito                |1              |1              |
|soccer_conmebol_copa_libertadores|Club Bolívar vs Deportivo La Guaira              |Club Bolívar            |Deportivo La Guaira           |bolivar                 |la guaira                |1              |1              |
|soccer_conmebol_copa_libertadores|Coquimbo Unido vs Nacional de Montevideo         |Coquimbo Unido          |Nacional de Montevideo        |coquimbo unido          |nacional de montevideo   |1              |1              |
|soccer_conmebol_copa_libertadores|Cusco FC vs Flamengo-RJ                          |Cusco FC                |Flamengo-RJ                   |cusco                   |flamengo rj              |1              |1              |
|soccer_conmebol_copa_libertadores|Deportes Tolima vs Club Universitario de Deportes|Deportes Tolima         |Club Universitario de Deportes|deportes tolima         |universitario de deportes|1              |1              |
|soccer_conmebol_copa_libertadores|Estudiantes La Plata vs Cusco FC                 |Estudiantes La Plata    |Cusco FC                      |estudiantes la plata    |cusco                    |1              |1              |
|soccer_conmebol_copa_libertadores|Independiente del Valle vs UCV FC                |Independiente del Valle |UCV FC                        |independiente del valle |ucv                      |1              |1              |
|soccer_conmebol_copa_libertadores|Independiente Medellín vs Estudiantes La Plata   |Independiente Medellín  |Estudiantes La Plata          |independiente medellin  |estudiantes la plata     |1              |1              |
|soccer_conmebol_copa_libertadores|Independiente Rivadavia vs Club Bolívar          |Independiente Rivadavia |Club Bolívar                  |independiente rivadavia |bolivar                  |1              |1              |
|soccer_conmebol_copa_libertadores|Independiente Santa Fe vs Peñarol Montevideo     |Independiente Santa Fe  |Peñarol Montevideo            |independiente santa fe  |penarol montevideo       |1              |1              |
|soccer_conmebol_copa_libertadores|Lanus vs Club Always Ready                       |Lanus                   |Club Always Ready             |lanus                   |always ready             |1              |1              |
|soccer_conmebol_copa_libertadores|LDU Quito vs Mirassol                            |LDU Quito               |Mirassol                      |ldu quito               |mirassol                 |1              |1              |
|soccer_conmebol_copa_libertadores|Mirassol vs Lanus                                |Mirassol                |Lanus                         |mirassol                |lanus                    |1              |1              |
|soccer_conmebol_copa_libertadores|Nacional de Montevideo vs Deportes Tolima        |Nacional de Montevideo  |Deportes Tolima               |nacional de montevideo  |deportes tolima          |1              |1              |
|soccer_conmebol_copa_libertadores|Palmeiras-SP vs Sporting Cristal                 |Palmeiras-SP            |Sporting Cristal              |palmeiras sp            |sporting cristal         |1              |1              |
|soccer_conmebol_copa_libertadores|Peñarol Montevideo vs Platense                   |Peñarol Montevideo      |Platense                      |penarol montevideo      |platense                 |1              |1              |
|soccer_conmebol_copa_libertadores|Platense vs Corinthians-SP                       |Platense                |Corinthians-SP                |platense                |corinthians sp           |1              |1              |
|soccer_conmebol_copa_libertadores|UCV FC vs Libertad Asuncion                      |UCV FC                  |Libertad Asuncion             |ucv                     |libertad asuncion        |1              |1              |
|soccer_epl                       |Burnley vs Brighton and Hove Albion              |Burnley                 |Brighton and Hove Albion      |burnley                 |brighton and hove albion |1              |1              |
|soccer_epl                       |Crystal Palace vs Newcastle United               |Crystal Palace          |Newcastle United              |crystal palace          |newcastle united         |1              |1              |
|soccer_epl                       |Leeds United vs Wolverhampton Wanderers          |Leeds United            |Wolverhampton Wanderers       |leeds united            |wolverhampton wanderers  |1              |1              |
|soccer_epl                       |Manchester United vs Leeds United                |Manchester United       |Leeds United                  |manchester united       |leeds united             |1              |1              |
|soccer_epl                       |Newcastle United vs Bournemouth                  |Newcastle United        |Bournemouth                   |newcastle united        |bournemouth              |1              |1              |
|soccer_epl                       |Tottenham Hotspur vs Brighton and Hove Albion    |Tottenham Hotspur       |Brighton and Hove Albion      |tottenham hotspur       |brighton and hove albion |1              |1              |
|soccer_fifa_world_cup            |Iraq vs Norway                                   |Iraq                    |Norway                        |iraq                    |norway                   |1              |1              |
|soccer_fifa_world_cup            |Ivory Coast vs Ecuador                           |Ivory Coast             |Ecuador                       |ivory coast             |ecuador                  |1              |1              |
|soccer_fifa_world_cup            |Portugal vs DR Congo                             |Portugal                |DR Congo                      |portugal                |dr congo                 |1              |1              |
|soccer_fifa_world_cup            |USA vs Australia                                 |USA                     |Australia                     |usa                     |australia                |1              |1              |
|soccer_fifa_world_cup            |USA vs Paraguay                                  |USA                     |Paraguay                      |usa                     |paraguay                 |1              |1              |
|soccer_france_ligue_one          |Angers vs Lyon                                   |Angers                  |Lyon                          |angers                  |lyon                     |1              |1              |
|soccer_france_ligue_one          |Auxerre vs Nantes                                |Auxerre                 |Nantes                        |auxerre                 |nantes                   |1              |1              |
|soccer_france_ligue_one          |Brest vs Rennes                                  |Brest                   |Rennes                        |brest                   |rennes                   |1              |1              |
|soccer_france_ligue_one          |Brest vs Strasbourg                              |Brest                   |Strasbourg                    |brest                   |strasbourg               |1              |1              |
|soccer_france_ligue_one          |Le Havre vs Auxerre                              |Le Havre                |Auxerre                       |le havre                |auxerre                  |1              |1              |
|soccer_france_ligue_one          |Lille vs RC Lens                                 |Lille                   |RC Lens                       |lille                   |rc lens                  |1              |1              |
|soccer_france_ligue_one          |RC Lens vs Paris Saint Germain                   |RC Lens                 |Paris Saint Germain           |rc lens                 |paris saint germain      |1              |1              |
|soccer_france_ligue_one          |Rennes vs Angers                                 |Rennes                  |Angers                        |rennes                  |angers                   |1              |1              |
|soccer_france_ligue_one          |Strasbourg vs Nice                               |Strasbourg              |Nice                          |strasbourg              |nice                     |1              |1              |
|soccer_germany_bundesliga        |1. FC Heidenheim vs Union Berlin                 |1. FC Heidenheim        |Union Berlin                  |1 heidenheim            |union berlin             |1              |1              |
|soccer_germany_bundesliga        |Borussia Monchengladbach vs 1. FC Heidenheim     |Borussia Monchengladbach|1. FC Heidenheim              |borussia monchengladbach|1 heidenheim             |1              |1              |
|soccer_germany_bundesliga        |FC St. Pauli vs Bayern Munich                    |FC St. Pauli            |Bayern Munich                 |saint pauli             |bayern munich            |1              |1              |
|soccer_germany_bundesliga        |Union Berlin vs FC St. Pauli                     |Union Berlin            |FC St. Pauli                  |union berlin            |saint pauli              |1              |1              |
|soccer_italy_serie_a             |AS Roma vs Pisa                                  |AS Roma                 |Pisa                          |as roma                 |pisa                     |1              |1              |
|soccer_italy_serie_a             |Cagliari vs Cremonese                            |Cagliari                |Cremonese                     |cagliari                |cremonese                |1              |1              |
|soccer_italy_serie_a             |Como vs Inter Milan                              |Como                    |Inter Milan                   |como                    |inter milan              |1              |1              |
|soccer_italy_serie_a             |Pisa vs Torino                                   |Pisa                    |Torino                        |pisa                    |torino                   |1              |1              |
|soccer_italy_serie_a             |Sassuolo vs Cagliari                             |Sassuolo                |Cagliari                      |sassuolo                |cagliari                 |1              |1              |
|soccer_italy_serie_a             |Udinese vs Como                                  |Udinese                 |Como                          |udinese                 |como                     |1              |1              |
