|league_id|league_name                      |teams_in_league|total_players_in_league|avg_players_per_team|
|---------|---------------------------------|---------------|-----------------------|--------------------|
|20,876   |League One                       |37             |175                    |4.73                |
|20,877   |League Two                       |35             |147                    |4.2                 |
|20,948   |NB I                             |16             |67                     |4.19                |
|21,066   |Segunda Liga                     |28             |109                    |3.89                |
|20,858   |Primeira Liga                    |23             |81                     |3.52                |
|21,110   |Liga I                           |22             |75                     |3.41                |
|21,882   |2. Frauen Bundesliga             |18             |60                     |3.33                |
|20,949   |NB II                            |28             |90                     |3.21                |
|20,871   |Championship                     |30             |88                     |2.93                |
|21,111   |Liga II                          |36             |74                     |2.06                |
|20,852   |Ligue 1                          |23             |34                     |1.48                |
|21,062   |Segunda Divisi?n                 |32             |40                     |1.25                |
|20,894   |2. Lig                           |55             |60                     |1.09                |
|20,859   |La Liga                          |24             |21                     |0.88                |
|21,065   |Eerste Divisie                   |25             |21                     |0.84                |
|20,849   |Eredivisie                       |31             |26                     |0.84                |
|20,851   |Ligue 2                          |29             |16                     |0.55                |
|21,697   |Liga 3                           |32             |17                     |0.53                |
|21,090   |Frauen Bundesliga                |14             |7                      |0.5                 |
|20,855   |Premier League                   |24             |7                      |0.29                |
|21,819   |3. liga - Promotion Play-off     |4              |1                      |0.25                |
|21,233   |Copa del Rey                     |64             |16                     |0.25                |
|21,812   |Segunda Divisi?n RFEF - Play-offs|44             |11                     |0.25                |
|21,534   |3. liga - CFL B                  |21             |3                      |0.14                |
|21,308   |3. liga - CFL A                  |21             |2                      |0.1                 |
|21,309   |3. liga - MSFL                   |25             |2                      |0.08                |
|20,893   |1. Lig                           |29             |1                      |0.03                |
|23,952   |1a Divisão - Women               |0              |0                      |0                   |
|20,912   |1a Divisi?                       |11             |0                      |0                   |
|21,842   |1a Divis?o - Women               |0              |0                      |0                   |
|24,501   |1. Bundesliga                    |0              |0                      |0                   |
|24,625   |1. Bundesliga Women              |0              |0                      |0                   |
|21,097   |1. Deild                         |14             |0                      |0                   |
|20,994   |1. Deild                         |0              |0                      |0                   |
|24,678   |1. Divisao Women                 |0              |0                      |0                   |
|20,937   |1. Division                      |19             |0                      |0                   |
|20,940   |1. Division                      |19             |0                      |0                   |
|21,013   |1. Division                      |19             |0                      |0                   |
|21,099   |1. Division                      |21             |0                      |0                   |
|21,250   |1. Division                      |17             |0                      |0                   |
|24,658   |1. Division East                 |0              |0                      |0                   |
|24,695   |1. Division East Women           |0              |0                      |0                   |
|24,639   |1. Division West                 |0              |0                      |0                   |
|24,555   |1. Division West Women           |0              |0                      |0                   |
|23,877   |1. Division Women                |0              |0                      |0                   |
|21,761   |1. Division Women                |0              |0                      |0                   |
|24,644   |1. DOL                           |0              |0                      |0                   |
|24,451   |1. DOL Women                     |0              |0                      |0                   |
|23,241   |1 Liga                           |0              |0                      |0                   |
|24,645   |1. liga                          |0              |0                      |0                   |
|20,974   |1. Liga                          |17             |0                      |0                   |
|23,061   |1. Liga                          |0              |0                      |0                   |
|22,518   |1. Liga                          |0              |0                      |0                   |
|21,412   |1. Liga Classic - Group 1        |0              |0                      |0                   |
|23,560   |1. Liga Classic - Group 1        |0              |0                      |0                   |
|23,561   |1. Liga Classic - Group 2        |0              |0                      |0                   |
|21,413   |1. Liga Classic - Group 2        |0              |0                      |0                   |
|23,562   |1. Liga Classic - Group 3        |0              |0                      |0                   |
|21,414   |1. Liga Classic - Group 3        |0              |0                      |0                   |
|21,816   |1. Liga Classic - Play-offs      |0              |0                      |0                   |
|23,929   |1. Liga Classic - Play-offs      |0              |0                      |0                   |
|23,460   |1. Liga Promotion                |0              |0                      |0                   |
|21,206   |1. Liga Promotion                |0              |0                      |0                   |
|23,634   |1. Liga U19                      |0              |0                      |0                   |
|21,518   |1. Liga U19                      |0              |0                      |0                   |
|24,636   |1. liga Women                    |0              |0                      |0                   |
|23,635   |1. Liga Women                    |0              |0                      |0                   |
|21,519   |1. Liga Women                    |0              |0                      |0                   |
|24,576   |1. Ligi                          |0              |0                      |0                   |
|24,461   |1. Ligi Women                    |0              |0                      |0                   |
|20,977   |1 Lyga                           |20             |0                      |0                   |
|23,280   |1 SKL W                          |0              |0                      |0                   |
|23,470   |1. SNL                           |0              |0                      |0                   |
|21,230   |1. SNL                           |14             |0                      |0                   |
|20,970   |1st Division                     |17             |0                      |0                   |
|24,630   |1st Division                     |0              |0                      |0                   |
|21,115   |1st Division                     |0              |0                      |0                   |
|21,168   |1st League - FBiH                |0              |0                      |0                   |
|21,167   |1st League - RS                  |0              |0                      |0                   |
|23,272   |1. ZLS Women                     |0              |0                      |0                   |
|20,913   |2a Divisi?                       |8              |0                      |0                   |
|24,532   |2. Bundesliga                    |0              |0                      |0                   |
|20,963   |2. Bundesliga                    |26             |0                      |0                   |
|24,686   |2. Bundesliga North              |0              |0                      |0                   |
|24,479   |2. Bundesliga North Women        |0              |0                      |0                   |
|24,590   |2. Bundesliga South              |0              |0                      |0                   |
|24,507   |2. Bundesliga South Women        |0              |0                      |0                   |
|24,567   |2. Bundesliga Women              |0              |0                      |0                   |
|21,137   |2. Deild                         |0              |0                      |0                   |
|21,251   |2. Division                      |24             |0                      |0                   |
|21,014   |2. Division                      |0              |0                      |0                   |
|21,042   |2. Division                      |0              |0                      |0                   |
|23,533   |2. Division - Group 1            |0              |0                      |0                   |
|21,386   |2. Division - Group 1            |0              |0                      |0                   |
|23,534   |2. Division - Group 2            |0              |0                      |0                   |
|21,387   |2. Division - Group 2            |0              |0                      |0                   |
|24,011   |2. Division - Play-offs          |0              |0                      |0                   |
|21,900   |2. Division - Play-offs          |0              |0                      |0                   |
|23,994   |2. Frauen Bundesliga             |0              |0                      |0                   |
|21,172   |2. liga                          |22             |0                      |0                   |
|23,443   |2. liga                          |0              |0                      |0                   |
|22,545   |2. Liga                          |0              |0                      |0                   |
