|sport|provider             |entity  |status    |rows_count|enabled_rows|rows_with_data|fixtures_count|teams_count|odds_count|players_count|coaches_count|last_job_started_at          |last_job_success_at|
|-----|---------------------|--------|----------|----------|------------|--------------|--------------|-----------|----------|-------------|-------------|-----------------------------|-------------------|
|AFB  |api_american_football|coaches |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|AFB  |api_american_football|fixtures|planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|AFB  |api_american_football|leagues |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|AFB  |api_american_football|odds    |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|AFB  |api_american_football|players |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|AFB  |api_american_football|teams   |planned   |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |coaches |tech_ready|3         |3           |0             |1             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |coaches |planned   |423       |423         |0             |600           |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |coaches |disabled  |1         |0           |0             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |fixtures|tech_ready|3         |3           |1             |1             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |fixtures|planned   |423       |423         |172           |600           |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |fixtures|disabled  |1         |0           |1             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |leagues |tech_ready|3         |3           |2             |1             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |leagues |planned   |423       |423         |423           |600           |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |leagues |disabled  |1         |0           |1             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |odds    |tech_ready|3         |3           |0             |1             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |odds    |planned   |423       |423         |0             |600           |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |odds    |disabled  |1         |0           |0             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |players |tech_ready|3         |3           |0             |1             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |players |planned   |423       |423         |0             |600           |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |players |disabled  |1         |0           |0             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |teams   |tech_ready|3         |3           |0             |1             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
