|sport|provider             |entity  |final_status                 |next_action   |rows_count|enabled_rows|rows_with_data|fixtures_count|teams_count|odds_count|players_count|coaches_count|last_job_started_at          |last_job_success_at|
|-----|---------------------|--------|-----------------------------|--------------|----------|------------|--------------|--------------|-----------|----------|-------------|-------------|-----------------------------|-------------------|
|AFB  |api_american_football|coaches |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|AFB  |api_american_football|fixtures|SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|AFB  |api_american_football|leagues |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|AFB  |api_american_football|odds    |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|AFB  |api_american_football|players |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|AFB  |api_american_football|teams   |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |coaches |EXPAND_READY                 |SKIP_FOR_NOW  |3         |3           |0             |1             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |coaches |SKELETON_ONLY                |SKIP_FOR_NOW  |423       |423         |0             |600           |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |coaches |DISABLED                     |KEEP_DISABLED |1         |0           |0             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |fixtures|EXPAND_READY                 |INCLUDE_WAVE_2|2         |2           |0             |0             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |fixtures|DATA_PRESENT_NOT_ORCHESTRATED|FIX_PIPELINE  |173       |173         |173           |601           |0          |0         |0            |0            |2026-03-25 19:26:13.342 +0100|                   |
|BK   |api_sport            |fixtures|SKELETON_ONLY                |SKIP_FOR_NOW  |251       |251         |0             |0             |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |fixtures|DISABLED                     |KEEP_DISABLED |1         |0           |1             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |leagues |EXPAND_READY                 |INCLUDE_WAVE_2|1         |1           |0             |0             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |leagues |DATA_PRESENT_NOT_ORCHESTRATED|FIX_PIPELINE  |425       |425         |425           |601           |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |leagues |DISABLED                     |KEEP_DISABLED |1         |0           |1             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |odds    |EXPAND_READY                 |INCLUDE_WAVE_2|3         |3           |0             |1             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |odds    |SKELETON_ONLY                |SKIP_FOR_NOW  |423       |423         |0             |600           |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |odds    |DISABLED                     |KEEP_DISABLED |1         |0           |0             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |players |EXPAND_READY                 |SKIP_FOR_NOW  |3         |3           |0             |1             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |players |SKELETON_ONLY                |SKIP_FOR_NOW  |423       |423         |0             |600           |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |players |DISABLED                     |KEEP_DISABLED |1         |0           |0             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BK   |api_sport            |teams   |EXPAND_READY                 |INCLUDE_WAVE_2|3         |3           |0             |1             |0          |0         |0            |0            |2026-03-25 19:39:25.374 +0100|                   |
|BK   |api_sport            |teams   |SKELETON_ONLY                |SKIP_FOR_NOW  |423       |423         |0             |600           |0          |0         |0            |0            |                             |                   |
|BK   |api_sport            |teams   |DISABLED                     |KEEP_DISABLED |1         |0           |0             |6             |0          |0         |0            |0            |2026-03-25 15:55:52.297 +0100|                   |
|BSB  |api_baseball         |coaches |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|BSB  |api_baseball         |fixtures|SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|BSB  |api_baseball         |leagues |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|BSB  |api_baseball         |odds    |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|BSB  |api_baseball         |players |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|BSB  |api_baseball         |teams   |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|CK   |api_cricket          |coaches |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|CK   |api_cricket          |fixtures|SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|CK   |api_cricket          |leagues |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|CK   |api_cricket          |odds    |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|CK   |api_cricket          |players |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|CK   |api_cricket          |teams   |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|DRT  |api_darts            |coaches |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|DRT  |api_darts            |fixtures|SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|DRT  |api_darts            |leagues |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|DRT  |api_darts            |odds    |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|DRT  |api_darts            |players |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|DRT  |api_darts            |teams   |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|ESP  |api_esports          |coaches |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|ESP  |api_esports          |fixtures|SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|ESP  |api_esports          |leagues |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|ESP  |api_esports          |odds    |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|ESP  |api_esports          |players |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|ESP  |api_esports          |teams   |SKELETON_ONLY                |SKIP_FOR_NOW  |1         |1           |0             |0             |0          |0         |0            |0            |                             |                   |
|FB   |api_football         |coaches |EXPAND_READY                 |SKIP_FOR_NOW  |50        |50          |0             |9,538         |615        |0         |922          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |coaches |SKELETON_ONLY                |SKIP_FOR_NOW  |1,167     |1,167       |0             |18,040        |863        |0         |131          |0            |                             |                   |
|FB   |api_football         |coaches |DISABLED                     |KEEP_DISABLED |1,219     |0           |0             |19,846        |1,003      |0         |905          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |fixtures|EXPAND_READY                 |INCLUDE_WAVE_2|16        |16          |0             |0             |131        |0         |16           |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |fixtures|DATA_PRESENT_NOT_ORCHESTRATED|FIX_PIPELINE  |120       |120         |120           |27,578        |1,347      |0         |1,037        |0            |2026-03-23 16:33:58.660 +0100|                   |
|FB   |api_football         |fixtures|SKELETON_ONLY                |SKIP_FOR_NOW  |1,081     |1,081       |0             |0             |0          |0         |0            |0            |                             |                   |
|FB   |api_football         |fixtures|DISABLED                     |KEEP_DISABLED |1,219     |0           |71            |19,846        |1,003      |0         |905          |0            |2026-03-29 09:05:09.261 +0200|                   |
|FB   |api_football         |leagues |DATA_PRESENT_NOT_ORCHESTRATED|FIX_PIPELINE  |1,217     |1,217       |1,217         |27,578        |1,478      |0         |1,053        |0            |2026-03-29 09:05:09.261 +0200|                   |
