|sport|provider             |entity  |provider_role  |structure_status |provider_status    |build_mode          |next_build_step               |rows_count|
|-----|---------------------|--------|---------------|-----------------|-------------------|--------------------|------------------------------|----------|
|AFB  |api_american_football|coaches |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|AFB  |api_american_football|fixtures|CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|AFB  |api_american_football|leagues |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|AFB  |api_american_football|odds    |ODDS_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|AFB  |api_american_football|players |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|AFB  |api_american_football|teams   |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|BK   |api_sport            |coaches |PEOPLE_PROVIDER|DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1         |
|BK   |api_sport            |coaches |PEOPLE_PROVIDER|STRUCTURE_READY  |REVIEW_PROVIDER    |PREPARE_ALT_PROVIDER|ADD_ALT_PEOPLE_PROVIDER_SLOT  |426       |
|BK   |api_sport            |fixtures|CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |STANDARDIZE_PARSER_AND_STAGING|426       |
|BK   |api_sport            |fixtures|CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1         |
|BK   |api_sport            |leagues |CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |STANDARDIZE_PARSER_AND_STAGING|426       |
|BK   |api_sport            |leagues |CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1         |
|BK   |api_sport            |odds    |ODDS_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |STANDARDIZE_ODDS_LINKING      |426       |
|BK   |api_sport            |odds    |ODDS_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1         |
|BK   |api_sport            |players |PEOPLE_PROVIDER|DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1         |
|BK   |api_sport            |players |PEOPLE_PROVIDER|STRUCTURE_READY  |REVIEW_PROVIDER    |PREPARE_ALT_PROVIDER|ADD_ALT_PEOPLE_PROVIDER_SLOT  |426       |
|BK   |api_sport            |teams   |CORE_PROVIDER  |STRUCTURE_READY  |ACTIVE_PROVIDER    |EXPAND_CORE         |STANDARDIZE_PARSER_AND_STAGING|426       |
|BK   |api_sport            |teams   |CORE_PROVIDER  |DISABLED         |DISABLED           |KEEP_DISABLED       |DO_NOT_USE                    |1         |
|BSB  |api_baseball         |coaches |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|BSB  |api_baseball         |fixtures|CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|BSB  |api_baseball         |leagues |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|BSB  |api_baseball         |odds    |ODDS_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|BSB  |api_baseball         |players |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|BSB  |api_baseball         |teams   |CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|CK   |api_cricket          |coaches |PEOPLE_PROVIDER|STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
|CK   |api_cricket          |fixtures|CORE_PROVIDER  |STRUCTURE_PARTIAL|NOT_VALIDATED      |PREPARE_STRUCTURE   |PREPARE_PROVIDER_CONTRACT     |1         |
