|id     |provider      |sport_code|external_team_id|team_name               |country_name|external_league_id|season   |raw_payload_id|is_active|created_at                   |updated_at                   |
|-------|--------------|----------|----------------|------------------------|------------|------------------|---------|--------------|---------|-----------------------------|-----------------------------|
|70,123 |api_volleyball|volleyball|741             |Cisterna                |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,124 |api_volleyball|volleyball|1794            |Grottazzolina           |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,125 |api_volleyball|volleyball|737             |Lube Civitanova         |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,126 |api_volleyball|volleyball|742             |Milano                  |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,127 |api_volleyball|volleyball|738             |Modena                  |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,128 |api_volleyball|volleyball|743             |Monza                   |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,129 |api_volleyball|volleyball|744             |Padova                  |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,130 |api_volleyball|volleyball|739             |Perugia                 |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,131 |api_volleyball|volleyball|745             |Piacenza                |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,132 |api_volleyball|volleyball|751             |Taranto                 |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,133 |api_volleyball|volleyball|740             |Trentino                |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
|70,134 |api_volleyball|volleyball|747             |Verona                  |            |97                |2024     |              |true     |2026-03-25 09:53:01.201 +0100|2026-03-25 09:53:01.201 +0100|
