|source_table|row_data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|job_runs    |"{\"id\": 599, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 16, \"leagues_updated\": 2175, \"matches_updated\": 81260, \"players_updated\": 2410, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 16, \"team_provider_map_inserted\": 16, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 6070, \"public.leagues\": 2994, \"public.matches\": 111872, \"public.players\": 2435, \"public.team_provider_map\": 5659, \"public.league_provider_map\": 2188, \"public.player_provider_map\": 2435}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-04-17T21:38:32.486725+02:00\", \"started_at\": \"2026-04-17T21:38:32.486725+02:00\", \"finished_at\": \"2026-04-17T21:38:38.194086+02:00\", \"rows_affected\": 85893, \"api_import_run_id\": null}"       |
|job_runs    |"{\"id\": 594, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 145, \"teams_inserted\": 2, \"leagues_updated\": 2175, \"matches_updated\": 81260, \"players_updated\": 2410, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 23, \"team_provider_map_inserted\": 2, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 6054, \"public.leagues\": 2994, \"public.matches\": 111872, \"public.players\": 2435, \"public.team_provider_map\": 5643, \"public.league_provider_map\": 2188, \"public.player_provider_map\": 2435}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-04-17T21:31:17.234672+02:00\", \"started_at\": \"2026-04-17T21:31:17.234672+02:00\", \"finished_at\": \"2026-04-17T21:31:24.609417+02:00\", \"rows_affected\": 86017, \"api_import_run_id\": null}"       |
|job_runs    |"{\"id\": 589, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 3, \"teams_inserted\": 642, \"leagues_updated\": 2169, \"matches_updated\": 1650, \"players_updated\": 2404, \"leagues_inserted\": 6, \"matches_inserted\": 79610, \"players_inserted\": 6, \"league_teams_inserted\": 540, \"team_provider_map_inserted\": 1276, \"league_provider_map_inserted\": 6, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 6052, \"public.leagues\": 2994, \"public.matches\": 111285, \"public.players\": 2435, \"public.team_provider_map\": 5641, \"public.league_provider_map\": 2188, \"public.player_provider_map\": 2435}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-04-16T22:38:19.716147+02:00\", \"started_at\": \"2026-04-16T22:38:19.716147+02:00\", \"finished_at\": \"2026-04-16T22:38:26.485143+02:00\", \"rows_affected\": 88312, \"api_import_run_id\": null}"|
|job_runs    |"{\"id\": 528, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 1465, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5407, \"public.leagues\": 2986, \"public.matches\": 105499, \"public.players\": 1490, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 1490}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-31T12:31:20.673079+02:00\", \"started_at\": \"2026-03-31T12:31:20.673079+02:00\", \"finished_at\": \"2026-03-31T12:31:25.563588+02:00\", \"rows_affected\": 79547, \"api_import_run_id\": null}"          |
|job_runs    |"{\"id\": 525, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 1465, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5407, \"public.leagues\": 2986, \"public.matches\": 105499, \"public.players\": 1490, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 1490}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-31T12:29:23.219343+02:00\", \"started_at\": \"2026-03-31T12:29:23.219343+02:00\", \"finished_at\": \"2026-03-31T12:29:28.15599+02:00\", \"rows_affected\": 79547, \"api_import_run_id\": null}"           |
|job_runs    |"{\"id\": 515, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 1465, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5407, \"public.leagues\": 2986, \"public.matches\": 105499, \"public.players\": 1490, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 1490}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-31T12:06:19.918863+02:00\", \"started_at\": \"2026-03-31T12:06:19.918863+02:00\", \"finished_at\": \"2026-03-31T12:06:28.87449+02:00\", \"rows_affected\": 79547, \"api_import_run_id\": null}"           |
|job_runs    |"{\"id\": 508, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 1463, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 2, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5407, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 1490, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 1490}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-29T09:05:22.577556+02:00\", \"started_at\": \"2026-03-29T09:05:22.577556+02:00\", \"finished_at\": \"2026-03-29T09:05:29.665216+02:00\", \"rows_affected\": 79547, \"api_import_run_id\": null}"          |
|job_runs    |"{\"id\": 505, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5410, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 839, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T19:39:43.58923+01:00\", \"started_at\": \"2026-03-25T19:39:43.58923+01:00\", \"finished_at\": \"2026-03-25T19:39:49.226918+01:00\", \"rows_affected\": 78615, \"api_import_run_id\": null}"               |
|job_runs    |"{\"id\": 502, \"params\": {\"worker\": \"run_unified_staging_to_public_merge_v2.py\"}, \"status\": \"ok\", \"details\": {\"stats\": {\"teams_updated\": 0, \"teams_inserted\": 0, \"leagues_updated\": 2169, \"matches_updated\": 75913, \"players_updated\": 533, \"leagues_inserted\": 0, \"matches_inserted\": 0, \"players_inserted\": 0, \"league_teams_inserted\": 0, \"team_provider_map_inserted\": 0, \"league_provider_map_inserted\": 0, \"player_provider_map_inserted\": 0}, \"final_counts\": {\"public.teams\": 5410, \"public.leagues\": 2986, \"public.matches\": 108419, \"public.players\": 839, \"public.team_provider_map\": 5391, \"public.league_provider_map\": 2182, \"public.player_provider_map\": 839}, \"sports_detected\": {\"bk\": 3, \"ck\": 14, \"fb\": 1, \"fh\": 15, \"hb\": 11, \"hk\": 2, \"tn\": 4, \"vb\": 10, \"afb\": 16, \"bsb\": 12, \"drt\": 23, \"esp\": 17, \"mma\": 9, \"rgb\": 13}}, \"message\": \"Unified staging to public merge finished OK.\", \"job_code\": \"unified_staging_to_public_merge\", \"created_at\": \"2026-03-25T19:31:27.758069+01:00\", \"started_at\": \"2026-03-25T19:31:27.758069+01:00\", \"finished_at\": \"2026-03-25T19:31:33.615386+01:00\", \"rows_affected\": 78615, \"api_import_run_id\": null}"             |
