|id     |provider    |sport_code|external_fixture_id|external_league_id|season|home_team_external_id|away_team_external_id|fixture_date                 |status_text|home_score|away_score|raw_payload_id|created_at                   |updated_at                   |
|-------|------------|----------|-------------------|------------------|------|---------------------|---------------------|-----------------------------|-----------|----------|----------|--------------|-----------------------------|-----------------------------|
|161,685|api_handball|handball  |177342             |131               |2024  |315                  |328                  |2025-06-15 18:00:00.000 +0200|FT         |26        |32        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,684|api_handball|handball  |177341             |131               |2024  |257                  |962                  |2025-06-15 15:00:00.000 +0200|FT         |30        |25        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,683|api_handball|handball  |176591             |131               |2024  |962                  |328                  |2025-06-14 18:00:00.000 +0200|FT         |30        |31        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,682|api_handball|handball  |176590             |131               |2024  |315                  |257                  |2025-06-14 15:00:00.000 +0200|FT         |34        |24        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,681|api_handball|handball  |176094             |131               |2024  |962                  |417                  |2025-05-01 20:45:00.000 +0200|FT         |29        |30        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,680|api_handball|handball  |176077             |131               |2024  |4616                 |328                  |2025-05-01 18:45:00.000 +0200|FT         |27        |28        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,679|api_handball|handball  |176076             |131               |2024  |791                  |257                  |2025-04-30 20:45:00.000 +0200|FT         |30        |32        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,678|api_handball|handball  |176075             |131               |2024  |172                  |315                  |2025-04-30 18:45:00.000 +0200|FT         |36        |40        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,677|api_handball|handball  |176072             |131               |2024  |315                  |172                  |2025-04-24 20:45:00.000 +0200|FT         |37        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,676|api_handball|handball  |176093             |131               |2024  |417                  |962                  |2025-04-24 18:45:00.000 +0200|FT         |24        |27        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,675|api_handball|handball  |176073             |131               |2024  |257                  |791                  |2025-04-23 20:45:00.000 +0200|FT         |28        |27        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,674|api_handball|handball  |176074             |131               |2024  |328                  |4616                 |2025-04-23 18:45:00.000 +0200|FT         |26        |26        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,673|api_handball|handball  |175599             |131               |2024  |4484                 |417                  |2025-04-03 20:45:00.000 +0200|FT         |25        |35        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,672|api_handball|handball  |175600             |131               |2024  |328                  |829                  |2025-04-02 20:45:00.000 +0200|FT         |35        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,671|api_handball|handball  |175598             |131               |2024  |257                  |694                  |2025-04-02 20:45:00.000 +0200|FT         |29        |24        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,670|api_handball|handball  |175597             |131               |2024  |315                  |4252                 |2025-04-02 18:45:00.000 +0200|FT         |37        |37        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,669|api_handball|handball  |175596             |131               |2024  |694                  |257                  |2025-03-27 20:45:00.000 +0100|FT         |28        |25        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,668|api_handball|handball  |175595             |131               |2024  |417                  |4484                 |2025-03-27 18:45:00.000 +0100|FT         |30        |31        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,667|api_handball|handball  |175594             |131               |2024  |4252                 |315                  |2025-03-26 20:45:00.000 +0100|FT         |27        |33        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,666|api_handball|handball  |175593             |131               |2024  |829                  |328                  |2025-03-26 18:45:00.000 +0100|FT         |26        |30        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,665|api_handball|handball  |164664             |131               |2024  |694                  |791                  |2025-03-06 20:45:00.000 +0100|FT         |29        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,664|api_handball|handball  |164658             |131               |2024  |1157                 |4484                 |2025-03-06 20:45:00.000 +0100|FT         |26        |35        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,663|api_handball|handball  |164663             |131               |2024  |4616                 |315                  |2025-03-06 18:45:00.000 +0100|FT         |32        |33        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,662|api_handball|handball  |164659             |131               |2024  |177                  |829                  |2025-03-06 18:45:00.000 +0100|FT         |32        |37        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,661|api_handball|handball  |164660             |131               |2024  |257                  |172                  |2025-03-05 20:45:00.000 +0100|FT         |29        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,660|api_handball|handball  |164662             |131               |2024  |328                  |417                  |2025-03-05 18:45:00.000 +0100|FT         |31        |24        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,659|api_handball|handball  |164661             |131               |2024  |4445                 |4252                 |2025-03-05 18:45:00.000 +0100|FT         |26        |27        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,658|api_handball|handball  |164657             |131               |2024  |962                  |639                  |2025-03-05 18:45:00.000 +0100|FT         |36        |27        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,657|api_handball|handball  |164652             |131               |2024  |315                  |1157                 |2025-02-27 20:45:00.000 +0100|FT         |39        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,656|api_handball|handball  |164649             |131               |2024  |4484                 |4616                 |2025-02-27 20:45:00.000 +0100|FT         |33        |37        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,655|api_handball|handball  |164653             |131               |2024  |639                  |328                  |2025-02-27 18:45:00.000 +0100|FT         |31        |27        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,654|api_handball|handball  |164650             |131               |2024  |417                  |962                  |2025-02-27 18:45:00.000 +0100|FT         |29        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,653|api_handball|handball  |164654             |131               |2024  |4252                 |257                  |2025-02-26 20:45:00.000 +0100|FT         |28        |28        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,652|api_handball|handball  |164651             |131               |2024  |791                  |177                  |2025-02-26 20:45:00.000 +0100|FT         |32        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,651|api_handball|handball  |164656             |131               |2024  |172                  |4445                 |2025-02-26 18:45:00.000 +0100|FT         |33        |30        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,650|api_handball|handball  |164655             |131               |2024  |829                  |694                  |2025-02-26 18:45:00.000 +0100|FT         |26        |27        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,649|api_handball|handball  |164642             |131               |2024  |1157                 |829                  |2025-02-20 20:45:00.000 +0100|FT         |25        |24        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,648|api_handball|handball  |164641             |131               |2024  |962                  |4252                 |2025-02-20 20:45:00.000 +0100|FT         |30        |28        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,647|api_handball|handball  |164648             |131               |2024  |694                  |315                  |2025-02-20 18:45:00.000 +0100|FT         |32        |27        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,646|api_handball|handball  |164647             |131               |2024  |4616                 |791                  |2025-02-20 18:45:00.000 +0100|FT         |33        |32        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,645|api_handball|handball  |164646             |131               |2024  |328                  |172                  |2025-02-19 20:45:00.000 +0100|FT         |32        |31        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,644|api_handball|handball  |164644             |131               |2024  |257                  |417                  |2025-02-19 20:45:00.000 +0100|FT         |32        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,643|api_handball|handball  |164645             |131               |2024  |4445                 |639                  |2025-02-19 18:45:00.000 +0100|FT         |25        |25        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,642|api_handball|handball  |164643             |131               |2024  |177                  |4484                 |2025-02-19 18:45:00.000 +0100|FT         |32        |38        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,641|api_handball|handball  |164636             |131               |2024  |791                  |1157                 |2025-02-13 20:45:00.000 +0100|FT         |30        |24        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,640|api_handball|handball  |164635             |131               |2024  |4484                 |694                  |2025-02-13 20:45:00.000 +0100|FT         |28        |31        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,639|api_handball|handball  |164640             |131               |2024  |315                  |177                  |2025-02-13 18:45:00.000 +0100|FT         |36        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,638|api_handball|handball  |164638             |131               |2024  |829                  |4616                 |2025-02-13 18:45:00.000 +0100|FT         |26        |33        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,637|api_handball|handball  |164637             |131               |2024  |4252                 |328                  |2025-02-12 20:45:00.000 +0100|FT         |25        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,636|api_handball|handball  |164639             |131               |2024  |172                  |962                  |2025-02-12 18:45:00.000 +0100|FT         |36        |35        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,635|api_handball|handball  |164634             |131               |2024  |417                  |4445                 |2025-02-12 18:45:00.000 +0100|FT         |26        |27        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,634|api_handball|handball  |164633             |131               |2024  |639                  |257                  |2025-02-12 18:45:00.000 +0100|FT         |29        |28        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,633|api_handball|handball  |164629             |131               |2024  |315                  |791                  |2024-12-05 20:45:00.000 +0100|FT         |33        |32        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,632|api_handball|handball  |164625             |131               |2024  |962                  |4445                 |2024-12-05 20:45:00.000 +0100|FT         |38        |30        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,631|api_handball|handball  |164632             |131               |2024  |417                  |172                  |2024-12-05 18:45:00.000 +0100|FT         |30        |32        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,630|api_handball|handball  |164626             |131               |2024  |829                  |4484                 |2024-12-05 18:45:00.000 +0100|FT         |33        |40        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,629|api_handball|handball  |164631             |131               |2024  |257                  |328                  |2024-12-04 20:45:00.000 +0100|FT         |29        |28        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,628|api_handball|handball  |164627             |131               |2024  |1157                 |694                  |2024-12-04 20:45:00.000 +0100|FT         |21        |18        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,627|api_handball|handball  |164630             |131               |2024  |4252                 |639                  |2024-12-04 18:45:00.000 +0100|FT         |31        |30        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,626|api_handball|handball  |164628             |131               |2024  |177                  |4616                 |2024-12-04 18:45:00.000 +0100|FT         |31        |40        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,625|api_handball|handball  |164622             |131               |2024  |4484                 |315                  |2024-11-28 20:45:00.000 +0100|FT         |34        |37        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,624|api_handball|handball  |164619             |131               |2024  |791                  |829                  |2024-11-28 20:45:00.000 +0100|FT         |34        |25        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,623|api_handball|handball  |164620             |131               |2024  |694                  |177                  |2024-11-28 18:45:00.000 +0100|FT         |30        |21        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,622|api_handball|handball  |164618             |131               |2024  |4616                 |1157                 |2024-11-28 18:45:00.000 +0100|FT         |33        |26        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,621|api_handball|handball  |164621             |131               |2024  |4445                 |257                  |2024-11-27 20:45:00.000 +0100|FT         |22        |25        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,620|api_handball|handball  |164617             |131               |2024  |328                  |962                  |2024-11-27 20:45:00.000 +0100|FT         |28        |23        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,619|api_handball|handball  |164624             |131               |2024  |172                  |4252                 |2024-11-27 18:45:00.000 +0100|FT         |34        |26        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,618|api_handball|handball  |164623             |131               |2024  |639                  |417                  |2024-11-27 18:45:00.000 +0100|FT         |33        |36        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,617|api_handball|handball  |164615             |131               |2024  |962                  |257                  |2024-11-21 20:45:00.000 +0100|FT         |36        |30        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,616|api_handball|handball  |164613             |131               |2024  |4252                 |417                  |2024-11-21 20:45:00.000 +0100|FT         |31        |35        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,615|api_handball|handball  |164616             |131               |2024  |315                  |829                  |2024-11-21 18:45:00.000 +0100|FT         |38        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,614|api_handball|handball  |164610             |131               |2024  |4616                 |694                  |2024-11-21 18:45:00.000 +0100|FT         |30        |26        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,613|api_handball|handball  |164614             |131               |2024  |1157                 |177                  |2024-11-20 20:45:00.000 +0100|FT         |29        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,612|api_handball|handball  |164611             |131               |2024  |791                  |4484                 |2024-11-20 20:45:00.000 +0100|FT         |39        |28        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,611|api_handball|handball  |164612             |131               |2024  |172                  |639                  |2024-11-20 18:45:00.000 +0100|FT         |30        |28        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,610|api_handball|handball  |164609             |131               |2024  |4445                 |328                  |2024-11-20 18:45:00.000 +0100|FT         |22        |18        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,609|api_handball|handball  |164604             |131               |2024  |257                  |962                  |2024-10-31 20:45:00.000 +0100|FT         |31        |31        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,608|api_handball|handball  |164602             |131               |2024  |177                  |1157                 |2024-10-31 18:45:00.000 +0100|FT         |23        |25        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,607|api_handball|handball  |164601             |131               |2024  |829                  |315                  |2024-10-31 18:45:00.000 +0100|FT         |38        |31        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,606|api_handball|handball  |164608             |131               |2024  |694                  |4616                 |2024-10-30 20:45:00.000 +0100|FT         |24        |27        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,605|api_handball|handball  |164605             |131               |2024  |4484                 |791                  |2024-10-30 20:45:00.000 +0100|FT         |30        |28        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,604|api_handball|handball  |164607             |131               |2024  |417                  |4252                 |2024-10-30 18:45:00.000 +0100|FT         |28        |27        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,603|api_handball|handball  |164606             |131               |2024  |328                  |4445                 |2024-10-30 18:45:00.000 +0100|FT         |36        |24        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,602|api_handball|handball  |164603             |131               |2024  |639                  |172                  |2024-10-30 18:45:00.000 +0100|FT         |25        |24        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,601|api_handball|handball  |164600             |131               |2024  |962                  |328                  |2024-10-24 20:45:00.000 +0200|FT         |32        |26        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,600|api_handball|handball  |164598             |131               |2024  |1157                 |4616                 |2024-10-24 20:45:00.000 +0200|FT         |23        |30        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,599|api_handball|handball  |164597             |131               |2024  |315                  |4484                 |2024-10-24 18:45:00.000 +0200|FT         |38        |40        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,598|api_handball|handball  |164594             |131               |2024  |417                  |639                  |2024-10-24 18:45:00.000 +0200|FT         |27        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,597|api_handball|handball  |164595             |131               |2024  |257                  |4445                 |2024-10-23 20:45:00.000 +0200|FT         |32        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,596|api_handball|handball  |164593             |131               |2024  |4252                 |172                  |2024-10-23 20:45:00.000 +0200|FT         |28        |35        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,595|api_handball|handball  |164599             |131               |2024  |829                  |791                  |2024-10-23 18:45:00.000 +0200|FT         |33        |29        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,594|api_handball|handball  |164596             |131               |2024  |177                  |694                  |2024-10-23 18:45:00.000 +0200|FT         |28        |25        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,593|api_handball|handball  |164592             |131               |2024  |694                  |1157                 |2024-10-17 20:45:00.000 +0200|FT         |26        |18        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,592|api_handball|handball  |164590             |131               |2024  |791                  |315                  |2024-10-17 20:45:00.000 +0200|FT         |35        |33        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,591|api_handball|handball  |164587             |131               |2024  |4484                 |829                  |2024-10-17 20:45:00.000 +0200|FT         |35        |32        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,590|api_handball|handball  |164591             |131               |2024  |4616                 |177                  |2024-10-17 18:45:00.000 +0200|FT         |34        |32        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
|161,589|api_handball|handball  |164586             |131               |2024  |639                  |4252                 |2024-10-17 18:45:00.000 +0200|FT         |32        |33        |499           |2026-04-18 23:19:57.557 +0200|2026-04-18 23:29:11.211 +0200|
