|id     |league_id|league_name        |home_team            |away_team            |kickoff                |ext_match_id|status  |home_score|away_score|season|
|-------|---------|-------------------|---------------------|---------------------|-----------------------|------------|--------|----------|----------|------|
|360,129|24,882   |EHF European League|Montpellier          |Flensburg-H.         |2025-05-25 18:00:00.000|176860      |FINISHED|25        |32        |2024  |
|360,128|24,882   |EHF European League|Kiel                 |MT Melsungen         |2025-05-25 15:00:00.000|176859      |FINISHED|37        |31        |2024  |
|360,127|24,882   |EHF European League|Kiel                 |Montpellier          |2025-05-24 18:00:00.000|176572      |FINISHED|31        |32        |2024  |
|360,126|24,882   |EHF European League|MT Melsungen         |Flensburg-H.         |2025-05-24 15:00:00.000|176571      |FINISHED|34        |35        |2024  |
|360,123|24,882   |EHF European League|Flensburg-H.         |GOG                  |2025-04-29 20:45:00.000|176051      |FINISHED|35        |29        |2024  |
|360,122|24,882   |EHF European League|CD Bidasoa Irun      |MT Melsungen         |2025-04-29 20:45:00.000|176050      |FINISHED|22        |32        |2024  |
|360,125|24,882   |EHF European League|Montpellier          |Porto                |2025-04-29 20:45:00.000|176053      |FINISHED|35        |32        |2024  |
|360,124|24,882   |EHF European League|Kiel                 |Limoges              |2025-04-29 18:45:00.000|176052      |FINISHED|35        |30        |2024  |
|360,119|24,882   |EHF European League|Limoges              |Kiel                 |2025-04-22 20:45:00.000|176047      |FINISHED|26        |26        |2024  |
|360,121|24,882   |EHF European League|Porto                |Montpellier          |2025-04-22 20:45:00.000|176049      |FINISHED|29        |30        |2024  |
|360,118|24,882   |EHF European League|GOG                  |Flensburg-H.         |2025-04-22 18:45:00.000|176046      |FINISHED|26        |29        |2024  |
|360,120|24,882   |EHF European League|MT Melsungen         |CD Bidasoa Irun      |2025-04-22 18:45:00.000|176048      |FINISHED|28        |27        |2024  |
|360,117|24,882   |EHF European League|Toulouse             |Porto                |2025-04-01 20:45:00.000|175588      |FINISHED|30        |28        |2024  |
|360,116|24,882   |EHF European League|MT Melsungen         |Gummersbach          |2025-04-01 20:45:00.000|175587      |FINISHED|29        |25        |2024  |
|360,115|24,882   |EHF European League|Limoges              |HC Kriens            |2025-04-01 18:45:00.000|175586      |FINISHED|36        |28        |2024  |
|360,114|24,882   |EHF European League|GOG                  |Benfica              |2025-04-01 18:45:00.000|175585      |FINISHED|34        |31        |2024  |
|360,110|24,882   |EHF European League|Benfica              |GOG                  |2025-03-25 20:45:00.000|175581      |FINISHED|33        |31        |2024  |
|360,113|24,882   |EHF European League|Porto                |Toulouse             |2025-03-25 20:45:00.000|175584      |FINISHED|35        |28        |2024  |
|360,111|24,882   |EHF European League|Gummersbach          |MT Melsungen         |2025-03-25 18:45:00.000|175582      |FINISHED|29        |26        |2024  |
|360,112|24,882   |EHF European League|HC Kriens            |Limoges              |2025-03-25 18:45:00.000|175583      |FINISHED|36        |29        |2024  |
|360,106|24,882   |EHF European League|Benfica              |CD Bidasoa Irun      |2025-03-04 20:45:00.000|174340      |FINISHED|33        |30        |2024  |
