|id |provider             |sport_code|entity             |coverage_status|is_enabled|provider_priority|merge_priority|fetch_priority|quality_rating|availability_scope|free_plan_supported|paid_plan_supported|expected_depth|is_primary_source|is_fallback_source|is_merge_source|source_endpoint |target_table                     |worker_script                     |notes                                         |limitations                                                                                   |next_action                                                                           |created_at                   |updated_at                   |
|---|---------------------|----------|-------------------|---------------|----------|-----------------|--------------|--------------|--------------|------------------|-------------------|-------------------|--------------|-----------------|------------------|---------------|----------------|---------------------------------|----------------------------------|----------------------------------------------|----------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------|-----------------------------|-----------------------------|
|13 |football_data        |FB        |leagues            |runtime_tested |true      |2                |2             |22            |high          |limited_free      |true               |true               |extended      |false            |true              |true           |leagues         |staging.stg_provider_leagues     |                                  |Football leagues                              |Silné pro historická a strukturální data, slabé pro players a odds.                           |Používat jako historický a fallback zdroj pro fotbal.                                 |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.856 +0200|
|14 |football_data        |FB        |teams              |runtime_tested |true      |2                |2             |21            |high          |limited_free      |true               |true               |extended      |false            |true              |true           |teams           |staging.stg_provider_teams       |                                  |Football teams                                |Silné pro historická a strukturální data, slabé pro players a odds.                           |Používat jako historický a fallback zdroj pro fotbal.                                 |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.856 +0200|
|15 |football_data        |FB        |fixtures           |runtime_tested |true      |2                |2             |20            |high          |limited_free      |true               |true               |extended      |false            |true              |true           |fixtures        |staging.stg_provider_fixtures    |                                  |Football fixtures                             |Silné pro historická a strukturální data, slabé pro players a odds.                           |Používat jako historický a fallback zdroj pro fotbal.                                 |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.856 +0200|
|10 |api_hockey           |HK        |odds               |planned        |true      |1                |1             |60            |unknown       |limited_free      |true               |true               |basic         |true             |false             |true           |                |                                 |                                  |Hockey odds                                   |Hokej má slabší/omezenou player coverage podle provider reality.                              |Po PRO vytěžit leagues/teams/fixtures a ověřit players/coaches coverage v praxi.      |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.882 +0200|
|12 |api_hockey           |HK        |coaches            |tech_ready     |true      |1                |1             |50            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |coaches         |staging.stg_provider_coaches     |                                  |HK expansion entity - coaches                 |Hokej má slabší/omezenou player coverage podle provider reality.                              |Po PRO vytěžit leagues/teams/fixtures a ověřit players/coaches coverage v praxi.      |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.882 +0200|
|11 |api_hockey           |HK        |players            |blocked        |true      |1                |1             |40            |low           |unknown           |true               |true               |basic         |true             |false             |true           |players         |staging.stg_provider_players     |                                  |HK expansion entity - players                 |Players endpoint je v praxi omezený nebo problematický. Nutno ověřit reálnou paid coverage.   |Po PRO udělat malý validation run, ne okamžitý full harvest.                          |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.888 +0200|
|1  |api_volleyball       |VB        |teams              |tech_ready     |true      |1                |1             |20            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |teams           |staging.stg_provider_teams       |                                  |Volleyball teams                              |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|5  |api_basketball       |BK        |leagues            |tech_ready     |true      |1                |1             |10            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |leagues         |staging.stg_provider_leagues     |                                  |Basketball leagues                            |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|42 |football_data        |FB        |odds               |blocked        |true      |99               |99            |99            |low           |unknown           |false              |false              |basic         |false            |false             |false          |                |                                 |                                  |Football odds                                 |Football-Data není hlavní odds provider pro MatchMatrix.                                      |Neplánovat do harvestu, pokud nebude potvrzeno jinak.                                 |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.862 +0200|
|36 |api_field_hockey     |FH        |teams              |tech_ready     |true      |1                |1             |20            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |teams           |staging.stg_provider_teams       |                                  |Field hockey teams                            |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|37 |api_field_hockey     |FH        |fixtures           |tech_ready     |true      |1                |1             |30            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |fixtures        |staging.stg_provider_fixtures    |                                  |Field hockey fixtures                         |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|52 |api_tennis           |TN        |leagues            |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |Tennis tournaments                            |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|53 |api_tennis           |TN        |fixtures           |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |Tennis matches                                |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|54 |api_tennis           |TN        |players            |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |Tennis players                                |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|55 |api_tennis           |TN        |rankings           |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |Tennis rankings                               |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|56 |api_tennis           |TN        |odds               |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |Tennis odds                                   |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|57 |api_mma              |MMA       |leagues            |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |MMA events/promotions                         |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|58 |api_mma              |MMA       |fixtures           |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |MMA bouts                                     |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|59 |api_mma              |MMA       |players            |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |MMA fighters                                  |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|60 |api_mma              |MMA       |rankings           |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |MMA rankings                                  |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|61 |api_mma              |MMA       |odds               |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |MMA odds                                      |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|2  |api_football         |FB        |leagues            |tech_ready     |true      |1                |1             |10            |high          |limited_free      |true               |true               |deep          |true             |false             |true           |leagues         |staging.stg_provider_leagues     |                                  |Football leagues                              |Free plan omezený na sezony 2022-2024, odds omezeně nebo vůbec, players/statistiky limitovaně.|Po aktivaci PRO spustit full harvest podle planner priority.                          |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.825 +0200|
|3  |api_football         |FB        |teams              |tech_ready     |true      |1                |1             |10            |high          |limited_free      |true               |true               |deep          |true             |false             |true           |teams           |staging.stg_provider_teams       |                                  |Football teams                                |Free plan omezený na sezony 2022-2024, odds omezeně nebo vůbec, players/statistiky limitovaně.|Po aktivaci PRO spustit full harvest podle planner priority.                          |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.825 +0200|
|4  |api_football         |FB        |fixtures           |tech_ready     |true      |1                |1             |10            |high          |limited_free      |true               |true               |deep          |true             |false             |true           |fixtures        |staging.stg_provider_fixtures    |                                  |Football fixtures                             |Free plan omezený na sezony 2022-2024, odds omezeně nebo vůbec, players/statistiky limitovaně.|Po aktivaci PRO spustit full harvest podle planner priority.                          |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.825 +0200|
|6  |api_football         |FB        |odds               |planned        |true      |1                |1             |10            |medium        |paid_only         |false              |true               |extended      |false            |true              |true           |                |                                 |                                  |Football odds                                 |Odds z api_football nejsou aktuálně hlavní zdroj pro MatchMatrix.                             |Používat spíše jako doplněk, hlavní odds zdroj je TheOdds.                            |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.834 +0200|
|7  |api_football         |FB        |players            |planned        |true      |1                |1             |10            |medium        |limited_free      |true               |true               |extended      |true             |false             |true           |                |                                 |                                  |Football players                              |Players/coaches/player_season_stats vyžadují PRO a opatrné plánování request budgetu.         |Připravit harvest dávky po sezonách a ligách.                                         |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.840 +0200|
|8  |api_football         |FB        |player_season_stats|planned        |true      |1                |1             |10            |medium        |limited_free      |true               |true               |extended      |true             |false             |true           |                |                                 |                                  |Football season stats                         |Players/coaches/player_season_stats vyžadují PRO a opatrné plánování request budgetu.         |Připravit harvest dávky po sezonách a ligách.                                         |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.840 +0200|
|9  |api_football         |FB        |coaches            |planned        |true      |1                |1             |10            |medium        |limited_free      |true               |true               |extended      |true             |false             |true           |                |                                 |                                  |Football coaches                              |Players/coaches/player_season_stats vyžadují PRO a opatrné plánování request budgetu.         |Připravit harvest dávky po sezonách a ligách.                                         |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.840 +0200|
|41 |api_football         |FB        |player_stats       |runtime_tested |true      |1                |1             |10            |high          |limited_free      |true               |true               |deep          |true             |false             |true           |fixtures/players|staging.stg_provider_player_stats|pull_api_football_player_stats.ps1|Football match player stats                   |Player stats už mají technické napojení, free plán ale limituje hloubku.                      |Po PRO zapnout prioritní harvest player_stats pro TOP ligy.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.846 +0200|
|93 |theodds              |FB        |odds               |runtime_tested |true      |1                |1             |10            |high          |limited_free      |true               |true               |extended      |true             |false             |true           |                |                                 |                                  |Hlavní odds provider pro fotbal v MatchMatrix.|Pokrytí hlavně top lig a soutěží.                                                             |Po PRO nebo vyšším plánu rozšířit odds coverage podle dostupných trhů.                |2026-03-31 10:47:34.870 +0200|2026-03-31 10:47:34.870 +0200|
|43 |api_hockey           |HK        |leagues            |runtime_tested |true      |1                |1             |10            |high          |limited_free      |true               |true               |extended      |true             |false             |true           |leagues         |staging.stg_provider_leagues     |                                  |HK base entity - leagues                      |Hokej má slabší/omezenou player coverage podle provider reality.                              |Po PRO vytěžit leagues/teams/fixtures a ověřit players/coaches coverage v praxi.      |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.882 +0200|
|44 |api_hockey           |HK        |teams              |runtime_tested |true      |1                |1             |20            |high          |limited_free      |true               |true               |extended      |true             |false             |true           |teams           |staging.stg_provider_teams       |                                  |HK base entity - teams                        |Hokej má slabší/omezenou player coverage podle provider reality.                              |Po PRO vytěžit leagues/teams/fixtures a ověřit players/coaches coverage v praxi.      |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.882 +0200|
|45 |api_hockey           |HK        |fixtures           |runtime_tested |true      |1                |1             |30            |high          |limited_free      |true               |true               |extended      |true             |false             |true           |fixtures        |staging.stg_provider_fixtures    |                                  |HK base entity - fixtures                     |Hokej má slabší/omezenou player coverage podle provider reality.                              |Po PRO vytěžit leagues/teams/fixtures a ověřit players/coaches coverage v praxi.      |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.882 +0200|
|16 |api_basketball       |BK        |teams              |tech_ready     |true      |1                |1             |20            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |teams           |staging.stg_provider_teams       |                                  |Basketball teams                              |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|17 |api_basketball       |BK        |fixtures           |tech_ready     |true      |1                |1             |30            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |fixtures        |staging.stg_provider_fixtures    |                                  |Basketball fixtures                           |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|83 |api_esports          |ESP       |leagues            |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |Esports leagues                               |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|84 |api_esports          |ESP       |fixtures           |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |Esports fixtures                              |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|85 |api_esports          |ESP       |players            |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |Esports players                               |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|86 |api_esports          |ESP       |coaches            |planned        |true      |50               |50            |50            |unknown       |paid_only         |false              |true               |unknown       |false            |true              |true           |                |                                 |                                  |Esports coaches                               |Budoucí provider placeholder. Vyžaduje ověření coverage a ceny.                               |Později validovat business vhodnost a technickou integraci.                           |2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.920 +0200|
|18 |api_sport            |BK        |leagues            |tech_ready     |true      |1                |1             |10            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |leagues         |staging.stg_provider_leagues     |                                  |Basketball leagues                            |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|19 |api_sport            |BK        |teams              |tech_ready     |true      |1                |1             |20            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |teams           |staging.stg_provider_teams       |                                  |Basketball teams                              |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|20 |api_sport            |BK        |fixtures           |tech_ready     |true      |1                |1             |30            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |fixtures        |staging.stg_provider_fixtures    |                                  |Basketball fixtures                           |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|21 |api_volleyball       |VB        |leagues            |tech_ready     |true      |1                |1             |10            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |leagues         |staging.stg_provider_leagues     |                                  |Volleyball leagues                            |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
|22 |api_volleyball       |VB        |fixtures           |tech_ready     |true      |1                |1             |30            |medium        |limited_free      |true               |true               |basic         |true             |false             |true           |fixtures        |staging.stg_provider_fixtures    |                                  |Volleyball fixtures                           |Multisport provider vhodný hlavně pro základní skeleton dat.                                  |Po PRO prioritně stáhnout leagues/teams/fixtures a teprve potom testovat další entity.|2026-03-31 10:27:42.743 +0200|2026-03-31 10:47:34.899 +0200|
