|id    |name                                         |country               |ext_source  |ext_league_id|
|------|---------------------------------------------|----------------------|------------|-------------|
|24,924|WHA Women                                    |Austria               |api_handball|1            |
|24,993|HLA                                          |Austria               |api_handball|2            |
|25,040|OHB Cup                                      |Austria               |api_handball|3            |
|24,916|OHB Cup Women                                |Austria               |api_handball|4            |
|24,927|Supercup                                     |Austria               |api_handball|5            |
|25,041|Division 1                                   |Belarus               |api_handball|6            |
|24,964|Division 1                                   |Belgium               |api_handball|7            |
|24,933|Premijer Liga                                |Bosnia-And-Herzegovina|api_handball|8            |
|24,910|A RHG                                        |Bulgaria              |api_handball|9            |
|25,054|Premijer liga                                |Croatia               |api_handball|10           |
|24,996|1. HRL Women                                 |Croatia               |api_handball|11           |
|24,900|Extraliga                                    |Czech-Republic        |api_handball|12           |
|24,966|Czech Cup                                    |Czech-Republic        |api_handball|13           |
|24,989|Czech Cup Women                              |Czech-Republic        |api_handball|14           |
|25,069|1. Division                                  |Denmark               |api_handball|15           |
|24,984|1. Division Women                            |Denmark               |api_handball|16           |
|25,073|Super Cup                                    |Denmark               |api_handball|17           |
|24,977|Super Cup Women                              |Denmark               |api_handball|18           |
|25,007|Santander Cup                                |Denmark               |api_handball|19           |
|24,944|Santander Cup Women                          |Denmark               |api_handball|20           |
|25,009|888ligaen                                    |Denmark               |api_handball|21           |
|24,995|Herre Handbold Ligaen                        |Denmark               |api_handball|23           |
|25,088|HTH Ligaen Women                             |Denmark               |api_handball|24           |
|25,067|Bambusa Kvindeligaen Women                   |Denmark               |api_handball|25           |
|24,922|Meistriliiga                                 |Estonia               |api_handball|26           |
|25,036|SM-sarja                                     |Finland               |api_handball|27           |
|24,902|SM-sarja Women                               |Finland               |api_handball|28           |
|24,980|Division 1 Women                             |France                |api_handball|29           |
|25,030|Coupe de la Ligue                            |France                |api_handball|30           |
|25,056|Coupe de la Ligue Women                      |France                |api_handball|31           |
|25,020|Coupe de France                              |France                |api_handball|32           |
|24,899|Trophee des Champions                        |France                |api_handball|33           |
|24,942|Starligue                                    |France                |api_handball|34           |
|24,971|Coupe de France Women                        |France                |api_handball|35           |
|24,941|Proligue                                     |France                |api_handball|36           |
|25,052|Superleague                                  |North-Macedonia       |api_handball|37           |
|24,994|Superleague Women                            |North-Macedonia       |api_handball|38           |
|24,963|Bundesliga                                   |Germany               |api_handball|39           |
|24,909|Super Cup                                    |Germany               |api_handball|40           |
|25,046|DHB Pokal                                    |Germany               |api_handball|41           |
|24,997|1. Bundesliga Women                          |Germany               |api_handball|42           |
|24,911|2. Bundesliga                                |Germany               |api_handball|43           |
|24,990|DHB Pokal Women                              |Germany               |api_handball|44           |
|25,059|2. Bundesliga Women                          |Germany               |api_handball|45           |
|24,923|Super Cup Women                              |Germany               |api_handball|46           |
|24,940|A1                                           |Greece                |api_handball|47           |
|24,948|Greek Cup                                    |Greece                |api_handball|48           |
|24,987|NB I                                         |Hungary               |api_handball|49           |
|24,961|NB I Women                                   |Hungary               |api_handball|50           |
|25,019|Hungarian Cup                                |Hungary               |api_handball|51           |
|24,970|Hungarian Cup Women                          |Hungary               |api_handball|52           |
|25,003|Olis Deildin                                 |Iceland               |api_handball|53           |
|25,055|Olis Deild Women                             |Iceland               |api_handball|54           |
|25,083|Division 1                                   |Israel                |api_handball|55           |
|24,979|Serie A                                      |Italy                 |api_handball|56           |
|25,027|Coppa Italia                                 |Italy                 |api_handball|57           |
|24,981|Serie A Women                                |Italy                 |api_handball|58           |
|24,983|Coppa Italia Women                           |Italy                 |api_handball|59           |
|24,935|SynotTip Virsliga                            |Latvia                |api_handball|60           |
|24,908|Lietuvos Lyga                                |Lithuania             |api_handball|61           |
|24,931|Sales Lentz League                           |Luxembourg            |api_handball|62           |
|24,976|AXA League                                   |Luxembourg            |api_handball|63           |
|24,938|1st Division                                 |Malta                 |api_handball|64           |
|24,886|Prva liga                                    |Montenegro            |api_handball|65           |
|25,051|Eredivisie                                   |Netherlands           |api_handball|66           |
|25,087|Eredivisie Women                             |Netherlands           |api_handball|67           |
|24,897|HandbalNL League                             |Netherlands           |api_handball|68           |
|25,049|1. Division                                  |Norway                |api_handball|69           |
|24,949|1. Division Women                            |Norway                |api_handball|70           |
|25,021|NM Cup                                       |Norway                |api_handball|71           |
|24,953|NM Cup Women                                 |Norway                |api_handball|72           |
|24,934|Grundigligaen                                |Norway                |api_handball|73           |
|25,018|Grundigligaen women                          |Norway                |api_handball|74           |
|25,037|REMA 1000-ligaen                             |Norway                |api_handball|75           |
|24,928|REMA 1000-ligaen women                       |Norway                |api_handball|76           |
