|id    |name                                         |ext_league_id|
|------|---------------------------------------------|-------------|
|24,965|1a Divisao Women                             |85           |
|24,962|1.A DRL Women                                |99           |
|24,997|1. Bundesliga Women                          |42           |
|25,049|1. Division                                  |69           |
|25,069|1. Division                                  |15           |
|24,949|1. Division Women                            |70           |
|24,984|1. Division Women                            |16           |
|24,996|1. HRL Women                                 |11           |
|25,039|1. NLB Liga                                  |100          |
|24,938|1st Division                                 |64           |
|25,022|1st League                                   |102          |
|24,885|1st League Women                             |101          |
|24,911|2. Bundesliga                                |43           |
|25,059|2. Bundesliga Women                          |45           |
|25,009|888ligaen                                    |21           |
|24,940|A1                                           |47           |
|25,023|African Championship Women                   |184          |
|24,921|African Games                                |198          |
|25,080|African Games Women                          |199          |
|25,062|Allsvenskan                                  |111          |
|24,890|Allsvenskan Women                            |112          |
|24,912|Andebol 1                                    |84           |
|24,910|A RHG                                        |9            |
|24,972|Asian Championship                           |186          |
|25,028|Asian Championship Women                     |185          |
|24,967|Asian Games                                  |187          |
|24,929|Asian Games Women                            |188          |
|24,976|AXA League                                   |63           |
|24,905|Baltic League                                |135          |
|25,067|Bambusa Kvindeligaen Women                   |25           |
|24,939|BENE-League                                  |138          |
|24,963|Bundesliga                                   |39           |
|25,053|Central League                               |127          |
|25,074|Central League Women                         |207          |
|25,013|Challenge Cup                                |175          |
|24,956|Challenge Cup Women                          |176          |
|24,919|Champions League Women                       |132          |
|25,081|Club Friendly                                |194          |
|25,076|Club Friendly Women                          |195          |
|25,061|Copa Asobal                                  |105          |
|25,089|Copa de la Reina Women                       |110          |
|24,968|Copa del Rey                                 |107          |
|25,027|Coppa Italia                                 |57           |
|24,983|Coppa Italia Women                           |59           |
|25,020|Coupe de France                              |32           |
|24,971|Coupe de France Women                        |35           |
|25,030|Coupe de la Ligue                            |30           |
|25,056|Coupe de la Ligue Women                      |31           |
|24,966|Czech Cup                                    |13           |
|24,989|Czech Cup Women                              |14           |
|24,992|Czech-Slovak Cup                             |182          |
|25,046|DHB Pokal                                    |41           |
|24,990|DHB Pokal Women                              |44           |
|25,041|Division 1                                   |6            |
|25,083|Division 1                                   |55           |
|24,964|Division 1                                   |7            |
|24,980|Division 1 Women                             |29           |
|24,913|Division de Honor Plata                      |104          |
|24,985|Division de Honor Women                      |108          |
|24,903|EHF Challenge Trophy Women                   |180          |
|25,084|EHF Cup                                      |179          |
|24,957|EHF Cup Women                                |178          |
|25,017|EHF Euro Cup                                 |142          |
|24,901|EHF Euro Cup Women                           |150          |
|24,926|EHF European League Women                    |146          |
|25,051|Eredivisie                                   |66           |
|25,087|Eredivisie Women                             |67           |
|24,907|European Championship                        |177          |
|25,077|European Championship U17 B Women            |144          |
|25,033|European Championship U17 Women              |139          |
|24,982|European Championship U18                    |200          |
|25,038|European Championship U18 B                  |181          |
|25,002|European Championship U19                    |151          |
|25,005|European Championship U19 B                  |152          |
|24,947|European Championship U19 B Women            |143          |
|25,047|European Championship U19 Women              |137          |
|24,951|European Championship U20                    |134          |
|24,889|European Championship U20 B                  |141          |
|25,065|European Championship Women                  |133          |
|24,999|European Cup                                 |147          |
|25,042|European Cup Women                           |148          |
|24,900|Extraliga                                    |12           |
|25,086|Extraliga                                    |98           |
|25,016|Friendly International                       |196          |
|25,026|Friendly International Women                 |197          |
|24,952|Golden League - Denmark                      |192          |
|24,906|Golden League - Denmark Women                |190          |
|25,060|Golden League - France                       |201          |
|24,978|Golden League - France Women                 |189          |
|25,014|Golden League - Netherlands Women            |204          |
|24,891|Golden League - Norway                       |193          |
|24,948|Greek Cup                                    |48           |
|24,934|Grundigligaen                                |73           |
|25,018|Grundigligaen women                          |74           |
|24,897|HandbalNL League                             |68           |
|24,892|Handbollsligan                               |113          |
|24,995|Herre Handbold Ligaen                        |23           |
|24,993|HLA                                          |2            |
|25,088|HTH Ligaen Women                             |24           |
|25,019|Hungarian Cup                                |51           |
|24,970|Hungarian Cup Women                          |52           |
|25,031|IHF/EHF Trophy                               |149          |
|25,050|IHF Emerging Nations Championship            |168          |
|25,057|I Liga                                       |81           |
|24,894|I Liga Women                                 |82           |
|25,011|Intersport Cup Women                         |167          |
