|missing_side|external_team_id|cnt|
|------------|----------------|---|
|away        |2986            |9  |
|away        |2620            |7  |
|home        |2640            |7  |
|away        |2681            |7  |
|away        |2640            |6  |
|home        |2642            |6  |
|home        |2681            |6  |
|home        |2986            |6  |
|away        |4507            |6  |
|away        |106             |5  |
|home        |1659            |5  |
|away        |2628            |5  |
|away        |2632            |5  |
|home        |2676            |5  |
|home        |2678            |5  |
|away        |3303            |5  |
|away        |3323            |5  |
|away        |416             |5  |
|home        |4507            |5  |
|home        |808             |5  |
|away        |2165            |4  |
|away        |2571            |4  |
|away        |2627            |4  |
|away        |2631            |4  |
|home        |2634            |4  |
|away        |2663            |4  |
|away        |2677            |4  |
|away        |3271            |4  |
|away        |3279            |4  |
|home        |3280            |4  |
|away        |3287            |4  |
|home        |3301            |4  |
|away        |3302            |4  |
|away        |3312            |4  |
|away        |3327            |4  |
|home        |3477            |4  |
|away        |357             |4  |
|away        |409             |4  |
|home        |4529            |4  |
|home        |637             |4  |
|away        |656             |4  |
|home        |666             |4  |
|home        |835             |4  |
|away        |885             |4  |
|away        |1058            |3  |
|home        |114             |3  |
|away        |1167            |3  |
|away        |1659            |3  |
|home        |1709            |3  |
|home        |182             |3  |
|away        |199             |3  |
|home        |2389            |3  |
|away        |261             |3  |
|away        |2613            |3  |
|home        |2613            |3  |
|away        |2614            |3  |
|home        |2616            |3  |
|away        |2619            |3  |
|home        |2627            |3  |
|home        |2628            |3  |
|home        |2629            |3  |
|home        |2632            |3  |
|away        |2634            |3  |
|away        |2642            |3  |
|home        |2659            |3  |
|home        |2663            |3  |
|away        |2676            |3  |
|home        |2677            |3  |
|away        |2678            |3  |
|away        |2682            |3  |
|home        |296             |3  |
|away        |303             |3  |
|away        |3042            |3  |
|away        |3043            |3  |
|away        |3044            |3  |
|away        |307             |3  |
|home        |309             |3  |
|home        |3219            |3  |
|away        |3269            |3  |
|away        |3273            |3  |
|home        |3275            |3  |
|away        |3281            |3  |
|away        |3283            |3  |
|home        |3285            |3  |
|away        |3301            |3  |
|home        |3302            |3  |
|home        |3315            |3  |
|home        |3327            |3  |
|home        |334             |3  |
|home        |3486            |3  |
|away        |3612            |3  |
|home        |3903            |3  |
|home        |434             |3  |
|away        |434             |3  |
|home        |447             |3  |
|away        |4500            |3  |
|home        |4502            |3  |
|home        |4504            |3  |
|away        |4506            |3  |
|home        |4528            |3  |
