|external_team_id|in_stg_provider_teams|in_team_provider_map|
|----------------|---------------------|--------------------|
|1002            |0                    |0                   |
|1011            |0                    |0                   |
|1017            |0                    |0                   |
|1027            |0                    |0                   |
|1028            |0                    |0                   |
|1029            |0                    |0                   |
|1035            |0                    |0                   |
|1036            |0                    |0                   |
|1037            |0                    |0                   |
|1042            |0                    |0                   |
|1047            |0                    |0                   |
|1050            |0                    |0                   |
|1053            |0                    |0                   |
|1054            |0                    |0                   |
|1058            |0                    |0                   |
|106             |0                    |0                   |
|111             |0                    |0                   |
|114             |0                    |0                   |
|115             |0                    |0                   |
|1158            |0                    |0                   |
|1160            |0                    |0                   |
|1166            |0                    |0                   |
|1167            |0                    |0                   |
|1255            |0                    |0                   |
|149             |0                    |0                   |
|15              |0                    |0                   |
|1544            |0                    |0                   |
|1555            |0                    |0                   |
|161             |0                    |0                   |
|163             |0                    |0                   |
|1639            |0                    |0                   |
|1659            |0                    |0                   |
|168             |0                    |0                   |
|1709            |0                    |0                   |
|175             |0                    |0                   |
|1770            |0                    |0                   |
|1776            |0                    |0                   |
|1783            |0                    |0                   |
|1784            |0                    |0                   |
|18              |0                    |0                   |
|180             |0                    |0                   |
|182             |0                    |0                   |
|1828            |0                    |0                   |
|183             |0                    |0                   |
|1834            |0                    |0                   |
|1843            |0                    |0                   |
|1856            |0                    |0                   |
|186             |0                    |0                   |
|187             |0                    |0                   |
|1870            |0                    |0                   |
|19              |0                    |0                   |
|1900            |0                    |0                   |
|1905            |0                    |0                   |
|194             |0                    |0                   |
|198             |0                    |0                   |
|199             |0                    |0                   |
|202             |0                    |0                   |
|203             |0                    |0                   |
|2067            |0                    |0                   |
|2068            |0                    |0                   |
|2077            |0                    |0                   |
|2092            |0                    |0                   |
|2165            |0                    |0                   |
|2182            |0                    |0                   |
|2270            |0                    |0                   |
|228             |0                    |0                   |
|232             |0                    |0                   |
|2377            |0                    |0                   |
|238             |0                    |0                   |
|2384            |0                    |0                   |
|2389            |0                    |0                   |
|241             |0                    |0                   |
|242             |0                    |0                   |
|243             |0                    |0                   |
|250             |0                    |0                   |
|253             |0                    |0                   |
|255             |0                    |0                   |
|2571            |0                    |0                   |
|258             |0                    |0                   |
|261             |0                    |0                   |
|2611            |0                    |0                   |
|2612            |0                    |0                   |
|2613            |0                    |0                   |
|2614            |0                    |0                   |
|2616            |0                    |0                   |
|2619            |0                    |0                   |
|2620            |0                    |0                   |
|2627            |0                    |0                   |
|2628            |0                    |0                   |
|2629            |0                    |0                   |
|2631            |0                    |0                   |
|2632            |0                    |0                   |
|2634            |0                    |0                   |
|2640            |0                    |0                   |
|2642            |0                    |0                   |
|2659            |0                    |0                   |
|2663            |0                    |0                   |
|2676            |0                    |0                   |
|2677            |0                    |0                   |
|2678            |0                    |0                   |
|2681            |0                    |0                   |
|2682            |0                    |0                   |
|269             |0                    |0                   |
|281             |0                    |0                   |
|284             |0                    |0                   |
|2842            |0                    |0                   |
