"file_name","full_path","folder","sport","entity","role"
"pull_api_basketball_players.ps1","C:\MatchMatrix-platform\ingest\API-Basketball\pull_api_basketball_players.ps1","C:\MatchMatrix-platform\ingest","BK","players","pull"
"run_api_football_coaches_ingest_v1.py","C:\MatchMatrix-platform\workers\run_api_football_coaches_ingest_v1.py","C:\MatchMatrix-platform\workers","FB","coaches","runner"
"parse_api_american_football_fixtures_to_staging.py","C:\MatchMatrix-platform\ingest\API-American-Football\parse_api_american_football_fixtures_to_staging.py","C:\MatchMatrix-platform\ingest","FB","fixtures","parser"
"pull_api_american_football_fixtures.ps1","C:\MatchMatrix-platform\ingest\API-American-Football\pull_api_american_football_fixtures.ps1","C:\MatchMatrix-platform\ingest","FB","fixtures","pull"
"pull_api_football_fixtures.ps1","C:\MatchMatrix-platform\ingest\API-Football\pull_api_football_fixtures.ps1","C:\MatchMatrix-platform\ingest","FB","fixtures","pull"
"run_ingest_fixtures.ps1","C:\MatchMatrix-platform\ingest\API-Football\run_ingest_fixtures.ps1","C:\MatchMatrix-platform\ingest","FB","fixtures","runner"
"run_ingest_fixtures_all_targets.old.ps1","C:\MatchMatrix-platform\ingest\API-Football\run_ingest_fixtures_all_targets.old.ps1","C:\MatchMatrix-platform\ingest","FB","fixtures","runner"
"run_ingest_fixtures_all_targets.ps1","C:\MatchMatrix-platform\ingest\API-Football\run_ingest_fixtures_all_targets.ps1","C:\MatchMatrix-platform\ingest","FB","fixtures","runner"
"run_api_football_fixtures_raw_to_public.ps1","C:\MatchMatrix-platform\workers\run_api_football_fixtures_raw_to_public.ps1","C:\MatchMatrix-platform\workers","FB","fixtures","runner"
"api_football_pull_leagues_csv.py","C:\MatchMatrix-platform\ingest\API-Football\api_football_pull_leagues_csv.py","C:\MatchMatrix-platform\ingest","FB","leagues","pull"
"pull_api_football_leagues.ps1","C:\MatchMatrix-platform\ingest\API-Football\pull_api_football_leagues.ps1","C:\MatchMatrix-platform\ingest","FB","leagues","pull"
"pull_api_football_odds.ps1","C:\MatchMatrix-platform\ingest\API-Football\pull_api_football_odds.ps1","C:\MatchMatrix-platform\ingest","FB","odds","pull"
"pull_api_football_odds_V1.ps1","C:\MatchMatrix-platform\ingest\API-Football\pull_api_football_odds_V1.ps1","C:\MatchMatrix-platform\ingest","FB","odds","pull"
"parse_api_football_player_profiles_v1.py","C:\MatchMatrix-platform\ingest\parse_api_football_player_profiles_v1.py","C:\MatchMatrix-platform\ingest","FB","players","parser"
"pull_api_football_player_stats.ps1","C:\MatchMatrix-platform\ingest\API-Football\pull_api_football_player_stats.ps1","C:\MatchMatrix-platform\ingest","FB","players","pull"
"pull_api_football_players.ps1","C:\MatchMatrix-platform\ingest\API-Football\pull_api_football_players.ps1","C:\MatchMatrix-platform\ingest","FB","players","pull"
"pull_api_football_players_squads_v1.py","C:\MatchMatrix-platform\ingest\API-Football\pull_api_football_players_squads_v1.py","C:\MatchMatrix-platform\ingest","FB","players","pull"
"pull_api_football_players_v4.py","C:\MatchMatrix-platform\ingest\API-Football\pull_api_football_players_v4.py","C:\MatchMatrix-platform\ingest","FB","players","pull"
"pull_api_football_players_v5.py","C:\MatchMatrix-platform\ingest\API-Football\pull_api_football_players_v5.py","C:\MatchMatrix-platform\ingest","FB","players","pull"
