|table_schema|table_name|ordinal_position|column_name|data_type|udt_name|is_nullable|column_default|
|------------|----------|----------------|-----------|---------|--------|-----------|--------------|
|ops|api_budget_status|1|id|bigint|int8|NO|nextval('ops.api_budget_status_id_seq'::regclass)|
|ops|api_budget_status|2|sport_code|text|text|NO||
|ops|api_budget_status|3|request_day|date|date|NO|CURRENT_DATE|
|ops|api_budget_status|4|requests_used|integer|int4|NO|0|
|ops|api_budget_status|5|requests_limit|integer|int4|NO|7500|
|ops|api_budget_status|6|requests_remaining|integer|int4|YES||
|ops|api_budget_status|7|last_updated|timestamp with time zone|timestamptz|NO|now()|
|ops|api_football_coverage|1|name|text|text|YES||
|ops|api_football_coverage|2|matches|bigint|int8|YES||
|ops|api_request_log|1|id|bigint|int8|NO|nextval('ops.api_request_log_id_seq'::regclass)|
|ops|api_request_log|2|provider|text|text|NO||
|ops|api_request_log|3|account_name|text|text|NO||
|ops|api_request_log|4|sport_code|text|text|NO||
|ops|api_request_log|5|job_code|text|text|YES||
|ops|api_request_log|6|endpoint_code|text|text|YES||
|ops|api_request_log|7|request_date|date|date|NO|CURRENT_DATE|
|ops|api_request_log|8|request_count|integer|int4|NO|1|
|ops|api_request_log|9|created_at|timestamp with time zone|timestamptz|NO|now()|
|ops|eu_batch_1|1|provider_league_id|text|text|YES||
|ops|eu_batch_100|1|provider_league_id|text|text|YES||
|ops|eu_keep_ids|1|provider_league_id|integer|int4|NO||
|ops|fb_entity_audit|1|id|bigint|int8|NO|nextval('ops.fb_entity_audit_id_seq'::regclass)|
|ops|fb_entity_audit|2|entity|text|text|NO||
|ops|fb_entity_audit|3|primary_provider|text|text|YES||
|ops|fb_entity_audit|4|fallback_provider|text|text|YES||
|ops|fb_entity_audit|5|coverage_status|text|text|YES||
|ops|fb_entity_audit|6|real_data_flow|boolean|bool|YES||
|ops|fb_entity_audit|7|execution_mode|text|text|YES||
|ops|fb_entity_audit|8|automator_ready|boolean|bool|YES|false|
|ops|fb_entity_audit|9|requires_pro|boolean|bool|YES|false|
|ops|fb_entity_audit|10|staging_table|text|text|YES||
|ops|fb_entity_audit|11|public_dependency|text|text|YES||
|ops|fb_entity_audit|12|post_process|text|text|YES||
|ops|fb_entity_audit|13|known_issues|text|text|YES||
|ops|fb_entity_audit|14|notes|text|text|YES||
|ops|fb_entity_audit|15|updated_at|timestamp with time zone|timestamptz|YES|now()|
|ops|fb_players_pro_priority_buckets|1|id|bigint|int8|NO|nextval('ops.fb_players_pro_priority_buckets_id_seq'::regclass)|
|ops|fb_players_pro_priority_buckets|2|planner_id|bigint|int8|NO||
|ops|fb_players_pro_priority_buckets|3|provider|text|text|NO||
|ops|fb_players_pro_priority_buckets|4|sport_code|text|text|NO||
|ops|fb_players_pro_priority_buckets|5|entity|text|text|NO||
|ops|fb_players_pro_priority_buckets|6|provider_league_id|text|text|NO||
|ops|fb_players_pro_priority_buckets|7|league_name|text|text|YES||
|ops|fb_players_pro_priority_buckets|8|season|text|text|NO||
|ops|fb_players_pro_priority_buckets|9|run_group|text|text|YES||
|ops|fb_players_pro_priority_buckets|10|priority|integer|int4|YES||
|ops|fb_players_pro_priority_buckets|11|planner_status|text|text|YES||
|ops|fb_players_pro_priority_buckets|12|staging_players|integer|int4|NO|0|
|ops|fb_players_pro_priority_buckets|13|bucket_code|text|text|NO||
