api_american_football | AFB | fixtures | CONFIRMED | AFB_CORE | Zafixovat AFB leagues audit a potom finalni sport completion audit.
api_american_football | AFB | leagues | CONFIRMED | AFB_CORE | Uzavrit AFB ve sport_completion_audit.
api_american_football | AFB | teams | CONFIRMED | AFB_CORE | Pripravit AFB fixtures pipeline stejnym patternem.
api_sport | BK | fixtures | CONFIRMED | BK_TOP | Prevest BK rucni SQL kroky do finalniho opakovatelneho pipeline baliku.
api_sport | BK | leagues | CONFIRMED | BK_TOP | Finalizovat BK pipeline skript a aplikovat pattern na dalsi sporty (VB, AFB).
api_sport | BK | teams | CONFIRMED | BK_TOP | Navazat BK fixtures downstream validaci a finalnim pipeline skriptem.
api_baseball | BSB | fixtures | CONFIRMED | BSB_CORE | BSB core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_baseball | BSB | leagues | CONFIRMED | BSB_CORE | BSB core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_baseball | BSB | teams | CONFIRMED | BSB_CORE | BSB core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_cricket | CK | fixtures | CONFIRMED | CK_CORE | Dalsi krok pripadne odds / people / downstream entity
api_cricket | CK | leagues | CONFIRMED | CK_CORE | Dalsi krok pripadne odds / people / downstream entity
api_cricket | CK | teams | CONFIRMED | CK_CORE | Dalsi krok pripadne odds / people / downstream entity
api_sport | CK | fixtures | PLANNED | - | Navrhnout CK fixtures ingest (pull -> raw -> staging -> public.matches)
api_sport | CK | leagues | PLANNED | - | Navrhnout CK leagues ingest (pull -> raw -> staging -> public.leagues)
api_sport | CK | teams | PLANNED | - | Navrhnout CK teams ingest (pull -> raw -> staging -> provider_map -> public)
api_football | FB | coaches | RUNNABLE | - | Pozd─Ťji ov─Ť┼Öit FB coaches re├íln├Żm b─Ťhem + DB stopou.
api_football | FB | fixtures | CONFIRMED | EU_top,EU_exact_v1 | Navazat odds attach / TheOdds linker kontrolou nad novymi FB matches.
api_football | FB | players | RUNNABLE | - | Pozd─Ťji ov─Ť┼Öit FB players re├íln├Żm b─Ťhem + DB stopou.
api_football | FB | teams | RUNNABLE | - | Prov├ęst fresh audit run pro FB teams pouze pokud bude pot┼Öeba.
api_football | football | fixtures | PARTIAL | FB_CORE | Prepare canonical merge with football_data + api_football combined strategy.
api_football | football | leagues | PARTIAL | FB_CORE | Prepare league canonical/provider sync if needed.
api_football | football | teams | PARTIAL | FB_CORE | Build/verify team_provider_map for api_football.
api_handball | HB | fixtures | CONFIRMED | HB_CORE | HB fixtures core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_handball | HB | leagues | CONFIRMED | HB_CORE | HB leagues core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_handball | HB | teams | CONFIRMED | HB_CORE | HB teams core pipeline je uzavrena. Dalsi krok pripadne enrichment team_name/country z dalsiho provideru.
api_hockey | HK | fixtures | PARTIAL | HK_TOP | Ov─Ť┼Öit delta merge efekt HK fixtures runu do public.matches a p┼Ö├şpadn─Ť match identity / canonical attach.
api_hockey | HK | teams | CONFIRMED | HK_TOP | Ov─Ť┼Öit HK fixtures stejn├Żm zp┼»sobem.
api_rugby | RGB | core_pipeline | CONFIRMED | - | RGB core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_rugby | RGB | fixtures | CONFIRMED | RGB_CORE | RGB core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_rugby | RGB | leagues | CONFIRMED | RGB_CORE | RGB core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_rugby | RGB | teams | CONFIRMED | RGB_CORE | RGB core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_tennis | TN | fixtures | CONFIRMED | TN_CORE | Navrhnout TN fixtures ingest (pull -> raw -> staging -> public.matches)
api_tennis | TN | leagues | CONFIRMED | TN_CORE | Nahradit search-based endpoint za p┼Öesn─Ťj┼í├ş tournament/competition feed nebo roz┼í├ş┼Öit parser o controlled search strategy.
api_tennis | TN | odds | CONFIRMED | TN_CORE | -
api_tennis | TN | players | PLANNED | - | Navrhnout TN players ingest (pull -> raw -> staging -> provider_map -> public)
api_tennis | TN | teams | CONFIRMED | TN_CORE | -
api_volleyball | VB | fixtures | CONFIRMED | VB_CORE | VB core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_volleyball | VB | leagues | CONFIRMED | VB_CORE | VB core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
api_volleyball | VB | odds | PLANNED | VB_CORE | Aktivovat realny odds runtime po placenem API planu a potvrzeni endpointu.
api_volleyball | VB | players | PLANNED | VB_PLAYERS_TEST | Najit nahradniho providera pro VB players / people layer.
api_volleyball | VB | teams | CONFIRMED | VB_CORE | VB core pipeline je uzavrena. Dalsi krok pripadne odds / people / downstream entity.
