|table_schema|table_name|ordinal_position|column_name|data_type|udt_name|is_nullable|column_default|
|------------|----------|----------------|-----------|---------|--------|-----------|--------------|
|staging|api_football_fixtures|1|run_id|bigint|int8|NO||
|staging|api_football_fixtures|2|league_id|integer|int4|NO||
|staging|api_football_fixtures|3|season|integer|int4|NO||
|staging|api_football_fixtures|4|fixture_id|integer|int4|NO||
|staging|api_football_fixtures|5|kickoff|timestamp with time zone|timestamptz|YES||
|staging|api_football_fixtures|6|status|text|text|YES||
|staging|api_football_fixtures|7|home_team_id|integer|int4|YES||
|staging|api_football_fixtures|8|away_team_id|integer|int4|YES||
|staging|api_football_fixtures|9|home_goals|integer|int4|YES||
|staging|api_football_fixtures|10|away_goals|integer|int4|YES||
|staging|api_football_fixtures|11|raw|jsonb|jsonb|NO||
|staging|api_football_fixtures|12|fetched_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_football_leagues|1|run_id|bigint|int8|NO||
|staging|api_football_leagues|2|league_id|integer|int4|NO||
|staging|api_football_leagues|3|season|integer|int4|YES||
|staging|api_football_leagues|4|name|text|text|NO||
|staging|api_football_leagues|5|type|text|text|YES||
|staging|api_football_leagues|6|country|text|text|YES||
|staging|api_football_leagues|7|country_code|text|text|YES||
|staging|api_football_leagues|8|is_cup|boolean|bool|YES||
|staging|api_football_leagues|9|is_international|boolean|bool|YES||
|staging|api_football_leagues|10|logo|text|text|YES||
|staging|api_football_leagues|11|raw|jsonb|jsonb|NO||
|staging|api_football_leagues|12|fetched_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_football_odds|1|run_id|bigint|int8|NO||
|staging|api_football_odds|2|league_id|integer|int4|NO||
|staging|api_football_odds|3|season|integer|int4|NO||
|staging|api_football_odds|4|fixture_id|integer|int4|NO||
|staging|api_football_odds|5|bookmaker_id|integer|int4|NO||
|staging|api_football_odds|6|market|text|text|NO||
|staging|api_football_odds|7|outcome|text|text|NO||
|staging|api_football_odds|8|odd_value|numeric|numeric|YES||
|staging|api_football_odds|9|raw|jsonb|jsonb|NO||
|staging|api_football_odds|10|fetched_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_football_teams|1|run_id|bigint|int8|NO||
|staging|api_football_teams|2|league_id|integer|int4|NO||
|staging|api_football_teams|3|season|integer|int4|NO||
|staging|api_football_teams|4|team_id|integer|int4|NO||
|staging|api_football_teams|5|name|text|text|NO||
|staging|api_football_teams|6|code|text|text|YES||
|staging|api_football_teams|7|country|text|text|YES||
|staging|api_football_teams|8|founded|integer|int4|YES||
|staging|api_football_teams|9|national|boolean|bool|YES||
|staging|api_football_teams|10|logo|text|text|YES||
|staging|api_football_teams|11|venue_name|text|text|YES||
|staging|api_football_teams|12|venue_city|text|text|YES||
|staging|api_football_teams|13|raw|jsonb|jsonb|NO||
|staging|api_football_teams|14|fetched_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_hockey_leagues|1|run_id|bigint|int8|NO||
|staging|api_hockey_leagues|2|league_id|integer|int4|NO||
|staging|api_hockey_leagues|3|season|integer|int4|YES||
|staging|api_hockey_leagues|4|name|text|text|YES||
|staging|api_hockey_leagues|5|type|text|text|YES||
|staging|api_hockey_leagues|6|country|text|text|YES||
|staging|api_hockey_leagues|7|country_code|text|text|YES||
|staging|api_hockey_leagues|8|logo|text|text|YES||
|staging|api_hockey_leagues|9|is_cup|boolean|bool|YES||
|staging|api_hockey_leagues|10|is_international|boolean|bool|YES||
|staging|api_hockey_leagues|11|raw|jsonb|jsonb|NO||
|staging|api_hockey_leagues|12|fetched_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_hockey_leagues_raw|1|run_id|bigint|int8|YES||
|staging|api_hockey_leagues_raw|2|fetched_at|timestamp with time zone|timestamptz|YES|now()|
|staging|api_hockey_leagues_raw|3|payload|jsonb|jsonb|NO||
|staging|api_hockey_teams|1|run_id|integer|int4|NO||
|staging|api_hockey_teams|2|fetched_at|timestamp with time zone|timestamptz|NO||
|staging|api_hockey_teams|3|league_id|integer|int4|YES||
|staging|api_hockey_teams|4|season|integer|int4|YES||
|staging|api_hockey_teams|5|team_id|integer|int4|NO||
|staging|api_hockey_teams|6|name|text|text|YES||
|staging|api_hockey_teams|7|code|text|text|YES||
|staging|api_hockey_teams|8|country|text|text|YES||
|staging|api_hockey_teams|9|founded|integer|int4|YES||
|staging|api_hockey_teams|10|national|boolean|bool|YES||
|staging|api_hockey_teams|11|logo|text|text|YES||
|staging|api_hockey_teams|12|raw|jsonb|jsonb|NO||
|staging|api_hockey_teams_raw|1|run_id|bigint|int8|NO||
|staging|api_hockey_teams_raw|2|fetched_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_hockey_teams_raw|3|payload|jsonb|jsonb|NO||
|staging|api_tennis_fixtures|1|id|bigint|int8|NO|nextval('staging.api_tennis_fixtures_id_seq'::regclass)|
|staging|api_tennis_fixtures|2|run_id|bigint|int8|YES||
|staging|api_tennis_fixtures|3|provider|text|text|NO|'api_tennis'::text|
|staging|api_tennis_fixtures|4|sport_code|text|text|NO|'TN'::text|
|staging|api_tennis_fixtures|5|provider_match_id|text|text|YES||
|staging|api_tennis_fixtures|6|league_name|text|text|YES||
|staging|api_tennis_fixtures|7|player_1|text|text|YES||
|staging|api_tennis_fixtures|8|player_2|text|text|YES||
|staging|api_tennis_fixtures|9|match_time|timestamp with time zone|timestamptz|YES||
|staging|api_tennis_fixtures|10|status|text|text|YES||
|staging|api_tennis_fixtures|11|raw_payload|jsonb|jsonb|YES||
|staging|api_tennis_fixtures|12|parsed_at|timestamp with time zone|timestamptz|YES|now()|
|staging|api_tennis_fixtures|13|created_at|timestamp with time zone|timestamptz|YES|now()|
|staging|api_tennis_fixtures|14|updated_at|timestamp with time zone|timestamptz|YES|now()|
|staging|api_tennis_fixtures_raw|1|id|bigint|int8|NO|nextval('staging.api_tennis_fixtures_raw_id_seq'::regclass)|
|staging|api_tennis_fixtures_raw|2|run_id|bigint|int8|YES||
|staging|api_tennis_fixtures_raw|3|provider|text|text|NO|'api_tennis'::text|
|staging|api_tennis_fixtures_raw|4|sport_code|text|text|NO|'TN'::text|
|staging|api_tennis_fixtures_raw|5|provider_match_id|text|text|YES||
|staging|api_tennis_fixtures_raw|6|payload|jsonb|jsonb|NO||
|staging|api_tennis_fixtures_raw|7|fetched_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_tennis_fixtures_raw|8|created_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_tennis_leagues|1|id|bigint|int8|NO|nextval('staging.api_tennis_leagues_id_seq'::regclass)|
|staging|api_tennis_leagues|2|run_id|bigint|int8|YES||
|staging|api_tennis_leagues|3|provider|text|text|NO|'api_tennis'::text|
|staging|api_tennis_leagues|4|sport_code|text|text|NO|'TN'::text|
|staging|api_tennis_leagues|5|provider_league_id|text|text|NO||
|staging|api_tennis_leagues|6|season|text|text|NO||
|staging|api_tennis_leagues|7|name|text|text|NO||
|staging|api_tennis_leagues|8|category|text|text|YES||
|staging|api_tennis_leagues|9|gender|text|text|YES||
|staging|api_tennis_leagues|10|surface|text|text|YES||
|staging|api_tennis_leagues|11|country|text|text|YES||
|staging|api_tennis_leagues|12|is_active|boolean|bool|YES|true|
|staging|api_tennis_leagues|13|raw_payload|jsonb|jsonb|YES||
|staging|api_tennis_leagues|14|parsed_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_tennis_leagues|15|created_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_tennis_leagues|16|updated_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_tennis_leagues_raw|1|id|bigint|int8|NO|nextval('staging.api_tennis_leagues_raw_id_seq'::regclass)|
|staging|api_tennis_leagues_raw|2|run_id|bigint|int8|YES||
|staging|api_tennis_leagues_raw|3|provider|text|text|NO|'api_tennis'::text|
|staging|api_tennis_leagues_raw|4|sport_code|text|text|NO|'TN'::text|
|staging|api_tennis_leagues_raw|5|provider_league_id|text|text|YES||
|staging|api_tennis_leagues_raw|6|season|text|text|YES||
|staging|api_tennis_leagues_raw|7|payload|jsonb|jsonb|NO||
|staging|api_tennis_leagues_raw|8|fetched_at|timestamp with time zone|timestamptz|NO|now()|
|staging|api_tennis_leagues_raw|9|created_at|timestamp with time zone|timestamptz|NO|now()|
|staging|player_provider_map_import|1|provider_code|text|text|NO||
|staging|player_provider_map_import|2|provider_player_id|text|text|NO||
|staging|player_provider_map_import|3|player_name|text|text|NO||
|staging|player_provider_map_import|4|birth_date|date|date|YES||
|staging|player_provider_map_import|5|nationality|text|text|YES||
|staging|player_provider_map_import|6|imported_at|timestamp with time zone|timestamptz|YES|now()|
|staging|player_provider_map_import|7|raw_json|jsonb|jsonb|YES||
|staging|players_import|1|provider_code|text|text|NO||
|staging|players_import|2|provider_player_id|text|text|NO||
|staging|players_import|3|player_name|text|text|NO||
|staging|players_import|4|first_name|text|text|YES||
|staging|players_import|5|last_name|text|text|YES||
|staging|players_import|6|birth_date|date|date|YES||
|staging|players_import|7|nationality|text|text|YES||
|staging|players_import|8|height_cm|integer|int4|YES||
|staging|players_import|9|weight_kg|integer|int4|YES||
|staging|players_import|10|preferred_foot|text|text|YES||
|staging|players_import|11|position_code|text|text|YES||
|staging|players_import|12|team_provider_id|text|text|YES||
|staging|players_import|13|team_name|text|text|YES||
|staging|players_import|14|season_code|text|text|YES||
|staging|players_import|15|is_active|boolean|bool|YES|true|
|staging|players_import|16|raw_json|jsonb|jsonb|YES||
|staging|players_import|17|imported_at|timestamp with time zone|timestamptz|YES|now()|
|staging|players_import|18|run_id|bigint|int8|YES||
|staging|players_import|19|provider_league_id|text|text|YES||
|staging|players_import|20|provider_team_id|text|text|YES||
|staging|players_import|21|season|text|text|YES||
|staging|players_import|22|league_name|text|text|YES||
|staging|players_import|23|source_endpoint|text|text|YES||
|staging|players_import|24|photo_url|text|text|YES||
|staging|stg_api_american_football_fixtures|1|id|bigint|int8|NO|nextval('staging.stg_api_american_football_fixtures_id_seq'::regclass)|
|staging|stg_api_american_football_fixtures|2|run_ts|timestamp with time zone|timestamptz|NO|now()|
|staging|stg_api_american_football_fixtures|3|provider|text|text|NO|'api_american_football'::text|
|staging|stg_api_american_football_fixtures|4|league_id|text|text|YES||
