|table_name|constraint_name|constraint_type|column_name|foreign_table_schema|foreign_table_name|foreign_column_name|
|----------|---------------|---------------|-----------|--------------------|------------------|-------------------|
|api_budget_status|106567_221234_1_not_null|CHECK|||||
|api_budget_status|106567_221234_2_not_null|CHECK|||||
|api_budget_status|106567_221234_3_not_null|CHECK|||||
|api_budget_status|106567_221234_4_not_null|CHECK|||||
|api_budget_status|106567_221234_5_not_null|CHECK|||||
|api_budget_status|106567_221234_7_not_null|CHECK|||||
|api_budget_status|api_budget_status_pkey|PRIMARY KEY|id|ops|api_budget_status|id|
|api_request_log|106567_204963_1_not_null|CHECK|||||
|api_request_log|106567_204963_2_not_null|CHECK|||||
|api_request_log|106567_204963_3_not_null|CHECK|||||
|api_request_log|106567_204963_4_not_null|CHECK|||||
|api_request_log|106567_204963_7_not_null|CHECK|||||
|api_request_log|106567_204963_8_not_null|CHECK|||||
|api_request_log|106567_204963_9_not_null|CHECK|||||
|api_request_log|api_request_log_pkey|PRIMARY KEY|id|ops|api_request_log|id|
|eu_keep_ids|106567_172075_1_not_null|CHECK|||||
|eu_keep_ids|eu_keep_ids_pkey|PRIMARY KEY|provider_league_id|ops|eu_keep_ids|provider_league_id|
|fb_entity_audit|106567_434319_1_not_null|CHECK|||||
|fb_entity_audit|106567_434319_2_not_null|CHECK|||||
|fb_entity_audit|fb_entity_audit_pkey|PRIMARY KEY|id|ops|fb_entity_audit|id|
|fb_players_pro_priority_buckets|106567_450562_12_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_13_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_14_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_16_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_17_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_1_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_2_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_3_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_4_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_5_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_6_not_null|CHECK|||||
|fb_players_pro_priority_buckets|106567_450562_8_not_null|CHECK|||||
|fb_players_pro_priority_buckets|fb_players_pro_priority_buckets_pkey|PRIMARY KEY|id|ops|fb_players_pro_priority_buckets|id|
|ingest_entity_plan|106567_278553_11_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_16_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_17_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_1_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_2_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_3_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_4_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_5_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_6_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_7_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_8_not_null|CHECK|||||
|ingest_entity_plan|106567_278553_9_not_null|CHECK|||||
|ingest_entity_plan|chk_ingest_entity_plan_ingest_mode|CHECK||ops|ingest_entity_plan|ingest_mode|
|ingest_entity_plan|chk_ingest_entity_plan_scope_type|CHECK||ops|ingest_entity_plan|scope_type|
|ingest_entity_plan|ingest_entity_plan_pkey|PRIMARY KEY|id|ops|ingest_entity_plan|id|
|ingest_entity_plan|uq_ingest_entity_plan|UNIQUE|provider|ops|ingest_entity_plan|provider|
|ingest_entity_plan|uq_ingest_entity_plan|UNIQUE|provider|ops|ingest_entity_plan|sport_code|
|ingest_entity_plan|uq_ingest_entity_plan|UNIQUE|provider|ops|ingest_entity_plan|entity|
|ingest_entity_plan|uq_ingest_entity_plan|UNIQUE|sport_code|ops|ingest_entity_plan|provider|
|ingest_entity_plan|uq_ingest_entity_plan|UNIQUE|sport_code|ops|ingest_entity_plan|sport_code|
|ingest_entity_plan|uq_ingest_entity_plan|UNIQUE|sport_code|ops|ingest_entity_plan|entity|
|ingest_entity_plan|uq_ingest_entity_plan|UNIQUE|entity|ops|ingest_entity_plan|provider|
|ingest_entity_plan|uq_ingest_entity_plan|UNIQUE|entity|ops|ingest_entity_plan|sport_code|
|ingest_entity_plan|uq_ingest_entity_plan|UNIQUE|entity|ops|ingest_entity_plan|entity|
|ingest_planner|106567_254002_1_not_null|CHECK|||||
|ingest_planner|106567_254002_2_not_null|CHECK|||||
|ingest_planner|106567_254002_3_not_null|CHECK|||||
|ingest_planner|106567_254002_4_not_null|CHECK|||||
|ingest_planner|ingest_planner_pkey|PRIMARY KEY|id|ops|ingest_planner|id|
|ingest_runtime_config|106567_253964_10_not_null|CHECK|||||
|ingest_runtime_config|106567_253964_11_not_null|CHECK|||||
|ingest_runtime_config|106567_253964_12_not_null|CHECK|||||
|ingest_runtime_config|106567_253964_1_not_null|CHECK|||||
|ingest_runtime_config|106567_253964_2_not_null|CHECK|||||
|ingest_runtime_config|106567_253964_3_not_null|CHECK|||||
|ingest_runtime_config|106567_253964_4_not_null|CHECK|||||
|ingest_runtime_config|ingest_runtime_config_pkey|PRIMARY KEY|id|ops|ingest_runtime_config|id|
|ingest_runtime_config|uq_ingest_runtime_config|UNIQUE|provider|ops|ingest_runtime_config|provider|
|ingest_runtime_config|uq_ingest_runtime_config|UNIQUE|provider|ops|ingest_runtime_config|sport_code|
|ingest_runtime_config|uq_ingest_runtime_config|UNIQUE|provider|ops|ingest_runtime_config|plan_code|
|ingest_runtime_config|uq_ingest_runtime_config|UNIQUE|sport_code|ops|ingest_runtime_config|provider|
|ingest_runtime_config|uq_ingest_runtime_config|UNIQUE|sport_code|ops|ingest_runtime_config|sport_code|
|ingest_runtime_config|uq_ingest_runtime_config|UNIQUE|sport_code|ops|ingest_runtime_config|plan_code|
|ingest_runtime_config|uq_ingest_runtime_config|UNIQUE|plan_code|ops|ingest_runtime_config|provider|
|ingest_runtime_config|uq_ingest_runtime_config|UNIQUE|plan_code|ops|ingest_runtime_config|sport_code|
|ingest_runtime_config|uq_ingest_runtime_config|UNIQUE|plan_code|ops|ingest_runtime_config|plan_code|
|ingest_targets|106567_106569_10_not_null|CHECK|||||
|ingest_targets|106567_106569_11_not_null|CHECK|||||
|ingest_targets|106567_106569_14_not_null|CHECK|||||
|ingest_targets|106567_106569_15_not_null|CHECK|||||
|ingest_targets|106567_106569_1_not_null|CHECK|||||
|ingest_targets|106567_106569_2_not_null|CHECK|||||
|ingest_targets|106567_106569_3_not_null|CHECK|||||
|ingest_targets|106567_106569_4_not_null|CHECK|||||
|ingest_targets|106567_106569_5_not_null|CHECK|||||
|ingest_targets|106567_106569_6_not_null|CHECK|||||
