change_type;target;relative_path;full_path;old_modified_at;new_modified_at;old_size_bytes;new_size_bytes;old_hash;new_hash
NEW;workers;build_ingest_planner_jobs.py;C:\MatchMatrix-platform\workers\build_ingest_planner_jobs.py;;2026-03-13 15:34:43;;9524;;67574df1f8f0288a7aabc43bd6cd27efb3ae6da6
NEW;workers;build_player_enrichment_jobs.py;C:\MatchMatrix-platform\workers\build_player_enrichment_jobs.py;;2026-03-15 14:11:08;;2983;;ecde01503c3db8408ba750a1909335f205a60731
NEW;workers;extract_teams_from_fixtures.py;C:\MatchMatrix-platform\workers\extract_teams_from_fixtures.py;;2026-03-13 09:05:40;;5988;;c1643bbb8eeb8c73d6be834ae01b36b4d322ffcc
NEW;workers;extract_teams_from_fixtures_v2.py;C:\MatchMatrix-platform\workers\extract_teams_from_fixtures_v2.py;;2026-03-14 22:26:29;;2917;;6ff16b8d175b9fcfc8c760ca3c14addf0414fa5f
NEW;workers;legacy_to_staging_bridge_report.txt;C:\MatchMatrix-platform\workers\legacy_to_staging_bridge_report.txt;;2026-03-10 22:24:17;;6414;;5f7f1780c0a7881f1a45c83053cebd4d52673603
NEW;workers;pull_api_football_players_v4.py;C:\MatchMatrix-platform\workers\pull_api_football_players_v4.py;;2026-03-16 17:32:19;;18877;;3d67351da11589a078658142a31c9c6cc541255e
NEW;workers;run_audit_player_season_statistics_report_docker_v1.ps1;C:\MatchMatrix-platform\workers\run_audit_player_season_statistics_report_docker_v1.ps1;;2026-03-16 14:09:09;;1706;;e27632ccaf6c27ef8c06d126dddfde945fa1ae30
NEW;workers;run_audit_player_season_statistics_report_v1.ps1;C:\MatchMatrix-platform\workers\run_audit_player_season_statistics_report_v1.ps1;;2026-03-16 13:49:42;;2513;;891f9987172bea44bed99a02949a46935081efb5
NEW;workers;run_full_ingest_pipeline.py;C:\MatchMatrix-platform\workers\run_full_ingest_pipeline.py;;2026-03-10 22:07:54;;1877;;365649ab9167cdc4d806e85a4cda4df56ac3bd5e
NEW;workers;run_ingest_cycle_v1.py;C:\MatchMatrix-platform\workers\run_ingest_cycle_v1.py;;2026-03-13 20:25:13;;6735;;245fb00936c487698b187e0942aa897d1c5a2580
NEW;workers;run_ingest_cycle_v2.py;C:\MatchMatrix-platform\workers\run_ingest_cycle_v2.py;;2026-03-13 20:35:51;;18857;;9ff02ae9eda450b339291063b01a0cfdb8355a48
NEW;workers;run_ingest_cycle_v3.py;C:\MatchMatrix-platform\workers\run_ingest_cycle_v3.py;;2026-03-14 23:07:08;;21100;;5b8820d4ec2c1ba5d8952bdca39548a0bfef10bf
NEW;workers;run_ingest_planner_jobs.py;C:\MatchMatrix-platform\workers\run_ingest_planner_jobs.py;;2026-03-13 22:19:20;;18593;;52428994d71cd334d4020e583337f550355438d1
NEW;workers;run_legacy_to_staging_bridge.py;C:\MatchMatrix-platform\workers\run_legacy_to_staging_bridge.py;;2026-03-10 22:23:13;;4228;;513aef2130cef7e2971270781c3b6b3d140e5cf9
NEW;workers;run_legacy_to_staging_bridge_v2.py;C:\MatchMatrix-platform\workers\run_legacy_to_staging_bridge_v2.py;;2026-03-10 22:44:10;;9258;;0a116a603e648369102cf74f01b718ccd7319f43
