|sort_order|table_schema|table_name              |ordinal_position|column_name                |data_type               |udt_name   |is_nullable|column_default                                          |
|----------|------------|------------------------|----------------|---------------------------|------------------------|-----------|-----------|--------------------------------------------------------|
|1         |ops         |ingest_targets          |1               |id                         |bigint                  |int8       |NO         |nextval('ops.ingest_targets_id_seq'::regclass)          |
|1         |ops         |ingest_targets          |2               |sport_code                 |text                    |text       |NO         |                                                        |
|1         |ops         |ingest_targets          |3               |canonical_league_id        |bigint                  |int8       |NO         |                                                        |
|1         |ops         |ingest_targets          |4               |provider                   |text                    |text       |NO         |                                                        |
|1         |ops         |ingest_targets          |5               |provider_league_id         |text                    |text       |NO         |                                                        |
|1         |ops         |ingest_targets          |6               |season                     |text                    |text       |NO         |''::text                                                |
|1         |ops         |ingest_targets          |7               |enabled                    |boolean                 |bool       |NO         |true                                                    |
|1         |ops         |ingest_targets          |8               |tier                       |integer                 |int4       |NO         |1                                                       |
|1         |ops         |ingest_targets          |9               |fixtures_days_back         |integer                 |int4       |NO         |7                                                       |
|1         |ops         |ingest_targets          |10              |fixtures_days_forward      |integer                 |int4       |NO         |14                                                      |
|1         |ops         |ingest_targets          |11              |odds_days_forward          |integer                 |int4       |NO         |3                                                       |
|1         |ops         |ingest_targets          |12              |max_requests_per_run       |integer                 |int4       |YES        |                                                        |
|1         |ops         |ingest_targets          |13              |notes                      |text                    |text       |YES        |                                                        |
|1         |ops         |ingest_targets          |14              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|1         |ops         |ingest_targets          |15              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|1         |ops         |ingest_targets          |16              |run_group                  |text                    |text       |YES        |                                                        |
|2         |ops         |runtime_entity_audit    |1               |id                         |bigint                  |int8       |NO         |nextval('ops.runtime_entity_audit_id_seq'::regclass)    |
|2         |ops         |runtime_entity_audit    |2               |provider                   |text                    |text       |NO         |                                                        |
|2         |ops         |runtime_entity_audit    |3               |sport_code                 |text                    |text       |NO         |                                                        |
|2         |ops         |runtime_entity_audit    |4               |entity                     |text                    |text       |NO         |                                                        |
|2         |ops         |runtime_entity_audit    |5               |current_state              |text                    |text       |NO         |'NOT_TESTED'::text                                      |
|2         |ops         |runtime_entity_audit    |6               |state_reason               |text                    |text       |YES        |                                                        |
|2         |ops         |runtime_entity_audit    |7               |panel_runner_exists        |boolean                 |bool       |NO         |false                                                   |
|2         |ops         |runtime_entity_audit    |8               |planner_target_exists      |boolean                 |bool       |NO         |false                                                   |
|2         |ops         |runtime_entity_audit    |9               |batch_target_exists        |boolean                 |bool       |NO         |false                                                   |
|2         |ops         |runtime_entity_audit    |10              |pull_confirmed             |boolean                 |bool       |NO         |false                                                   |
|2         |ops         |runtime_entity_audit    |11              |raw_confirmed              |boolean                 |bool       |NO         |false                                                   |
|2         |ops         |runtime_entity_audit    |12              |staging_confirmed          |boolean                 |bool       |NO         |false                                                   |
|2         |ops         |runtime_entity_audit    |13              |provider_map_confirmed     |boolean                 |bool       |NO         |false                                                   |
|2         |ops         |runtime_entity_audit    |14              |public_merge_confirmed     |boolean                 |bool       |NO         |false                                                   |
|2         |ops         |runtime_entity_audit    |15              |downstream_confirmed       |boolean                 |bool       |NO         |false                                                   |
|2         |ops         |runtime_entity_audit    |16              |last_run_group             |text                    |text       |YES        |                                                        |
|2         |ops         |runtime_entity_audit    |17              |last_run_at                |timestamp with time zone|timestamptz|YES        |                                                        |
|2         |ops         |runtime_entity_audit    |18              |last_check_at              |timestamp with time zone|timestamptz|YES        |                                                        |
|2         |ops         |runtime_entity_audit    |19              |last_log_summary           |text                    |text       |YES        |                                                        |
|2         |ops         |runtime_entity_audit    |20              |db_evidence_summary        |text                    |text       |YES        |                                                        |
|2         |ops         |runtime_entity_audit    |21              |next_action                |text                    |text       |YES        |                                                        |
|2         |ops         |runtime_entity_audit    |22              |audit_note                 |text                    |text       |YES        |                                                        |
|2         |ops         |runtime_entity_audit    |23              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|2         |ops         |runtime_entity_audit    |24              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|3         |ops         |sport_completion_audit  |1               |id                         |bigint                  |int8       |NO         |nextval('ops.sport_completion_audit_id_seq'::regclass)  |
|3         |ops         |sport_completion_audit  |2               |sport_code                 |text                    |text       |NO         |                                                        |
|3         |ops         |sport_completion_audit  |3               |entity                     |text                    |text       |NO         |                                                        |
|3         |ops         |sport_completion_audit  |4               |layer_type                 |text                    |text       |NO         |                                                        |
|3         |ops         |sport_completion_audit  |5               |current_status             |text                    |text       |NO         |                                                        |
|3         |ops         |sport_completion_audit  |6               |production_readiness       |text                    |text       |NO         |                                                        |
|3         |ops         |sport_completion_audit  |7               |provider_primary           |text                    |text       |YES        |                                                        |
|3         |ops         |sport_completion_audit  |8               |provider_fallback          |text                    |text       |YES        |                                                        |
|3         |ops         |sport_completion_audit  |9               |db_layer_ready             |boolean                 |bool       |NO         |false                                                   |
|3         |ops         |sport_completion_audit  |10              |planner_ready              |boolean                 |bool       |NO         |false                                                   |
|3         |ops         |sport_completion_audit  |11              |queue_ready                |boolean                 |bool       |NO         |false                                                   |
|3         |ops         |sport_completion_audit  |12              |public_ready               |boolean                 |bool       |NO         |false                                                   |
|3         |ops         |sport_completion_audit  |13              |key_gap                    |text                    |text       |YES        |                                                        |
|3         |ops         |sport_completion_audit  |14              |next_step                  |text                    |text       |YES        |                                                        |
|3         |ops         |sport_completion_audit  |15              |evidence_note              |text                    |text       |YES        |                                                        |
|3         |ops         |sport_completion_audit  |16              |priority_rank              |integer                 |int4       |YES        |                                                        |
|3         |ops         |sport_completion_audit  |17              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|3         |ops         |sport_completion_audit  |18              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|4         |ops         |job_runs                |1               |id                         |bigint                  |int8       |NO         |nextval('ops.job_runs_id_seq'::regclass)                |
|4         |ops         |job_runs                |2               |job_code                   |text                    |text       |NO         |                                                        |
|4         |ops         |job_runs                |3               |started_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|4         |ops         |job_runs                |4               |finished_at                |timestamp with time zone|timestamptz|YES        |                                                        |
|4         |ops         |job_runs                |5               |status                     |text                    |text       |NO         |'running'::text                                         |
|4         |ops         |job_runs                |6               |params                     |jsonb                   |jsonb      |NO         |'{}'::jsonb                                             |
|4         |ops         |job_runs                |7               |message                    |text                    |text       |YES        |                                                        |
|4         |ops         |job_runs                |8               |details                    |jsonb                   |jsonb      |NO         |'{}'::jsonb                                             |
|4         |ops         |job_runs                |9               |api_import_run_id          |bigint                  |int8       |YES        |                                                        |
|4         |ops         |job_runs                |10              |rows_affected              |bigint                  |int8       |YES        |                                                        |
|4         |ops         |job_runs                |11              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|5         |ops         |jobs                    |1               |code                       |text                    |text       |NO         |                                                        |
|5         |ops         |jobs                    |2               |name                       |text                    |text       |NO         |                                                        |
|5         |ops         |jobs                    |3               |description                |text                    |text       |YES        |                                                        |
|5         |ops         |jobs                    |4               |recommended                |text                    |text       |YES        |                                                        |
|5         |ops         |jobs                    |5               |enabled                    |boolean                 |bool       |NO         |true                                                    |
|5         |ops         |jobs                    |6               |default_params             |jsonb                   |jsonb      |NO         |'{}'::jsonb                                             |
|5         |ops         |jobs                    |7               |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|5         |ops         |jobs                    |8               |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|6         |ops         |provider_jobs           |1               |id                         |bigint                  |int8       |NO         |nextval('ops.provider_jobs_id_seq'::regclass)           |
|6         |ops         |provider_jobs           |2               |provider                   |text                    |text       |NO         |                                                        |
|6         |ops         |provider_jobs           |3               |sport_code                 |text                    |text       |NO         |                                                        |
|6         |ops         |provider_jobs           |4               |job_code                   |text                    |text       |NO         |                                                        |
|6         |ops         |provider_jobs           |5               |endpoint_code              |text                    |text       |NO         |                                                        |
|6         |ops         |provider_jobs           |6               |ingest_mode                |text                    |text       |NO         |                                                        |
|6         |ops         |provider_jobs           |7               |enabled                    |boolean                 |bool       |NO         |true                                                    |
|6         |ops         |provider_jobs           |8               |priority                   |integer                 |int4       |NO         |100                                                     |
|6         |ops         |provider_jobs           |9               |batch_size                 |integer                 |int4       |YES        |                                                        |
|6         |ops         |provider_jobs           |10              |max_requests_per_run       |integer                 |int4       |YES        |                                                        |
|6         |ops         |provider_jobs           |11              |retry_limit                |integer                 |int4       |NO         |3                                                       |
|6         |ops         |provider_jobs           |12              |cooldown_seconds           |integer                 |int4       |NO         |0                                                       |
|6         |ops         |provider_jobs           |13              |days_back                  |integer                 |int4       |YES        |                                                        |
|6         |ops         |provider_jobs           |14              |days_forward               |integer                 |int4       |YES        |                                                        |
|6         |ops         |provider_jobs           |15              |notes                      |text                    |text       |YES        |                                                        |
|6         |ops         |provider_jobs           |16              |created_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|6         |ops         |provider_jobs           |17              |updated_at                 |timestamp with time zone|timestamptz|NO         |now()                                                   |
|7         |ops         |ingest_planner          |1               |id                         |bigint                  |int8       |NO         |nextval('ops.ingest_planner_id_seq'::regclass)          |
|7         |ops         |ingest_planner          |2               |provider                   |text                    |text       |NO         |                                                        |
