|external_team_id|team_name                 |country_name  |external_league_id|season|matched_canonical_count|candidate_team_ids       |
|----------------|--------------------------|--------------|------------------|------|-----------------------|-------------------------|
|200             |Vitesse                   |Netherlands   |88                |2022  |4                      |1113, 13027, 25793, 26481|
|723             |Almeria                   |Spain         |143               |2024  |3                      |1158, 12871, 25856       |
|420             |Cambuur                   |Netherlands   |88                |2022  |3                      |1114, 12180, 27530       |
|501             |Crotone                   |Italy         |943               |2022  |3                      |1090, 14302, 26935       |
|545             |Eibar                     |Spain         |143               |2024  |3                      |1161, 12429, 27752       |
|511             |Empoli                    |Italy         |135               |2022  |3                      |1083, 12135, 27097       |
|766             |Halmstad                  |Sweden        |114               |2022  |3                      |12614, 27621, 28368      |
|505             |Inter                     |Italy         |135               |2022  |3                      |12134, 25936, 27888      |
|534             |Las Palmas                |Spain         |143               |2024  |3                      |1155, 12087, 26688       |
|537             |Leganes                   |Spain         |143               |2024  |3                      |1156, 12089, 27751       |
|116             |Lens                      |France        |61                |2022  |3                      |1012, 12119, 27000       |
|9675            |Manresa                   |Spain         |1000              |2022  |3                      |118266, 16745, 26376     |
|214             |Maritimo                  |Portugal      |94                |2022  |3                      |1137, 14641, 27498       |
|1579            |Monza                     |Italy         |135               |2022  |3                      |1084, 12140, 28834       |
|193             |PEC Zwolle                |Netherlands   |88                |2024  |3                      |12160, 26479, 567        |
|93              |Reims                     |France        |61                |2022  |3                      |1025, 12111, 25879       |
|514             |Salernitana               |Italy         |135               |2022  |3                      |1087, 13019, 26932       |
|498             |Sampdoria                 |Italy         |135               |2022  |3                      |1088, 12491, 27095       |
|106             |Stade Brestois 29         |France        |61                |2022  |3                      |12115, 27638, 501        |
|810             |Vizela                    |Portugal      |94                |2022  |3                      |1135, 12156, 26307       |
|195             |Willem II                 |Netherlands   |88                |2022  |3                      |1110, 12162, 26900       |
|757             |Aalesund                  |Norway        |103               |2022  |2                      |13181, 25829             |
|406             |Aarhus                    |Denmark       |119               |2022  |2                      |13156, 27730             |
|404             |AC Horsens                |Denmark       |120               |2024  |2                      |12236, 25814             |
|489             |AC Milan                  |Italy         |135               |2022  |2                      |12122, 536               |
