|external_team_id|team_name               |src_norm               |team_id|canonical_team_name         |canon_norm                 |
|----------------|------------------------|-----------------------|-------|----------------------------|---------------------------|
|192             |1. FC K?ln              |1 fc kln               |12,735 |1. FC K?ln                  |1 fc kln                   |
|25270           |A?da?                   |ada                    |26,085 |Adamstown Rosebuds          |adamstown rosebuds         |
|25270           |A?da?                   |ada                    |14,455 |Adana 1954 FK               |adana 1954 fk              |
|25270           |A?da?                   |ada                    |13,667 |Adana Demirspor             |adana demirspor            |
|25270           |A?da?                   |ada                    |26,550 |Adanaspor                   |adanaspor                  |
|25270           |A?da?                   |ada                    |12,622 |Adanaspor                   |adanaspor                  |
|25270           |A?da?                   |ada                    |27,312 |Alpendorada                 |alpendorada                |
|25270           |A?da?                   |ada                    |26,416 |Badajoz                     |badajoz                    |
|25270           |A?da?                   |ada                    |27,578 |Badalona                    |badalona                   |
|25270           |A?da?                   |ada                    |27,572 |Barbadás                    |barbadas                   |
|25270           |A?da?                   |ada                    |28,348 |Blainville-Boisbriand Armada|blainvilleboisbriand armada|
|25270           |A?da?                   |ada                    |657    |Canada                      |canada                     |
|25270           |A?da?                   |ada                    |28,543 |Canada U18                  |canada u18                 |
|25270           |A?da?                   |ada                    |28,562 |Canada U18 W                |canada u18 w               |
|25270           |A?da?                   |ada                    |28,332 |Canada U20                  |canada u20                 |
|25270           |A?da?                   |ada                    |28,440 |Canada W                    |canada w                   |
|25270           |A?da?                   |ada                    |35,230 |CS Independiente Rivadavia  |cs independiente rivadavia |
|25270           |A?da?                   |ada                    |1,160  |Granada                     |granada                    |
|25270           |A?da?                   |ada                    |118,262|Granada                     |granada                    |
|25270           |A?da?                   |ada                    |12,732 |Granada CF                  |granada cf                 |
|25270           |A?da?                   |ada                    |17,007 |Granada II                  |granada ii                 |
|25270           |A?da?                   |ada                    |27,347 |Guadalajara                 |guadalajara                |
|25270           |A?da?                   |ada                    |25,981 |Guadalajara Chivas          |guadalajara chivas         |
|25270           |A?da?                   |ada                    |28,754 |Guadalajara W               |guadalajara w              |
|25270           |A?da?                   |ada                    |26,197 |Haladás VSE                 |haladas vse                |
|25270           |A?da?                   |ada                    |28,607 |HNK Zadar                   |hnk zadar                  |
|25270           |A?da?                   |ada                    |118,271|Joventut Badalona           |joventut badalona          |
|25270           |A?da?                   |ada                    |118,231|Joventut Badalona           |joventut badalona          |
|25270           |A?da?                   |ada                    |27,724 |La Calzada                  |la calzada                 |
|25270           |A?da?                   |ada                    |26,406 |Mercadal                    |mercadal                   |
|25270           |A?da?                   |ada                    |28,337 |Mlada Boleslav              |mlada boleslav             |
|25270           |A?da?                   |ada                    |12,428 |Mlada Boleslav              |mlada boleslav             |
|25270           |A?da?                   |ada                    |14,970 |Olympiada Lympion           |olympiada lympion          |
|25270           |A?da?                   |ada                    |12,528 |Penya Encarnada             |penya encarnada            |
|25270           |A?da?                   |ada                    |27,508 |Peralada                    |peralada                   |
|25270           |A?da?                   |ada                    |27,759 |Puebla Calzada              |puebla calzada             |
|25270           |A?da?                   |ada                    |13,397 |Qarada? L?kbatan            |qarada lkbatan             |
|25270           |A?da?                   |ada                    |14,348 |Rayo Majadahonda            |rayo majadahonda           |
|25270           |A?da?                   |ada                    |25,729 |Semen Padang                |semen padang               |
|25270           |A?da?                   |ada                    |15,256 |Szombathelyi Haladas        |szombathelyi haladas       |
|25270           |A?da?                   |ada                    |26,384 |Unión Adarve                |union adarve               |
|25270           |A?da?                   |ada                    |28,737 |Yadah                       |yadah                      |
|10545           |?amor?n                 |amorn                  |12,380 |?amor?n                     |amorn                      |
|14868           |Am?rica W               |amrica w               |28,746 |Am?rica W                   |amrica w                   |
|9381            |Atl?tico Baleares       |atltico baleares       |14,375 |Atl?tico Baleares           |atltico baleares           |
|9570            |Atl?tico Madrid II      |atltico madrid ii      |16,786 |Atl?tico Madrid II          |atltico madrid ii          |
|9791            |Atl?tico Paso           |atltico paso           |28,819 |Atl?tico Paso               |atltico paso               |
|14874           |Atl?tico San Luis W     |atltico san luis w     |28,752 |Atl?tico San Luis W         |atltico san luis w         |
|14874           |Atl?tico San Luis W     |atltico san luis w     |28,059 |San Luis                    |san luis                   |
|20259           |Aurrer? Vitoria         |aurrer vitoria         |28,767 |Aurrer? Vitoria             |aurrer vitoria             |
|8621            |Ban?k Ostrava II        |bank ostrava ii        |12,730 |Ban?k Ostrava               |bank ostrava               |
|8621            |Ban?k Ostrava II        |bank ostrava ii        |13,465 |Ban?k Ostrava II            |bank ostrava ii            |
|3721            |Ban?k Sokolov           |bank sokolov           |16,884 |Ban?k Sokolov               |bank sokolov               |
|157             |Bayern M?nchen          |bayern mnchen          |12,063 |Bayern M?nchen              |bayern mnchen              |
|157             |Bayern M?nchen          |bayern mnchen          |13,902 |Bayern M?nchen II W         |bayern mnchen ii w         |
|22295           |Bayern M?nchen II W     |bayern mnchen ii w     |12,063 |Bayern M?nchen              |bayern mnchen              |
|22295           |Bayern M?nchen II W     |bayern mnchen ii w     |13,902 |Bayern M?nchen II W         |bayern mnchen ii w         |
|9843            |Bazt?n                  |baztn                  |23,508 |AZ                          |az                         |
|9843            |Bazt?n                  |baztn                  |28,823 |Bazt?n                      |baztn                      |
|9383            |Berganti?os             |bergantios             |28,801 |Berganti?os                 |bergantios                 |
|163             |Borussia M?nchengladbach|borussia mnchengladbach|12,067 |Borussia M?nchengladbach    |borussia mnchengladbach    |
|17358           |Bra?ov Steagul Rena?te  |braov steagul renate   |15,163 |Bra?ov Steagul Rena?te      |braov steagul renate       |
|17358           |Bra?ov Steagul Rena?te  |braov steagul renate   |14,709 |Renate                      |renate                     |
|9384            |Cacere?o                |cacereo                |14,514 |Cacere?o                    |cacereo                    |
|5254            |Castell?n               |castelln               |12,752 |Castell?n                   |castelln                   |
|22789           |C?bray?l                |cbrayl                 |13,054 |C?bray?l                    |cbrayl                     |
|3483            |Chrobry G?og?w          |chrobry gogw           |13,152 |Chrobry G?og?w              |chrobry gogw               |
|3483            |Chrobry G?og?w          |chrobry gogw           |26,548 |ØB                          |ob                         |
|17412           |Ch?tel-St-Denis         |chtelstdenis           |28,705 |Ch?tel-St-Denis             |chtelstdenis               |
|24687           |Citt? di Isernia        |citt di isernia        |28,723 |Citt? di Isernia            |citt di isernia            |
|7466            |CSA Steaua Bucure?ti    |csa steaua bucureti    |12,627 |CSA Steaua Bucure?ti        |csa steaua bucureti        |
|5530            |Cura?ao                 |curaao                 |15,353 |Ra?a                        |raa                        |
|9582            |Deportivo Alav?s II     |deportivo alavs ii     |591    |AVS                         |avs                        |
|9582            |Deportivo Alav?s II     |deportivo alavs ii     |16,715 |Deportivo Alav?s II         |deportivo alavs ii         |
|9610            |Deportivo La Coru?a II  |deportivo la corua ii  |14,588 |Deportivo La Coru?a II      |deportivo la corua ii      |
|22280           |Difai A?su              |difai asu              |12,389 |Difai A?su                  |difai asu                  |
|14956           |Doln? Kub?n             |doln kubn              |15,239 |Doln? Kub?n                 |doln kubn                  |
|7469            |Dumbr?vi?a              |dumbrvia               |12,744 |Dumbr?vi?a                  |dumbrvia                   |
|8629            |?esk? Bud?jovice II     |esk budjovice ii       |13,362 |?esk? Bud?jovice            |esk budjovice              |
|8629            |?esk? Bud?jovice II     |esk budjovice ii       |14,316 |?esk? Bud?jovice II         |esk budjovice ii           |
|8629            |?esk? Bud?jovice II     |esk budjovice ii       |26,374 |Vic                         |vic                        |
|10534           |FK Ko?ice               |fk koice               |12,214 |FK Ko?ice                   |fk koice                   |
|7288            |Fr?dek-M?stek           |frdekmstek             |14,529 |Fr?dek-M?stek               |frdekmstek                 |
|7289            |Fr?dlant                |frdlant                |14,882 |Fr?dlant                    |frdlant                    |
|4373            |Fu?inar                 |fuinar                 |14,881 |Fu?inar                     |fuinar                     |
|3485            |Garbarnia Krak?w        |garbarnia krakw        |14,877 |Garbarnia Krak?w            |garbarnia krakw            |
|9387            |Gimn?stica Segoviana    |gimnstica segoviana    |16,957 |Gimn?stica Segoviana        |gimnstica segoviana        |
|6941            |G?rnik ??czna           |grnik czna             |12,685 |G?rnik ??czna               |grnik czna                 |
|9132            |G?rnik Polkowice        |grnik polkowice        |15,032 |G?rnik Polkowice            |grnik polkowice            |
|20480           |G?tersloh               |gtersloh               |13,740 |G?tersloh                   |gtersloh                   |
|9823            |?guilas                 |guilas                 |27,755 |Águilas                     |aguilas                    |
|9823            |?guilas                 |guilas                 |27,593 |Águilas II                  |aguilas ii                 |
|9823            |?guilas                 |guilas                 |26,111 |Davao Aguilas               |davao aguilas              |
|9823            |?guilas                 |guilas                 |28,822 |?guilas                     |guilas                     |
|9823            |?guilas                 |guilas                 |28,597 |?ilas                       |ilas                       |
|25032           |G?vora                  |gvora                  |28,772 |G?vora                      |gvora                      |
|25032           |G?vora                  |gvora                  |13,192 |Vora                        |vora                       |
|25032           |G?vora                  |gvora                  |27,069 |Vora                        |vora                       |
|7291            |Han?ck?                 |hanck                  |14,370 |Han?ck?                     |hanck                      |
|6026            |Hiller?d                |hillerd                |13,601 |Hiller?d                    |hillerd                    |
|7296            |Hlu??n                  |hlun                   |14,489 |Hlu??n                      |hlun                       |
|7297            |Hodon?n                 |hodonn                 |14,064 |Hodon?n                     |hodonn                     |
|4666            |H?rcules                |hrcules                |28,783 |H?rcules                    |hrcules                    |
|14068           |Humenn?                 |humenn                 |13,482 |Humenn?                     |humenn                     |
|6942            |Hutnik Krak?w           |hutnik krakw           |13,846 |Hutnik Krak?w               |hutnik krakw               |
|10546           |?ilina II               |ilina ii               |13,098 |?ilina                      |ilina                      |
