|sort_order|table_name                        |constraint_name                                    |constraint_type|column_name      |foreign_table_schema|foreign_table_name                |foreign_column_name|
|----------|----------------------------------|---------------------------------------------------|---------------|-----------------|--------------------|----------------------------------|-------------------|
|1         |stg_provider_teams                |stg_provider_teams_pkey                            |PRIMARY KEY    |id               |staging             |stg_provider_teams                |id                 |
|2         |stg_provider_fixtures             |stg_provider_fixtures_pkey                         |PRIMARY KEY    |id               |staging             |stg_provider_fixtures             |id                 |
|3         |stg_provider_leagues              |stg_provider_leagues_pkey                          |PRIMARY KEY    |id               |staging             |stg_provider_leagues              |id                 |
|4         |stg_provider_odds                 |stg_provider_odds_pkey                             |PRIMARY KEY    |id               |staging             |stg_provider_odds                 |id                 |
|5         |stg_provider_players              |stg_provider_players_pkey                          |PRIMARY KEY    |id               |staging             |stg_provider_players              |id                 |
|6         |stg_provider_player_stats         |stg_provider_player_stats_pkey                     |PRIMARY KEY    |id               |staging             |stg_provider_player_stats         |id                 |
|7         |stg_provider_player_season_stats  |stg_provider_player_season_stats_pkey              |PRIMARY KEY    |id               |staging             |stg_provider_player_season_stats  |id                 |
|8         |stg_provider_player_profiles      |stg_provider_player_profiles_source_payload_id_fkey|FOREIGN KEY    |source_payload_id|staging             |stg_player_source_payloads        |id                 |
|8         |stg_provider_player_profiles      |stg_provider_player_profiles_pkey                  |PRIMARY KEY    |id               |staging             |stg_provider_player_profiles      |id                 |
|9         |stg_provider_team_stats           |stg_provider_team_stats_pkey                       |PRIMARY KEY    |id               |staging             |stg_provider_team_stats           |id                 |
|10        |stg_provider_coaches              |stg_provider_coaches_pkey                          |PRIMARY KEY    |id               |staging             |stg_provider_coaches              |id                 |
|11        |stg_provider_events               |stg_provider_events_pkey                           |PRIMARY KEY    |id               |staging             |stg_provider_events               |id                 |
|12        |stg_api_payloads                  |stg_api_payloads_pkey                              |PRIMARY KEY    |id               |staging             |stg_api_payloads                  |id                 |
|13        |stg_player_source_payloads        |stg_player_source_payloads_pkey                    |PRIMARY KEY    |id               |staging             |stg_player_source_payloads        |id                 |
|14        |stg_api_american_football_teams   |stg_api_american_football_teams_pkey               |PRIMARY KEY    |id               |staging             |stg_api_american_football_teams   |id                 |
|15        |stg_api_american_football_fixtures|stg_api_american_football_fixtures_pkey            |PRIMARY KEY    |id               |staging             |stg_api_american_football_fixtures|id                 |
|18        |api_football_teams                |api_football_teams_pkey                            |PRIMARY KEY    |run_id           |staging             |api_football_teams                |league_id          |
|18        |api_football_teams                |api_football_teams_pkey                            |PRIMARY KEY    |run_id           |staging             |api_football_teams                |run_id             |
|18        |api_football_teams                |api_football_teams_pkey                            |PRIMARY KEY    |run_id           |staging             |api_football_teams                |season             |
|18        |api_football_teams                |api_football_teams_pkey                            |PRIMARY KEY    |run_id           |staging             |api_football_teams                |team_id            |
|18        |api_football_teams                |api_football_teams_pkey                            |PRIMARY KEY    |league_id        |staging             |api_football_teams                |season             |
|18        |api_football_teams                |api_football_teams_pkey                            |PRIMARY KEY    |league_id        |staging             |api_football_teams                |run_id             |
|18        |api_football_teams                |api_football_teams_pkey                            |PRIMARY KEY    |league_id        |staging             |api_football_teams                |team_id            |
|18        |api_football_teams                |api_football_teams_pkey                            |PRIMARY KEY    |league_id        |staging             |api_football_teams                |league_id          |
|18        |api_football_teams                |api_football_teams_pkey                            |PRIMARY KEY    |season           |staging             |api_football_teams                |run_id             |
