|sort_order|table_name                        |constraint_name                                      |constraint_type|column_name        |foreign_table_schema|foreign_table_name                |foreign_column_name|
|----------|----------------------------------|-----------------------------------------------------|---------------|-------------------|--------------------|----------------------------------|-------------------|
|1         |ingest_targets                    |ingest_targets_canonical_league_id_fkey              |FOREIGN KEY    |canonical_league_id|                    |                                  |                   |
|1         |ingest_targets                    |ingest_targets_pkey                                  |PRIMARY KEY    |id                 |ops                 |ingest_targets                    |id                 |
|1         |ingest_targets                    |ingest_targets_provider_provider_league_id_season_key|UNIQUE         |provider           |ops                 |ingest_targets                    |provider_league_id |
|1         |ingest_targets                    |ingest_targets_provider_provider_league_id_season_key|UNIQUE         |provider           |ops                 |ingest_targets                    |season             |
|1         |ingest_targets                    |ingest_targets_provider_provider_league_id_season_key|UNIQUE         |provider           |ops                 |ingest_targets                    |provider           |
|1         |ingest_targets                    |ingest_targets_provider_provider_league_id_season_key|UNIQUE         |provider_league_id |ops                 |ingest_targets                    |provider_league_id |
|1         |ingest_targets                    |ingest_targets_provider_provider_league_id_season_key|UNIQUE         |provider_league_id |ops                 |ingest_targets                    |season             |
|1         |ingest_targets                    |ingest_targets_provider_provider_league_id_season_key|UNIQUE         |provider_league_id |ops                 |ingest_targets                    |provider           |
|1         |ingest_targets                    |ingest_targets_provider_provider_league_id_season_key|UNIQUE         |season             |ops                 |ingest_targets                    |provider           |
|1         |ingest_targets                    |ingest_targets_provider_provider_league_id_season_key|UNIQUE         |season             |ops                 |ingest_targets                    |provider_league_id |
|1         |ingest_targets                    |ingest_targets_provider_provider_league_id_season_key|UNIQUE         |season             |ops                 |ingest_targets                    |season             |
|2         |runtime_entity_audit              |runtime_entity_audit_pkey                            |PRIMARY KEY    |id                 |ops                 |runtime_entity_audit              |id                 |
|2         |runtime_entity_audit              |uq_runtime_entity_audit                              |UNIQUE         |provider           |ops                 |runtime_entity_audit              |provider           |
|2         |runtime_entity_audit              |uq_runtime_entity_audit                              |UNIQUE         |provider           |ops                 |runtime_entity_audit              |entity             |
|2         |runtime_entity_audit              |uq_runtime_entity_audit                              |UNIQUE         |provider           |ops                 |runtime_entity_audit              |sport_code         |
|2         |runtime_entity_audit              |uq_runtime_entity_audit                              |UNIQUE         |sport_code         |ops                 |runtime_entity_audit              |sport_code         |
|2         |runtime_entity_audit              |uq_runtime_entity_audit                              |UNIQUE         |sport_code         |ops                 |runtime_entity_audit              |entity             |
|2         |runtime_entity_audit              |uq_runtime_entity_audit                              |UNIQUE         |sport_code         |ops                 |runtime_entity_audit              |provider           |
|2         |runtime_entity_audit              |uq_runtime_entity_audit                              |UNIQUE         |entity             |ops                 |runtime_entity_audit              |sport_code         |
|2         |runtime_entity_audit              |uq_runtime_entity_audit                              |UNIQUE         |entity             |ops                 |runtime_entity_audit              |provider           |
|2         |runtime_entity_audit              |uq_runtime_entity_audit                              |UNIQUE         |entity             |ops                 |runtime_entity_audit              |entity             |
|3         |sport_completion_audit            |sport_completion_audit_pkey                          |PRIMARY KEY    |id                 |ops                 |sport_completion_audit            |id                 |
|3         |sport_completion_audit            |ux_sport_completion_audit                            |UNIQUE         |sport_code         |ops                 |sport_completion_audit            |entity             |
|3         |sport_completion_audit            |ux_sport_completion_audit                            |UNIQUE         |sport_code         |ops                 |sport_completion_audit            |sport_code         |
|3         |sport_completion_audit            |ux_sport_completion_audit                            |UNIQUE         |entity             |ops                 |sport_completion_audit            |entity             |
|3         |sport_completion_audit            |ux_sport_completion_audit                            |UNIQUE         |entity             |ops                 |sport_completion_audit            |sport_code         |
|4         |job_runs                          |job_runs_job_code_fkey                               |FOREIGN KEY    |job_code           |ops                 |jobs                              |code               |
|4         |job_runs                          |job_runs_pkey                                        |PRIMARY KEY    |id                 |ops                 |job_runs                          |id                 |
|5         |jobs                              |jobs_pkey                                            |PRIMARY KEY    |code               |ops                 |jobs                              |code               |
|6         |provider_jobs                     |provider_jobs_pkey                                   |PRIMARY KEY    |id                 |ops                 |provider_jobs                     |id                 |
|7         |ingest_planner                    |ingest_planner_pkey                                  |PRIMARY KEY    |id                 |ops                 |ingest_planner                    |id                 |
|8         |ingest_runtime_config             |ingest_runtime_config_pkey                           |PRIMARY KEY    |id                 |ops                 |ingest_runtime_config             |id                 |
|8         |ingest_runtime_config             |uq_ingest_runtime_config                             |UNIQUE         |provider           |ops                 |ingest_runtime_config             |provider           |
|8         |ingest_runtime_config             |uq_ingest_runtime_config                             |UNIQUE         |provider           |ops                 |ingest_runtime_config             |sport_code         |
|8         |ingest_runtime_config             |uq_ingest_runtime_config                             |UNIQUE         |provider           |ops                 |ingest_runtime_config             |plan_code          |
|8         |ingest_runtime_config             |uq_ingest_runtime_config                             |UNIQUE         |sport_code         |ops                 |ingest_runtime_config             |plan_code          |
|8         |ingest_runtime_config             |uq_ingest_runtime_config                             |UNIQUE         |sport_code         |ops                 |ingest_runtime_config             |sport_code         |
|8         |ingest_runtime_config             |uq_ingest_runtime_config                             |UNIQUE         |sport_code         |ops                 |ingest_runtime_config             |provider           |
|8         |ingest_runtime_config             |uq_ingest_runtime_config                             |UNIQUE         |plan_code          |ops                 |ingest_runtime_config             |plan_code          |
|8         |ingest_runtime_config             |uq_ingest_runtime_config                             |UNIQUE         |plan_code          |ops                 |ingest_runtime_config             |sport_code         |
|8         |ingest_runtime_config             |uq_ingest_runtime_config                             |UNIQUE         |plan_code          |ops                 |ingest_runtime_config             |provider           |
|9         |scheduler_queue                   |scheduler_queue_pkey                                 |PRIMARY KEY    |id                 |ops                 |scheduler_queue                   |id                 |
|10        |worker_locks                      |worker_locks_pkey                                    |PRIMARY KEY    |lock_name          |ops                 |worker_locks                      |lock_name          |
|11        |provider_entity_coverage          |provider_entity_coverage_pkey                        |PRIMARY KEY    |id                 |ops                 |provider_entity_coverage          |id                 |
|11        |provider_entity_coverage          |uq_provider_entity_coverage                          |UNIQUE         |provider           |ops                 |provider_entity_coverage          |provider           |
|11        |provider_entity_coverage          |uq_provider_entity_coverage                          |UNIQUE         |provider           |ops                 |provider_entity_coverage          |sport_code         |
|11        |provider_entity_coverage          |uq_provider_entity_coverage                          |UNIQUE         |provider           |ops                 |provider_entity_coverage          |entity             |
|11        |provider_entity_coverage          |uq_provider_entity_coverage                          |UNIQUE         |sport_code         |ops                 |provider_entity_coverage          |provider           |
|11        |provider_entity_coverage          |uq_provider_entity_coverage                          |UNIQUE         |sport_code         |ops                 |provider_entity_coverage          |sport_code         |
|11        |provider_entity_coverage          |uq_provider_entity_coverage                          |UNIQUE         |sport_code         |ops                 |provider_entity_coverage          |entity             |
|11        |provider_entity_coverage          |uq_provider_entity_coverage                          |UNIQUE         |entity             |ops                 |provider_entity_coverage          |sport_code         |
|11        |provider_entity_coverage          |uq_provider_entity_coverage                          |UNIQUE         |entity             |ops                 |provider_entity_coverage          |provider           |
|11        |provider_entity_coverage          |uq_provider_entity_coverage                          |UNIQUE         |entity             |ops                 |provider_entity_coverage          |entity             |
|12        |provider_people_audit             |provider_people_audit_pkey                           |PRIMARY KEY    |id                 |ops                 |provider_people_audit             |id                 |
|12        |provider_people_audit             |ux_provider_people_audit                             |UNIQUE         |provider           |ops                 |provider_people_audit             |provider           |
|12        |provider_people_audit             |ux_provider_people_audit                             |UNIQUE         |provider           |ops                 |provider_people_audit             |sport_code         |
|12        |provider_people_audit             |ux_provider_people_audit                             |UNIQUE         |provider           |ops                 |provider_people_audit             |entity             |
|12        |provider_people_audit             |ux_provider_people_audit                             |UNIQUE         |sport_code         |ops                 |provider_people_audit             |sport_code         |
|12        |provider_people_audit             |ux_provider_people_audit                             |UNIQUE         |sport_code         |ops                 |provider_people_audit             |entity             |
|12        |provider_people_audit             |ux_provider_people_audit                             |UNIQUE         |sport_code         |ops                 |provider_people_audit             |provider           |
|12        |provider_people_audit             |ux_provider_people_audit                             |UNIQUE         |entity             |ops                 |provider_people_audit             |sport_code         |
|12        |provider_people_audit             |ux_provider_people_audit                             |UNIQUE         |entity             |ops                 |provider_people_audit             |provider           |
|12        |provider_people_audit             |ux_provider_people_audit                             |UNIQUE         |entity             |ops                 |provider_people_audit             |entity             |
|13        |sports_import_plan                |sports_import_plan_pkey                              |PRIMARY KEY    |id                 |ops                 |sports_import_plan                |id                 |
|13        |sports_import_plan                |sports_import_plan_sport_code_key                    |UNIQUE         |sport_code         |ops                 |sports_import_plan                |sport_code         |
|14        |league_import_plan                |league_import_plan_pkey                              |PRIMARY KEY    |provider           |ops                 |league_import_plan                |provider_league_id |
|14        |league_import_plan                |league_import_plan_pkey                              |PRIMARY KEY    |provider           |ops                 |league_import_plan                |season             |
|14        |league_import_plan                |league_import_plan_pkey                              |PRIMARY KEY    |provider           |ops                 |league_import_plan                |provider           |
|14        |league_import_plan                |league_import_plan_pkey                              |PRIMARY KEY    |provider_league_id |ops                 |league_import_plan                |provider           |
|14        |league_import_plan                |league_import_plan_pkey                              |PRIMARY KEY    |provider_league_id |ops                 |league_import_plan                |provider_league_id |
|14        |league_import_plan                |league_import_plan_pkey                              |PRIMARY KEY    |provider_league_id |ops                 |league_import_plan                |season             |
|14        |league_import_plan                |league_import_plan_pkey                              |PRIMARY KEY    |season             |ops                 |league_import_plan                |season             |
|14        |league_import_plan                |league_import_plan_pkey                              |PRIMARY KEY    |season             |ops                 |league_import_plan                |provider_league_id |
|14        |league_import_plan                |league_import_plan_pkey                              |PRIMARY KEY    |season             |ops                 |league_import_plan                |provider           |
|15        |player_enrichment_plan            |player_enrichment_plan_player_id_fkey                |FOREIGN KEY    |player_id          |                    |                                  |                   |
|15        |player_enrichment_plan            |player_enrichment_plan_pkey                          |PRIMARY KEY    |id                 |ops                 |player_enrichment_plan            |id                 |
|16        |provider_sport_matrix             |fk_provider_sport_matrix_sport                       |FOREIGN KEY    |sport_code         |                    |                                  |                   |
|16        |provider_sport_matrix             |provider_sport_matrix_pkey                           |PRIMARY KEY    |id                 |ops                 |provider_sport_matrix             |id                 |
|16        |provider_sport_matrix             |uq_provider_sport_matrix                             |UNIQUE         |provider           |ops                 |provider_sport_matrix             |sport_code         |
|16        |provider_sport_matrix             |uq_provider_sport_matrix                             |UNIQUE         |provider           |ops                 |provider_sport_matrix             |provider           |
|16        |provider_sport_matrix             |uq_provider_sport_matrix                             |UNIQUE         |sport_code         |ops                 |provider_sport_matrix             |sport_code         |
|16        |provider_sport_matrix             |uq_provider_sport_matrix                             |UNIQUE         |sport_code         |ops                 |provider_sport_matrix             |provider           |
|17        |ingest_entity_plan                |ingest_entity_plan_pkey                              |PRIMARY KEY    |id                 |ops                 |ingest_entity_plan                |id                 |
|17        |ingest_entity_plan                |uq_ingest_entity_plan                                |UNIQUE         |provider           |ops                 |ingest_entity_plan                |provider           |
|17        |ingest_entity_plan                |uq_ingest_entity_plan                                |UNIQUE         |provider           |ops                 |ingest_entity_plan                |sport_code         |
