|table_schema|table_name|ordinal_position|column_name|data_type|udt_name|is_nullable|column_default|
|------------|----------|----------------|-----------|---------|--------|-----------|--------------|
|public|leagues|1|id|integer|int4|NO|nextval('leagues_id_seq'::regclass)|
|public|leagues|2|sport_id|integer|int4|NO||
|public|leagues|3|name|text|text|NO||
|public|leagues|4|country|text|text|YES||
|public|leagues|5|ext_source|text|text|YES||
|public|leagues|6|ext_league_id|text|text|YES||
|public|leagues|7|ext_csv_code|text|text|YES||
|public|leagues|8|theodds_key|text|text|YES||
|public|leagues|9|enabled_theodds|boolean|bool|YES|true|
|public|leagues|10|country_id|integer|int4|YES||
|public|leagues|11|tier|integer|int4|YES||
|public|leagues|12|is_cup|boolean|bool|YES|false|
|public|leagues|13|is_international|boolean|bool|YES|false|
|public|leagues|14|created_at|timestamp with time zone|timestamptz|NO|now()|
|public|leagues|15|updated_at|timestamp with time zone|timestamptz|NO|now()|
|public|leagues|16|logo_url|text|text|YES||
|public|leagues|17|is_active|boolean|bool|YES|true|
|public|matches|1|id|integer|int4|NO|nextval('matches_id_seq'::regclass)|
|public|matches|2|league_id|integer|int4|YES||
|public|matches|3|home_team_id|integer|int4|NO||
|public|matches|4|away_team_id|integer|int4|NO||
|public|matches|5|kickoff|timestamp without time zone|timestamp|NO||
|public|matches|6|ext_source|text|text|YES||
|public|matches|7|ext_match_id|text|text|YES||
|public|matches|8|status|text|text|NO||
|public|matches|9|home_score|integer|int4|YES||
|public|matches|10|away_score|integer|int4|YES||
|public|matches|11|season|text|text|YES||
|public|matches|12|sport_id|integer|int4|NO||
|public|matches|13|updated_at|timestamp with time zone|timestamptz|NO|now()|
|public|odds|1|id|integer|int4|NO|nextval('odds_id_seq'::regclass)|
|public|odds|2|match_id|integer|int4|NO||
|public|odds|3|bookmaker_id|integer|int4|NO||
|public|odds|4|market_outcome_id|integer|int4|NO||
|public|odds|5|odd_value|numeric|numeric|NO||
|public|odds|6|collected_at|timestamp without time zone|timestamp|NO|now()|
|public|player_provider_map|1|id|bigint|int8|NO|nextval('player_provider_map_id_seq'::regclass)|
|public|player_provider_map|2|provider|text|text|NO||
|public|player_provider_map|3|provider_player_id|text|text|NO||
|public|player_provider_map|4|player_id|bigint|int8|NO||
|public|player_provider_map|5|provider_team_id|text|text|YES||
|public|player_provider_map|6|provider_team_name|text|text|YES||
|public|player_provider_map|7|provider_player_name|text|text|YES||
|public|player_provider_map|8|is_active|boolean|bool|NO|true|
|public|player_provider_map|9|created_at|timestamp with time zone|timestamptz|NO|now()|
|public|player_provider_map|10|updated_at|timestamp with time zone|timestamptz|NO|now()|
