|sort_order|table_schema|table_name                      |ordinal_position|column_name          |data_type               |udt_name   |is_nullable|column_default                                                      |
|----------|------------|--------------------------------|----------------|---------------------|------------------------|-----------|-----------|--------------------------------------------------------------------|
|1         |staging     |stg_provider_teams              |1               |id                   |bigint                  |int8       |NO         |nextval('staging.stg_provider_teams_id_seq'::regclass)              |
|1         |staging     |stg_provider_teams              |2               |provider             |text                    |text       |NO         |                                                                    |
|1         |staging     |stg_provider_teams              |3               |sport_code           |text                    |text       |NO         |                                                                    |
|1         |staging     |stg_provider_teams              |4               |external_team_id     |text                    |text       |NO         |                                                                    |
|1         |staging     |stg_provider_teams              |5               |team_name            |text                    |text       |NO         |                                                                    |
|1         |staging     |stg_provider_teams              |6               |country_name         |text                    |text       |YES        |                                                                    |
|1         |staging     |stg_provider_teams              |7               |external_league_id   |text                    |text       |YES        |                                                                    |
|1         |staging     |stg_provider_teams              |8               |season               |text                    |text       |YES        |                                                                    |
|1         |staging     |stg_provider_teams              |9               |raw_payload_id       |bigint                  |int8       |YES        |                                                                    |
|1         |staging     |stg_provider_teams              |10              |is_active            |boolean                 |bool       |NO         |true                                                                |
|1         |staging     |stg_provider_teams              |11              |created_at           |timestamp with time zone|timestamptz|NO         |now()                                                               |
|1         |staging     |stg_provider_teams              |12              |updated_at           |timestamp with time zone|timestamptz|NO         |now()                                                               |
|2         |staging     |stg_provider_fixtures           |1               |id                   |bigint                  |int8       |NO         |nextval('staging.stg_provider_fixtures_id_seq'::regclass)           |
|2         |staging     |stg_provider_fixtures           |2               |provider             |text                    |text       |NO         |                                                                    |
|2         |staging     |stg_provider_fixtures           |3               |sport_code           |text                    |text       |NO         |                                                                    |
|2         |staging     |stg_provider_fixtures           |4               |external_fixture_id  |text                    |text       |NO         |                                                                    |
|2         |staging     |stg_provider_fixtures           |5               |external_league_id   |text                    |text       |YES        |                                                                    |
|2         |staging     |stg_provider_fixtures           |6               |season               |text                    |text       |YES        |                                                                    |
|2         |staging     |stg_provider_fixtures           |7               |home_team_external_id|text                    |text       |YES        |                                                                    |
|2         |staging     |stg_provider_fixtures           |8               |away_team_external_id|text                    |text       |YES        |                                                                    |
|2         |staging     |stg_provider_fixtures           |9               |fixture_date         |timestamp with time zone|timestamptz|YES        |                                                                    |
|2         |staging     |stg_provider_fixtures           |10              |status_text          |text                    |text       |YES        |                                                                    |
|2         |staging     |stg_provider_fixtures           |11              |home_score           |text                    |text       |YES        |                                                                    |
|2         |staging     |stg_provider_fixtures           |12              |away_score           |text                    |text       |YES        |                                                                    |
|2         |staging     |stg_provider_fixtures           |13              |raw_payload_id       |bigint                  |int8       |YES        |                                                                    |
|2         |staging     |stg_provider_fixtures           |14              |created_at           |timestamp with time zone|timestamptz|NO         |now()                                                               |
|2         |staging     |stg_provider_fixtures           |15              |updated_at           |timestamp with time zone|timestamptz|NO         |now()                                                               |
|3         |staging     |stg_provider_leagues            |1               |id                   |bigint                  |int8       |NO         |nextval('staging.stg_provider_leagues_id_seq'::regclass)            |
|3         |staging     |stg_provider_leagues            |2               |provider             |text                    |text       |NO         |                                                                    |
|3         |staging     |stg_provider_leagues            |3               |sport_code           |text                    |text       |NO         |                                                                    |
|3         |staging     |stg_provider_leagues            |4               |external_league_id   |text                    |text       |NO         |                                                                    |
|3         |staging     |stg_provider_leagues            |5               |league_name          |text                    |text       |NO         |                                                                    |
|3         |staging     |stg_provider_leagues            |6               |country_name         |text                    |text       |YES        |                                                                    |
|3         |staging     |stg_provider_leagues            |7               |season               |text                    |text       |YES        |                                                                    |
|3         |staging     |stg_provider_leagues            |8               |raw_payload_id       |bigint                  |int8       |YES        |                                                                    |
|3         |staging     |stg_provider_leagues            |9               |is_active            |boolean                 |bool       |NO         |true                                                                |
|3         |staging     |stg_provider_leagues            |10              |created_at           |timestamp with time zone|timestamptz|NO         |now()                                                               |
|3         |staging     |stg_provider_leagues            |11              |updated_at           |timestamp with time zone|timestamptz|NO         |now()                                                               |
|4         |staging     |stg_provider_odds               |1               |id                   |bigint                  |int8       |NO         |nextval('staging.stg_provider_odds_id_seq'::regclass)               |
|4         |staging     |stg_provider_odds               |2               |provider             |text                    |text       |NO         |                                                                    |
|4         |staging     |stg_provider_odds               |3               |sport_code           |text                    |text       |NO         |                                                                    |
|4         |staging     |stg_provider_odds               |4               |external_fixture_id  |text                    |text       |NO         |                                                                    |
|4         |staging     |stg_provider_odds               |5               |bookmaker_name       |text                    |text       |NO         |                                                                    |
|4         |staging     |stg_provider_odds               |6               |market_type          |text                    |text       |NO         |                                                                    |
|4         |staging     |stg_provider_odds               |7               |outcome_name         |text                    |text       |NO         |                                                                    |
|4         |staging     |stg_provider_odds               |8               |odds_value           |numeric                 |numeric    |YES        |                                                                    |
|4         |staging     |stg_provider_odds               |9               |odds_timestamp       |timestamp with time zone|timestamptz|YES        |                                                                    |
|4         |staging     |stg_provider_odds               |10              |raw_payload_id       |bigint                  |int8       |YES        |                                                                    |
|4         |staging     |stg_provider_odds               |11              |created_at           |timestamp with time zone|timestamptz|NO         |now()                                                               |
|4         |staging     |stg_provider_odds               |12              |updated_at           |timestamp with time zone|timestamptz|NO         |now()                                                               |
|5         |staging     |stg_provider_players            |1               |id                   |bigint                  |int8       |NO         |nextval('staging.stg_provider_players_id_seq'::regclass)            |
|5         |staging     |stg_provider_players            |2               |provider             |text                    |text       |NO         |                                                                    |
|5         |staging     |stg_provider_players            |3               |sport_code           |text                    |text       |NO         |                                                                    |
|5         |staging     |stg_provider_players            |4               |external_player_id   |text                    |text       |NO         |                                                                    |
|5         |staging     |stg_provider_players            |5               |player_name          |text                    |text       |NO         |                                                                    |
|5         |staging     |stg_provider_players            |6               |birth_date           |date                    |date       |YES        |                                                                    |
|5         |staging     |stg_provider_players            |7               |nationality          |text                    |text       |YES        |                                                                    |
|5         |staging     |stg_provider_players            |8               |external_team_id     |text                    |text       |YES        |                                                                    |
|5         |staging     |stg_provider_players            |9               |season               |text                    |text       |YES        |                                                                    |
|5         |staging     |stg_provider_players            |10              |raw_payload_id       |bigint                  |int8       |YES        |                                                                    |
|5         |staging     |stg_provider_players            |11              |is_active            |boolean                 |bool       |NO         |true                                                                |
|5         |staging     |stg_provider_players            |12              |created_at           |timestamp with time zone|timestamptz|NO         |now()                                                               |
|5         |staging     |stg_provider_players            |13              |updated_at           |timestamp with time zone|timestamptz|NO         |now()                                                               |
