|team_name_norm            |team_ids|sport_count|sports    |team_ids_list            |problem_type        |
|--------------------------|--------|-----------|----------|-------------------------|--------------------|
|vitesse                   |4       |1          |football  |1113, 13027, 25793, 26481|SAME_SPORT_DUPLICATE|
|almeria                   |3       |1          |football  |1158, 12871, 25856       |SAME_SPORT_DUPLICATE|
|altay                     |3       |1          |football  |13202, 14578, 26672      |SAME_SPORT_DUPLICATE|
|anderlecht                |3       |1          |football  |12940, 26633, 972        |SAME_SPORT_DUPLICATE|
|benevento                 |3       |1          |football  |1091, 13785, 27663       |SAME_SPORT_DUPLICATE|
|cambuur                   |3       |1          |football  |1114, 12180, 27530       |SAME_SPORT_DUPLICATE|
|cercle brugge             |3       |1          |football  |12844, 27792, 967        |SAME_SPORT_DUPLICATE|
|club brugge kv            |3       |1          |football  |12803, 26632, 96         |SAME_SPORT_DUPLICATE|
|crotone                   |3       |1          |football  |1090, 14302, 26935       |SAME_SPORT_DUPLICATE|
|eibar                     |3       |1          |football  |1161, 12429, 27752       |SAME_SPORT_DUPLICATE|
|empoli                    |3       |1          |football  |1083, 12135, 27097       |SAME_SPORT_DUPLICATE|
|feirense                  |3       |1          |football  |1142, 14694, 25823       |SAME_SPORT_DUPLICATE|
|frosinone                 |3       |1          |football  |1086, 12751, 27094       |SAME_SPORT_DUPLICATE|
|gent                      |3       |1          |football  |12719, 27253, 979        |SAME_SPORT_DUPLICATE|
|inter                     |3       |1          |football  |12134, 25936, 27888      |SAME_SPORT_DUPLICATE|
|iskra                     |3       |1          |football  |13228, 13255, 25717      |SAME_SPORT_DUPLICATE|
|las palmas                |3       |1          |football  |1155, 12087, 26688       |SAME_SPORT_DUPLICATE|
|leganes                   |3       |1          |football  |1156, 12089, 27751       |SAME_SPORT_DUPLICATE|
|lens                      |3       |1          |football  |1012, 12119, 27000       |SAME_SPORT_DUPLICATE|
|maritimo                  |3       |1          |football  |1137, 14641, 27498       |SAME_SPORT_DUPLICATE|
|paris fc                  |3       |1          |football  |13277, 27890, 517        |SAME_SPORT_DUPLICATE|
|pec zwolle                |3       |1          |football  |12160, 26479, 567        |SAME_SPORT_DUPLICATE|
|police                    |3       |0          |          |25840, 25929, 28062      |SAME_SPORT_DUPLICATE|
|reims                     |3       |1          |football  |1025, 12111, 25879       |SAME_SPORT_DUPLICATE|
|rudar                     |3       |1          |football  |13110, 13615, 26977      |SAME_SPORT_DUPLICATE|
|salernitana               |3       |1          |football  |1087, 13019, 26932       |SAME_SPORT_DUPLICATE|
|sampdoria                 |3       |1          |football  |1088, 12491, 27095       |SAME_SPORT_DUPLICATE|
|stade brestois 29         |3       |1          |football  |12115, 27638, 501        |SAME_SPORT_DUPLICATE|
|vizela                    |3       |1          |football  |1135, 12156, 26307       |SAME_SPORT_DUPLICATE|
|willem ii                 |3       |1          |football  |1110, 12162, 26900       |SAME_SPORT_DUPLICATE|
|1461 trabzon fk           |2       |1          |football  |14636, 27353             |SAME_SPORT_DUPLICATE|
|2 de mayo                 |2       |0          |          |28053, 606               |SAME_SPORT_DUPLICATE|
|68 aksaray belediyespor   |2       |1          |football  |14197, 26254             |SAME_SPORT_DUPLICATE|
|aalesund                  |2       |1          |football  |13181, 25829             |SAME_SPORT_DUPLICATE|
|aarhus                    |2       |1          |football  |13156, 27730             |SAME_SPORT_DUPLICATE|
|ac horsens                |2       |1          |football  |12236, 25814             |SAME_SPORT_DUPLICATE|
|ac milan                  |2       |1          |football  |12122, 536               |SAME_SPORT_DUPLICATE|
|adanaspor                 |2       |1          |football  |12622, 26550             |SAME_SPORT_DUPLICATE|
|ad ceuta fc               |2       |1          |football  |26689, 28745             |SAME_SPORT_DUPLICATE|
|admira wacker             |2       |1          |football  |12497, 26162             |SAME_SPORT_DUPLICATE|
|ado '20                   |2       |1          |football  |14830, 26790             |SAME_SPORT_DUPLICATE|
|ael                       |2       |1          |football  |13018, 27071             |SAME_SPORT_DUPLICATE|
|afc hermannstadt          |2       |1          |football  |13186, 26635             |SAME_SPORT_DUPLICATE|
|afc wimbledon             |2       |1          |football  |13535, 26524             |SAME_SPORT_DUPLICATE|
|af elbasani               |2       |1          |football  |12213, 27067             |SAME_SPORT_DUPLICATE|
|afjet afyonspor           |2       |1          |football  |13911, 26670             |SAME_SPORT_DUPLICATE|
|aik stockholm             |2       |1          |football  |13267, 25830             |SAME_SPORT_DUPLICATE|
|ajaccio                   |2       |1          |football  |1029, 13579              |SAME_SPORT_DUPLICATE|
|ajka                      |2       |1          |football  |13238, 27004             |SAME_SPORT_DUPLICATE|
|akademija pandev          |2       |1          |football  |12591, 25711             |SAME_SPORT_DUPLICATE|
|akhmat                    |2       |1          |football  |13409, 25725             |SAME_SPORT_DUPLICATE|
|akron                     |2       |1          |football  |13582, 25779             |SAME_SPORT_DUPLICATE|
|alanyaspor                |2       |1          |football  |13492, 25810             |SAME_SPORT_DUPLICATE|
|alcorcon                  |2       |1          |football  |26319, 28678             |SAME_SPORT_DUPLICATE|
|alfaro                    |2       |1          |football  |27562, 28825             |SAME_SPORT_DUPLICATE|
|aluminij                  |2       |1          |football  |12574, 27650             |SAME_SPORT_DUPLICATE|
|amarante                  |2       |1          |football  |14245, 27456             |SAME_SPORT_DUPLICATE|
|amiens                    |2       |1          |football  |1034, 12879              |SAME_SPORT_DUPLICATE|
|amorebieta                |2       |1          |football  |27563, 28691             |SAME_SPORT_DUPLICATE|
|anadia                    |2       |1          |football  |14502, 27305             |SAME_SPORT_DUPLICATE|
|anagennisi karditsas      |2       |1          |football  |15110, 26861             |SAME_SPORT_DUPLICATE|
|ankara demirspor          |2       |1          |football  |14438, 26551             |SAME_SPORT_DUPLICATE|
|anorthosis                |2       |1          |football  |12998, 27340             |SAME_SPORT_DUPLICATE|
|antalyaspor               |2       |1          |football  |12631, 26245             |SAME_SPORT_DUPLICATE|
|antoniano                 |2       |1          |football  |13747, 26339             |SAME_SPORT_DUPLICATE|
|antwerp                   |2       |1          |football  |13172, 964               |SAME_SPORT_DUPLICATE|
|apoel nicosia             |2       |1          |football  |12860, 27339             |SAME_SPORT_DUPLICATE|
|apollon limassol          |2       |1          |football  |12898, 27070             |SAME_SPORT_DUPLICATE|
|ararat-armenia ii         |2       |1          |football  |12789, 26288             |SAME_SPORT_DUPLICATE|
|araz                      |2       |1          |football  |13132, 27491             |SAME_SPORT_DUPLICATE|
|arezzo                    |2       |1          |football  |14061, 25863             |SAME_SPORT_DUPLICATE|
|arges pitesti             |2       |1          |football  |12347, 27259             |SAME_SPORT_DUPLICATE|
|aris                      |2       |1          |football  |12561, 27073             |SAME_SPORT_DUPLICATE|
|arka gdynia               |2       |1          |football  |13208, 25817             |SAME_SPORT_DUPLICATE|
|arosa                     |2       |1          |hockey    |27667, 28499             |SAME_SPORT_DUPLICATE|
|arsenal tula              |2       |1          |football  |12336, 25752             |SAME_SPORT_DUPLICATE|
|ascoli                    |2       |1          |football  |14581, 25866             |SAME_SPORT_DUPLICATE|
|asil lysi                 |2       |1          |football  |13477, 26978             |SAME_SPORT_DUPLICATE|
|as jeunesse esch          |2       |1          |football  |13452, 27269             |SAME_SPORT_DUPLICATE|
|as roma                   |2       |0          |          |27695, 538               |SAME_SPORT_DUPLICATE|
|asteras tripolis          |2       |1          |football  |13448, 27016             |SAME_SPORT_DUPLICATE|
|asteras tripolis ii       |2       |1          |football  |12875, 26858             |SAME_SPORT_DUPLICATE|
|atalanta ii               |2       |1          |football  |13901, 25872             |SAME_SPORT_DUPLICATE|
|atert bissen              |2       |1          |football  |12965, 27278             |SAME_SPORT_DUPLICATE|
|athletic carpi            |2       |1          |football  |14558, 26926             |SAME_SPORT_DUPLICATE|
|athletic club             |2       |1          |football  |12084, 78                |SAME_SPORT_DUPLICATE|
|atyrau                    |2       |1          |football  |13595, 26238             |SAME_SPORT_DUPLICATE|
|auda                      |2       |1          |football  |12910, 27183             |SAME_SPORT_DUPLICATE|
|audace cerignola          |2       |1          |football  |13835, 25873             |SAME_SPORT_DUPLICATE|
|austria klagenfurt        |2       |1          |football  |13150, 26163             |SAME_SPORT_DUPLICATE|
|austria vienna            |2       |1          |football  |12793, 27543             |SAME_SPORT_DUPLICATE|
|avs                       |2       |1          |football  |12159, 591               |SAME_SPORT_DUPLICATE|
|az picerno                |2       |1          |football  |13968, 27874             |SAME_SPORT_DUPLICATE|
|badalona                  |2       |1          |football  |27578, 28784             |SAME_SPORT_DUPLICATE|
|ballkani                  |2       |1          |football  |13084, 25699             |SAME_SPORT_DUPLICATE|
|banants ii                |2       |1          |football  |13254, 25756             |SAME_SPORT_DUPLICATE|
|banga                     |2       |1          |football  |13646, 26628             |SAME_SPORT_DUPLICATE|
|barakaldo                 |2       |1          |football  |27753, 28785             |SAME_SPORT_DUPLICATE|
|barbastro                 |2       |1          |football  |14590, 26359             |SAME_SPORT_DUPLICATE|
|barcelona                 |2       |1          |basketball|118203, 118267           |SAME_SPORT_DUPLICATE|
|bari                      |2       |1          |football  |13216, 27804             |SAME_SPORT_DUPLICATE|
|barnsley                  |2       |1          |football  |1006, 12890              |SAME_SPORT_DUPLICATE|
|bashkimi kumanovo         |2       |1          |football  |13240, 26780             |SAME_SPORT_DUPLICATE|
|basket zaragoza           |2       |1          |basketball|118204, 118268           |SAME_SPORT_DUPLICATE|
|baskonia                  |2       |1          |basketball|118205, 118269           |SAME_SPORT_DUPLICATE|
|basquet girona            |2       |1          |basketball|118206, 118264           |SAME_SPORT_DUPLICATE|
|beasain                   |2       |1          |football  |16796, 27565             |SAME_SPORT_DUPLICATE|
|beerschot va              |2       |1          |football  |12515, 980               |SAME_SPORT_DUPLICATE|
|beitar jerusalem          |2       |1          |football  |14252, 27794             |SAME_SPORT_DUPLICATE|
|bekescsaba 1912           |2       |1          |football  |12476, 26691             |SAME_SPORT_DUPLICATE|
|belediye derincespor      |2       |1          |football  |14329, 26653             |SAME_SPORT_DUPLICATE|
|belenenses                |2       |1          |football  |1139, 16933              |SAME_SPORT_DUPLICATE|
|benfica b                 |2       |1          |football  |14450, 25822             |SAME_SPORT_DUPLICATE|
|berane                    |2       |1          |football  |26818, 28654             |SAME_SPORT_DUPLICATE|
|beroe                     |2       |1          |football  |13233, 26295             |SAME_SPORT_DUPLICATE|
|bilbao                    |2       |1          |basketball|118208, 118265           |SAME_SPORT_DUPLICATE|
|birkirkara                |2       |1          |football  |12611, 26833             |SAME_SPORT_DUPLICATE|
|bk hacken                 |2       |1          |football  |13610, 25831             |SAME_SPORT_DUPLICATE|
|bkma                      |2       |1          |football  |13431, 26866             |SAME_SPORT_DUPLICATE|
|bkma ii                   |2       |1          |football  |12852, 25718             |SAME_SPORT_DUPLICATE|
|blackpool                 |2       |1          |football  |1003, 13685              |SAME_SPORT_DUPLICATE|
|blansko                   |2       |1          |football  |14607, 26949             |SAME_SPORT_DUPLICATE|
|boavista                  |2       |1          |football  |1132, 12145              |SAME_SPORT_DUPLICATE|
|bochum                    |2       |1          |football  |1055, 14347              |SAME_SPORT_DUPLICATE|
|bodrum fk                 |2       |1          |football  |12906, 27700             |SAME_SPORT_DUPLICATE|
|bohemians 1905 ii         |2       |1          |football  |14224, 26154             |SAME_SPORT_DUPLICATE|
|bolton                    |2       |1          |football  |1009, 12960              |SAME_SPORT_DUPLICATE|
|boluspor                  |2       |1          |football  |12987, 26698             |SAME_SPORT_DUPLICATE|
|bordeaux                  |2       |1          |football  |1031, 16875              |SAME_SPORT_DUPLICATE|
|borussia monchengladbach w|2       |1          |football  |14702, 26793             |SAME_SPORT_DUPLICATE|
|botev plovdiv             |2       |1          |football  |12853, 26893             |SAME_SPORT_DUPLICATE|
|brann                     |2       |1          |football  |13096, 26797             |SAME_SPORT_DUPLICATE|
|bravo                     |2       |1          |football  |13051, 25797             |SAME_SPORT_DUPLICATE|
|breogan                   |2       |1          |basketball|118211, 118261           |SAME_SPORT_DUPLICATE|
|brescia                   |2       |1          |football  |1092, 12630              |SAME_SPORT_DUPLICATE|
|brest                     |2       |1          |hockey    |1016, 28532              |SAME_SPORT_DUPLICATE|
|brinje-grosuplje          |2       |1          |football  |13458, 26527             |SAME_SPORT_DUPLICATE|
|bryne                     |2       |1          |football  |13178, 27408             |SAME_SPORT_DUPLICATE|
|bsc young boys            |2       |1          |football  |13021, 27522             |SAME_SPORT_DUPLICATE|
|budafoki lc               |2       |1          |football  |12479, 26690             |SAME_SPORT_DUPLICATE|
|budapest honved           |2       |1          |football  |13577, 25844             |SAME_SPORT_DUPLICATE|
|bulawayo chiefs           |2       |1          |football  |26815, 28725             |SAME_SPORT_DUPLICATE|
|bursaspor                 |2       |1          |football  |15320, 26253             |SAME_SPORT_DUPLICATE|
|bvsc                      |2       |1          |football  |13229, 26692             |SAME_SPORT_DUPLICATE|
|bylis                     |2       |1          |football  |13310, 27068             |SAME_SPORT_DUPLICATE|
|cadiz                     |2       |1          |football  |1159, 13513              |SAME_SPORT_DUPLICATE|
|caen                      |2       |1          |football  |1036, 12471              |SAME_SPORT_DUPLICATE|
|caernarfon town           |2       |1          |football  |13413, 26981             |SAME_SPORT_DUPLICATE|
|cailungo                  |2       |1          |football  |12562, 27089             |SAME_SPORT_DUPLICATE|
|campobasso fc             |2       |1          |football  |14203, 25862             |SAME_SPORT_DUPLICATE|
|caps united               |2       |1          |football  |26810, 28726             |SAME_SPORT_DUPLICATE|
|carrarese                 |2       |1          |football  |12319, 27644             |SAME_SPORT_DUPLICATE|
|carroi                    |2       |1          |football  |13361, 27280             |SAME_SPORT_DUPLICATE|
|casertana                 |2       |1          |football  |14499, 25871             |SAME_SPORT_DUPLICATE|
|catania                   |2       |1          |football  |14341, 25870             |SAME_SPORT_DUPLICATE|
|catanzaro                 |2       |1          |football  |12285, 27096             |SAME_SPORT_DUPLICATE|
|cavese                    |2       |1          |football  |14393, 27873             |SAME_SPORT_DUPLICATE|
|cd coria                  |2       |1          |football  |16987, 26247             |SAME_SPORT_DUPLICATE|
|celtic                    |2       |1          |football  |13635, 26869             |SAME_SPORT_DUPLICATE|
