team_name,count,leagues
Boca Juniors,2,soccer_conmebol_copa_libertadores
Deportes Tolima,2,soccer_conmebol_copa_libertadores
Estudiantes La Plata,2,soccer_conmebol_copa_libertadores
Independiente del Valle,2,soccer_conmebol_copa_libertadores
Independiente Rivadavia,2,soccer_conmebol_copa_libertadores
Lanus,2,soccer_conmebol_copa_libertadores
Peñarol Montevideo,2,soccer_conmebol_copa_libertadores
Sporting Cristal,2,soccer_conmebol_copa_libertadores
Bosnia & Herzegovina,1,soccer_fifa_world_cup
Czech Republic,1,soccer_fifa_world_cup
DR Congo,1,soccer_fifa_world_cup
Iraq,1,soccer_fifa_world_cup
Sweden,1,soccer_fifa_world_cup
