provider,league_name,event_name,home_raw,away_raw,home_normalized,away_normalized,best_home_candidate,best_away_candidate,best_home_score,best_away_score,match_id,issue_code
theodds,soccer_brazil_campeonato,Palmeiras vs Grêmio,Palmeiras,Grêmio,palmeiras,gremio,palmeiras,gremio,1.0,1.0,,NO_MATCH_ID
theodds,soccer_brazil_campeonato,Chapecoense vs Vitoria,Chapecoense,Vitoria,chapecoense,vitoria,chapecoense,vitoria,1.0,1.0,,NO_MATCH_ID
theodds,soccer_brazil_campeonato,Grêmio vs Remo,Grêmio,Remo,gremio,remo,gremio,remo,1.0,1.0,,NO_MATCH_ID
theodds,soccer_brazil_campeonato,Vitoria vs Sao Paulo,Vitoria,Sao Paulo,vitoria,sao paulo,vitoria,sao paulo,1.0,1.0,,NO_MATCH_ID
theodds,soccer_brazil_campeonato,Internacional vs Grêmio,Internacional,Grêmio,internacional,gremio,internacional,gremio,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Independiente Rivadavia vs Club Bolívar,Independiente Rivadavia,Club Bolívar,independiente rivadavia,bolivar,independiente rivadavia,bolivar,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Barcelona SC vs Cruzeiro,Barcelona SC,Cruzeiro,barcelona,cruzeiro,barcelona,cruzeiro,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Club Always Ready vs LDU Quito,Club Always Ready,LDU Quito,always ready,ldu quito,always ready,ldu quito,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Universidad Católica (CHI) vs Boca Juniors,Universidad Católica (CHI),Boca Juniors,universidad catolica chi,boca juniors,universidad catolica chi,boca juniors,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Deportes Tolima vs Club Universitario de Deportes,Deportes Tolima,Club Universitario de Deportes,deportes tolima,universitario de deportes,deportes tolima,universitario de deportes,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Coquimbo Unido vs Nacional de Montevideo,Coquimbo Unido,Nacional de Montevideo,coquimbo unido,nacional de montevideo,coquimbo unido,nacional de montevideo,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Mirassol vs Lanus,Mirassol,Lanus,mirassol,lanus,mirassol,lanus,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Independiente Medellín vs Estudiantes La Plata,Independiente Medellín,Estudiantes La Plata,independiente medellin,estudiantes la plata,independiente medellin,estudiantes la plata,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Cusco FC vs Flamengo-RJ,Cusco FC,Flamengo-RJ,cusco,flamengo rj,cusco,flamengo rj,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Sporting Cristal vs Cerro Porteño,Sporting Cristal,Cerro Porteño,sporting cristal,cerro porteno,sporting cristal u20,cerro porteno,0.8556,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,UCV FC vs Libertad Asuncion,UCV FC,Libertad Asuncion,ucv,libertad asuncion,ucv,libertad asuncion,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Platense vs Corinthians-SP,Platense,Corinthians-SP,platense,corinthians sp,platense,corinthians sp,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Independiente Santa Fe vs Peñarol Montevideo,Independiente Santa Fe,Peñarol Montevideo,independiente santa fe,penarol montevideo,independiente santa fe,penarol montevideo,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Cerro Porteño vs Junior FC,Cerro Porteño,Junior FC,cerro porteno,junior,cerro porteno,junior,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Estudiantes La Plata vs Cusco FC,Estudiantes La Plata,Cusco FC,estudiantes la plata,cusco,estudiantes la plata,cusco,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Nacional de Montevideo vs Deportes Tolima,Nacional de Montevideo,Deportes Tolima,nacional de montevideo,deportes tolima,nacional de montevideo,deportes tolima,1.0,1.0,,NO_MATCH_ID
theodds,soccer_conmebol_copa_libertadores,Boca Juniors vs Barcelona SC,Boca Juniors,Barcelona SC,boca juniors,barcelona,boca juniors,barcelona,1.0,1.0,,NO_MATCH_ID
