provider,league_name,event_name,home_raw,away_raw,home_normalized,away_normalized,best_home_candidate,best_away_candidate,best_home_score,best_away_score,match_id,issue_code,attach_reason
theodds,soccer_france_ligue_one,Nice vs RC Lens,Nice,RC Lens,nice,rc lens,nice,rc lens,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_france_ligue_one,Auxerre vs Angers,Auxerre,Angers,auxerre,angers,auxerre,angers,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_france_ligue_one,Paris FC vs Brest,Paris FC,Brest,paris,brest,paris,brest,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_france_ligue_one,Strasbourg vs Toulouse,Strasbourg,Toulouse,strasbourg,toulouse,strasbourg,toulouse,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_france_ligue_one,Lyon vs Rennes,Lyon,Rennes,lyon,rennes,lyon,rennes,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_france_ligue_one,RC Lens vs Nantes,RC Lens,Nantes,rc lens,nantes,rc lens,nantes,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_france_ligue_one,Angers vs Strasbourg,Angers,Strasbourg,angers,strasbourg,angers,strasbourg,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_france_ligue_one,Paris Saint Germain vs Brest,Paris Saint Germain,Brest,paris saint germain,brest,paris saint germain,brest,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_france_ligue_one,Rennes vs Paris FC,Rennes,Paris FC,rennes,paris,rennes,paris,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_italy_serie_a,Pisa vs Lecce,Pisa,Lecce,pisa,lecce,pisa,lecce,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_italy_serie_a,Como vs Napoli,Como,Napoli,como,napoli,como,napoli,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_italy_serie_a,Bologna vs Cagliari,Bologna,Cagliari,bologna,cagliari,bologna,cagliari,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_italy_serie_a,Cagliari vs Udinese,Cagliari,Udinese,cagliari,udinese,cagliari,udinese,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_italy_serie_a,Hellas Verona vs Como,Hellas Verona,Como,hellas verona,como,hellas verona,como,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_italy_serie_a,Cremonese vs Pisa,Cremonese,Pisa,cremonese,pisa,cremonese,pisa,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_netherlands_eredivisie,Ajax vs PSV Eindhoven,Ajax,PSV Eindhoven,ajax,psv eindhoven,ajax,psv eindhoven,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_netherlands_eredivisie,FC Zwolle vs Heracles Almelo,FC Zwolle,Heracles Almelo,zwolle,heracles almelo,zwolle,heracles almelo,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_netherlands_eredivisie,Fortuna Sittard vs Feyenoord,Fortuna Sittard,Feyenoord,fortuna sittard,feyenoord,fortuna sittard,feyenoord,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
theodds,soccer_netherlands_eredivisie,AZ Alkmaar vs FC Twente Enschede,AZ Alkmaar,FC Twente Enschede,az alkmaar,twente enschede,az alkmaar,twente enschede,1.0,1.0,,NO_MATCH_ID,EXACT_PAIR_NO_FIXTURE_FOUND
